Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 32
Max Evaluations: 5000

Generation 0: Best Solution = [-0.11027787  1.61100086], Best Fitness = 256.86153893074294, Evaluations = 32
Generation 1: Best Solution = [-0.77765546 -0.69186204], Best Fitness = 171.27982232768193, Evaluations = 64
Generation 2: Best Solution = [2.15806335 4.2563888 ], Best Fitness = 17.409071812552668, Evaluations = 96
Generation 3: Best Solution = [-0.09025404  0.00645839], Best Fitness = 1.1889385947962023, Evaluations = 128
Generation 4: Best Solution = [-0.09025404  0.00645839], Best Fitness = 1.1889385947962023, Evaluations = 160
Generation 5: Best Solution = [-0.09025404  0.00645839], Best Fitness = 1.1889385947962023, Evaluations = 192
Generation 6: Best Solution = [-0.09025404  0.00645839], Best Fitness = 1.1889385947962023, Evaluations = 224
Generation 7: Best Solution = [-0.09025404  0.00645839], Best Fitness = 1.1889385947962023, Evaluations = 256
Generation 8: Best Solution = [-0.09025404  0.00645839], Best Fitness = 1.1889385947962023, Evaluations = 288
Generation 9: Best Solution = [-0.09025404  0.00645839], Best Fitness = 1.1889385947962023, Evaluations = 320
Generation 10: Best Solution = [-0.09025404  0.00645839], Best Fitness = 1.1889385947962023, Evaluations = 352
Generation 11: Best Solution = [-0.09025404  0.00645839], Best Fitness = 1.1889385947962023, Evaluations = 384
Generation 12: Best Solution = [-0.09025404  0.00645839], Best Fitness = 1.1889385947962023, Evaluations = 416
Generation 13: Best Solution = [0.76957596 0.58603841], Best Fitness = 0.056950096099614086, Evaluations = 448
Generation 14: Best Solution = [0.76957596 0.58603841], Best Fitness = 0.056950096099614086, Evaluations = 480
Generation 15: Best Solution = [0.76957596 0.58603841], Best Fitness = 0.056950096099614086, Evaluations = 512
Generation 16: Best Solution = [0.76957596 0.58603841], Best Fitness = 0.056950096099614086, Evaluations = 544
Generation 17: Best Solution = [0.76957596 0.58603841], Best Fitness = 0.056950096099614086, Evaluations = 576
Generation 18: Best Solution = [0.76957596 0.58603841], Best Fitness = 0.056950096099614086, Evaluations = 608
Generation 19: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 640
Generation 20: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 672
Generation 21: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 704
Generation 22: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 736
Generation 23: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 768
Generation 24: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 800
Generation 25: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 832
Generation 26: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 864
Generation 27: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 896
Generation 28: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 928
Generation 29: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 960
Generation 30: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 992
Generation 31: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1024
Generation 32: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1056
Generation 33: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1088
Generation 34: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1120
Generation 35: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1152
Generation 36: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1184
Generation 37: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1216
Generation 38: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1248
Generation 39: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1280
Generation 40: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1312
Generation 41: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1344
Generation 42: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1376
Generation 43: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1408
Generation 44: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1440
Generation 45: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1472
Generation 46: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1504
Generation 47: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1536
Generation 48: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1568
Generation 49: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1600
Generation 50: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1632
Generation 51: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1664
Generation 52: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1696
Generation 53: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1728
Generation 54: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1760
Generation 55: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1792
Generation 56: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1824
Generation 57: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1856
Generation 58: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1888
Generation 59: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1920
Generation 60: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1952
Generation 61: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 1984
Generation 62: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2016
Generation 63: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2048
Generation 64: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2080
Generation 65: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2112
Generation 66: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2144
Generation 67: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2176
Generation 68: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2208
Generation 69: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2240
Generation 70: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2272
Generation 71: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2304
Generation 72: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2336
Generation 73: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2368
Generation 74: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2400
Generation 75: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2432
Generation 76: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2464
Generation 77: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2496
Generation 78: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2528
Generation 79: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2560
Generation 80: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2592
Generation 81: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2624
Generation 82: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2656
Generation 83: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2688
Generation 84: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2720
Generation 85: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2752
Generation 86: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2784
Generation 87: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2816
Generation 88: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2848
Generation 89: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2880
Generation 90: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2912
Generation 91: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2944
Generation 92: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 2976
Generation 93: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 3008
Generation 94: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 3040
Generation 95: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 3072
Generation 96: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 3104
Generation 97: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 3136
Generation 98: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 3168
Generation 99: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 3200
Generation 100: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 3232
Generation 101: Best Solution = [1.09016764 1.17792716], Best Fitness = 0.019235824366487436, Evaluations = 3264
Generation 102: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3296
Generation 103: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3328
Generation 104: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3360
Generation 105: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3392
Generation 106: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3424
Generation 107: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3456
Generation 108: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3488
Generation 109: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3520
Generation 110: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3552
Generation 111: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3584
