Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [1.97033902 8.91836302], Best Fitness = 14.695100447124076, Evaluations = 32
Generation 1: Best Solution = [ 1.97033902 -1.71081884], Best Fitness = 7.443183871860457, Evaluations = 64
Generation 2: Best Solution = [ 1.86729155 -1.9901193 ], Best Fitness = 6.8170606211119615, Evaluations = 96
Generation 3: Best Solution = [0.07282111 1.93075745], Best Fitness = 5.0356428399068385, Evaluations = 128
Generation 4: Best Solution = [0.86418531 0.32511426], Best Fitness = 4.059762920309311, Evaluations = 160
Generation 5: Best Solution = [0.86418531 0.32511426], Best Fitness = 4.059762920309311, Evaluations = 192
Generation 6: Best Solution = [0.86418531 0.32511426], Best Fitness = 4.059762920309311, Evaluations = 224
Generation 7: Best Solution = [0.86418531 0.32511426], Best Fitness = 4.059762920309311, Evaluations = 256
Generation 8: Best Solution = [0.86418531 0.32511426], Best Fitness = 4.059762920309311, Evaluations = 288
Generation 9: Best Solution = [0.86418531 0.32511426], Best Fitness = 4.059762920309311, Evaluations = 320
Generation 10: Best Solution = [0.07282111 0.27436163], Best Fitness = 2.0541442736958975, Evaluations = 352
Generation 11: Best Solution = [0.07282111 0.27436163], Best Fitness = 2.0541442736958975, Evaluations = 384
Generation 12: Best Solution = [0.07282111 0.27436163], Best Fitness = 2.0541442736958975, Evaluations = 416
Generation 13: Best Solution = [0.07282111 0.27436163], Best Fitness = 2.0541442736958975, Evaluations = 448
Generation 14: Best Solution = [0.07282111 0.27436163], Best Fitness = 1.2780836151865889, Evaluations = 480
Generation 15: Best Solution = [0.07282111 0.27436163], Best Fitness = 1.2780836151865889, Evaluations = 512
Generation 16: Best Solution = [0.07282111 0.27436163], Best Fitness = 0.37494643880266354, Evaluations = 544
Generation 17: Best Solution = [0.07282111 0.27436163], Best Fitness = 0.37494643880266354, Evaluations = 576
Generation 18: Best Solution = [0.07282111 0.27436163], Best Fitness = 0.37494643880266354, Evaluations = 608
Generation 19: Best Solution = [ 0.01998941 -0.05658353], Best Fitness = 0.26305354417771953, Evaluations = 640
Generation 20: Best Solution = [-0.03405085 -0.01406233], Best Fitness = 0.1399778266108389, Evaluations = 672
Generation 21: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.014401828556362961, Evaluations = 704
Generation 22: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.014401828556362961, Evaluations = 736
Generation 23: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.014401828556362961, Evaluations = 768
Generation 24: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.014401828556362961, Evaluations = 800
Generation 25: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.014401828556362961, Evaluations = 832
Generation 26: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.014401828556362961, Evaluations = 864
Generation 27: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.014401828556362961, Evaluations = 896
Generation 28: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.014401828556362961, Evaluations = 928
Generation 29: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.014401828556362961, Evaluations = 960
Generation 30: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.014401828556362961, Evaluations = 992
Generation 31: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.00823127617509245, Evaluations = 1024
Generation 32: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.00823127617509245, Evaluations = 1056
Generation 33: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.00823127617509245, Evaluations = 1088
Generation 34: Best Solution = [-0.00126521 -0.00470143], Best Fitness = 0.00823127617509245, Evaluations = 1120
