Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [-3.81914507  1.72139669], Best Fitness = 10.530005850585614, Evaluations = 32
Generation 1: Best Solution = [-3.81914507  1.72139669], Best Fitness = 10.530005850585614, Evaluations = 64
Generation 2: Best Solution = [-3.81914507  1.72139669], Best Fitness = 10.530005850585614, Evaluations = 96
Generation 3: Best Solution = [3.86630903 0.37207636], Best Fitness = 10.184442799712487, Evaluations = 128
Generation 4: Best Solution = [3.86630903 0.37207636], Best Fitness = 4.845130007126414, Evaluations = 160
Generation 5: Best Solution = [3.86630903 0.37207636], Best Fitness = 4.845130007126414, Evaluations = 192
Generation 6: Best Solution = [-0.92278849 -0.86614231], Best Fitness = 3.8238816082989264, Evaluations = 224
Generation 7: Best Solution = [-0.92278849 -0.86614231], Best Fitness = 3.8238816082989264, Evaluations = 256
Generation 8: Best Solution = [0.25913772 0.19149875], Best Fitness = 2.446218209338227, Evaluations = 288
Generation 9: Best Solution = [0.25913772 0.19149875], Best Fitness = 2.446218209338227, Evaluations = 320
Generation 10: Best Solution = [0.25913772 0.19149875], Best Fitness = 2.446218209338227, Evaluations = 352
Generation 11: Best Solution = [-0.27658865 -0.16615905], Best Fitness = 2.4271789420164045, Evaluations = 384
Generation 12: Best Solution = [-0.27658865 -0.16615905], Best Fitness = 2.4271789420164045, Evaluations = 416
Generation 13: Best Solution = [-0.20613    -0.19217529], Best Fitness = 2.131125072447578, Evaluations = 448
Generation 14: Best Solution = [-0.20613    -0.19217529], Best Fitness = 2.131125072447578, Evaluations = 480
Generation 15: Best Solution = [-0.10396048 -0.12801665], Best Fitness = 1.0752862073921787, Evaluations = 512
Generation 16: Best Solution = [-0.10396048 -0.12801665], Best Fitness = 0.5888942063942335, Evaluations = 544
Generation 17: Best Solution = [-0.10396048 -0.12801665], Best Fitness = 0.5888942063942335, Evaluations = 576
Generation 18: Best Solution = [-0.10396048 -0.12801665], Best Fitness = 0.5888942063942335, Evaluations = 608
Generation 19: Best Solution = [0.0324054  0.00657557], Best Fitness = 0.12238466588351615, Evaluations = 640
Generation 20: Best Solution = [0.0324054  0.00657557], Best Fitness = 0.12238466588351615, Evaluations = 672
Generation 21: Best Solution = [0.0324054  0.00657557], Best Fitness = 0.12238466588351615, Evaluations = 704
Generation 22: Best Solution = [0.0324054  0.00657557], Best Fitness = 0.12238466588351615, Evaluations = 736
Generation 23: Best Solution = [0.0324054  0.00657557], Best Fitness = 0.12238466588351615, Evaluations = 768
Generation 24: Best Solution = [0.0324054  0.00657557], Best Fitness = 0.12238466588351615, Evaluations = 800
Generation 25: Best Solution = [-0.00385311  0.00144342], Best Fitness = 0.012088610814469991, Evaluations = 832
Generation 26: Best Solution = [-0.00385311  0.00144342], Best Fitness = 0.012088610814469991, Evaluations = 864
Generation 27: Best Solution = [-0.00385311  0.00144342], Best Fitness = 0.012088610814469991, Evaluations = 896
Generation 28: Best Solution = [-0.00385311  0.00144342], Best Fitness = 0.012088610814469991, Evaluations = 928
Generation 29: Best Solution = [-0.00385311  0.00144342], Best Fitness = 0.012088610814469991, Evaluations = 960
Generation 30: Best Solution = [-0.00385311  0.00144342], Best Fitness = 0.012088610814469991, Evaluations = 992
Generation 31: Best Solution = [-0.00385311  0.00144342], Best Fitness = 0.012088610814469991, Evaluations = 1024
Generation 32: Best Solution = [-0.00385311  0.00144342], Best Fitness = 0.012088610814469991, Evaluations = 1056
Generation 33: Best Solution = [0.00365727 0.00035142], Best Fitness = 0.010751399904901593, Evaluations = 1088
Generation 34: Best Solution = [-0.0022727   0.00037819], Best Fitness = 0.006657901211984285, Evaluations = 1120
Generation 35: Best Solution = [-0.0022727   0.00037819], Best Fitness = 0.006657901211984285, Evaluations = 1152
Generation 36: Best Solution = [-0.0022727   0.00037819], Best Fitness = 0.006657901211984285, Evaluations = 1184
Generation 37: Best Solution = [ 0.0019299  -0.00117285], Best Fitness = 0.00652334259970333, Evaluations = 1216
Generation 38: Best Solution = [-0.00045215  0.00037819], Best Fitness = 0.001676501453396373, Evaluations = 1248
Generation 39: Best Solution = [ 0.00026337 -0.00018792], Best Fitness = 0.0009178869673402978, Evaluations = 1280
Generation 40: Best Solution = [ 0.00026337 -0.00018792], Best Fitness = 0.0009178869673402978, Evaluations = 1312
Generation 41: Best Solution = [ 0.00026337 -0.00018792], Best Fitness = 0.0009178869673402978, Evaluations = 1344
Generation 42: Best Solution = [ 0.00026337 -0.00018792], Best Fitness = 0.0009178869673402978, Evaluations = 1376
Generation 43: Best Solution = [ 0.00026337 -0.00018792], Best Fitness = 0.0009178869673402978, Evaluations = 1408
Generation 44: Best Solution = [ 0.00026337 -0.00018792], Best Fitness = 0.0009178869673402978, Evaluations = 1440
Generation 45: Best Solution = [0.00018764 0.00016715], Best Fitness = 0.0007124545945704774, Evaluations = 1472
Generation 46: Best Solution = [-7.39294170e-05 -1.87919899e-04], Best Fitness = 0.0005722562466030645, Evaluations = 1504
Generation 47: Best Solution = [-7.39294170e-05 -1.87919899e-04], Best Fitness = 0.0005722562466030645, Evaluations = 1536
Generation 48: Best Solution = [-1.07875037e-04  3.22746803e-05], Best Fitness = 0.00031881748382689423, Evaluations = 1568
Generation 49: Best Solution = [-1.07875037e-04  3.22746803e-05], Best Fitness = 0.00031881748382689423, Evaluations = 1600
Generation 50: Best Solution = [6.99386464e-05 3.69183106e-05], Best Fitness = 0.0002238516065955487, Evaluations = 1632
Generation 51: Best Solution = [2.32172912e-05 1.42043479e-05], Best Fitness = 7.700315891101539e-05, Evaluations = 1664
Generation 52: Best Solution = [2.32172912e-05 1.42043479e-05], Best Fitness = 7.700315891101539e-05, Evaluations = 1696
Generation 53: Best Solution = [2.32172912e-05 1.42043479e-05], Best Fitness = 7.700315891101539e-05, Evaluations = 1728
Generation 54: Best Solution = [2.32172912e-05 1.42043479e-05], Best Fitness = 7.700315891101539e-05, Evaluations = 1760
Generation 55: Best Solution = [1.17943893e-06 1.36504967e-05], Best Fitness = 3.875828369404033e-05, Evaluations = 1792
Generation 56: Best Solution = [1.17943893e-06 1.36504967e-05], Best Fitness = 3.875828369404033e-05, Evaluations = 1824
Generation 57: Best Solution = [1.17943893e-06 1.36504967e-05], Best Fitness = 3.875828369404033e-05, Evaluations = 1856
Generation 58: Best Solution = [1.17943893e-06 1.36504967e-05], Best Fitness = 3.875828369404033e-05, Evaluations = 1888
Generation 59: Best Solution = [1.17943893e-06 1.36504967e-05], Best Fitness = 3.875828369404033e-05, Evaluations = 1920
Generation 60: Best Solution = [-6.32808274e-06 -2.89891600e-06], Best Fitness = 1.96885134120528e-05, Evaluations = 1952
