Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [-0.40450571 -6.80306686], Best Fitness = 14.309892537742094, Evaluations = 32
Generation 1: Best Solution = [ 3.76409483 -3.95676936], Best Fitness = 11.787577587779193, Evaluations = 64
Generation 2: Best Solution = [ 3.76409483 -3.95676936], Best Fitness = 11.787577587779193, Evaluations = 96
Generation 3: Best Solution = [ 0.93077292 -4.47730237], Best Fitness = 11.283735520681486, Evaluations = 128
Generation 4: Best Solution = [-0.78620493 -0.74446794], Best Fitness = 4.457734308660992, Evaluations = 160
Generation 5: Best Solution = [-0.78620493 -0.74446794], Best Fitness = 4.457734308660992, Evaluations = 192
Generation 6: Best Solution = [-0.78620493 -0.74446794], Best Fitness = 4.457734308660992, Evaluations = 224
Generation 7: Best Solution = [0.93077292 0.9007857 ], Best Fitness = 3.704188289223897, Evaluations = 256
Generation 8: Best Solution = [0.93077292 0.9007857 ], Best Fitness = 3.704188289223897, Evaluations = 288
Generation 9: Best Solution = [-0.95606537  0.14200195], Best Fitness = 3.0592494691618985, Evaluations = 320
Generation 10: Best Solution = [-0.95606537  0.14200195], Best Fitness = 3.0592494691618985, Evaluations = 352
Generation 11: Best Solution = [-0.95606537  0.14200195], Best Fitness = 3.0592494691618985, Evaluations = 384
Generation 12: Best Solution = [-0.95606537  0.14200195], Best Fitness = 3.0592494691618985, Evaluations = 416
Generation 13: Best Solution = [-0.95606537  0.14200195], Best Fitness = 3.0592494691618985, Evaluations = 448
Generation 14: Best Solution = [-0.19726983 -0.10307913], Best Fitness = 1.5849132179969598, Evaluations = 480
Generation 15: Best Solution = [-0.19726983 -0.10307913], Best Fitness = 1.5849132179969598, Evaluations = 512
Generation 16: Best Solution = [-0.07400805 -0.03227775], Best Fitness = 0.39390172477699936, Evaluations = 544
Generation 17: Best Solution = [-0.07400805 -0.03227775], Best Fitness = 0.39390172477699936, Evaluations = 576
Generation 18: Best Solution = [-0.07400805 -0.03227775], Best Fitness = 0.39390172477699936, Evaluations = 608
Generation 19: Best Solution = [-0.07400805 -0.03227775], Best Fitness = 0.39390172477699936, Evaluations = 640
Generation 20: Best Solution = [-0.06670327  0.02368304], Best Fitness = 0.328671807933937, Evaluations = 672
Generation 21: Best Solution = [-0.06670327  0.02368304], Best Fitness = 0.328671807933937, Evaluations = 704
Generation 22: Best Solution = [-0.01356481  0.0135014 ], Best Fitness = 0.06386276798872048, Evaluations = 736
Generation 23: Best Solution = [-0.01356481  0.0135014 ], Best Fitness = 0.06386276798872048, Evaluations = 768
Generation 24: Best Solution = [-0.01356481  0.0135014 ], Best Fitness = 0.06386276798872048, Evaluations = 800
Generation 25: Best Solution = [-0.01356481  0.0135014 ], Best Fitness = 0.050368794337452005, Evaluations = 832
Generation 26: Best Solution = [-0.01356481  0.0135014 ], Best Fitness = 0.050368794337452005, Evaluations = 864
Generation 27: Best Solution = [-0.01356481  0.0135014 ], Best Fitness = 0.050368794337452005, Evaluations = 896
Generation 28: Best Solution = [-0.01356481  0.0135014 ], Best Fitness = 0.050368794337452005, Evaluations = 928
Generation 29: Best Solution = [-0.01356481  0.0135014 ], Best Fitness = 0.050368794337452005, Evaluations = 960
Generation 30: Best Solution = [-0.01356481  0.0135014 ], Best Fitness = 0.050368794337452005, Evaluations = 992
Generation 31: Best Solution = [ 0.01014942 -0.00666003], Best Fitness = 0.03825579346106567, Evaluations = 1024
Generation 32: Best Solution = [0.0052462  0.00396158], Best Fitness = 0.019744371172234043, Evaluations = 1056
Generation 33: Best Solution = [0.0052462  0.00396158], Best Fitness = 0.019744371172234043, Evaluations = 1088
Generation 34: Best Solution = [-0.00225937 -0.00296238], Best Fitness = 0.010907303167205118, Evaluations = 1120
Generation 35: Best Solution = [-0.00225937 -0.00296238], Best Fitness = 0.010907303167205118, Evaluations = 1152
Generation 36: Best Solution = [-0.00225937 -0.00296238], Best Fitness = 0.010907303167205118, Evaluations = 1184
Generation 37: Best Solution = [ 0.00181179 -0.00077221], Best Fitness = 0.0056738344442384125, Evaluations = 1216
Generation 38: Best Solution = [-0.00087865  0.00135595], Best Fitness = 0.004639532344786534, Evaluations = 1248
Generation 39: Best Solution = [-0.00087865  0.00135595], Best Fitness = 0.004639532344786534, Evaluations = 1280
Generation 40: Best Solution = [ 0.00064345 -0.0002297 ], Best Fitness = 0.0019448695555550621, Evaluations = 1312
Generation 41: Best Solution = [ 0.00064345 -0.0002297 ], Best Fitness = 0.0019448695555550621, Evaluations = 1344
Generation 42: Best Solution = [0.0001889  0.00057493], Best Fitness = 0.001721428315371032, Evaluations = 1376
Generation 43: Best Solution = [0.0001889  0.00057493], Best Fitness = 0.0005413102437761275, Evaluations = 1408
Generation 44: Best Solution = [0.0001889  0.00057493], Best Fitness = 0.0005413102437761275, Evaluations = 1440
Generation 45: Best Solution = [0.0001889  0.00057493], Best Fitness = 0.0005413102437761275, Evaluations = 1472
Generation 46: Best Solution = [0.0001889  0.00057493], Best Fitness = 0.0005413102437761275, Evaluations = 1504
Generation 47: Best Solution = [0.0001889  0.00057493], Best Fitness = 0.0005413102437761275, Evaluations = 1536
Generation 48: Best Solution = [ 0.00014555 -0.00010726], Best Fitness = 0.0005122621190314369, Evaluations = 1568
Generation 49: Best Solution = [ 0.00014555 -0.00010726], Best Fitness = 0.0005122621190314369, Evaluations = 1600
Generation 50: Best Solution = [-6.35099559e-05 -6.61813097e-05], Best Fitness = 0.00025966158649071147, Evaluations = 1632
Generation 51: Best Solution = [-6.35099559e-05 -6.61813097e-05], Best Fitness = 0.00025966158649071147, Evaluations = 1664
Generation 52: Best Solution = [-6.35099559e-05 -6.61813097e-05], Best Fitness = 0.00021836266105568214, Evaluations = 1696
Generation 53: Best Solution = [-3.21055456e-05 -2.84821421e-05], Best Fitness = 0.0001214409265526406, Evaluations = 1728
Generation 54: Best Solution = [-3.21055456e-05 -2.84821421e-05], Best Fitness = 0.0001214409265526406, Evaluations = 1760
Generation 55: Best Solution = [-3.21055456e-05 -2.84821421e-05], Best Fitness = 0.0001214409265526406, Evaluations = 1792
Generation 56: Best Solution = [-3.21055456e-05 -2.84821421e-05], Best Fitness = 0.00010590592481962702, Evaluations = 1824
Generation 57: Best Solution = [-3.21055456e-05 -2.84821421e-05], Best Fitness = 0.00010590592481962702, Evaluations = 1856
Generation 58: Best Solution = [ 3.31011833e-06 -1.70493605e-05], Best Fitness = 4.9131352711118126e-05, Evaluations = 1888
Generation 59: Best Solution = [-1.53681150e-05 -1.60934133e-06], Best Fitness = 4.3711638224142035e-05, Evaluations = 1920
Generation 60: Best Solution = [ 2.68459074e-06 -9.62019919e-07], Best Fitness = 8.066199342682268e-06, Evaluations = 1952
Generation 61: Best Solution = [ 2.68459074e-06 -9.62019919e-07], Best Fitness = 8.066199342682268e-06, Evaluations = 1984
Generation 62: Best Solution = [ 2.68459074e-06 -9.62019919e-07], Best Fitness = 8.066199342682268e-06, Evaluations = 2016
