Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [ 5.85591627 -3.02276808], Best Fitness = 12.609176451713997, Evaluations = 32
Generation 1: Best Solution = [ 4.02039999 -4.84323534], Best Fitness = 12.34178016578439, Evaluations = 64
Generation 2: Best Solution = [ 3.56052601 -2.54542064], Best Fitness = 11.55931366411253, Evaluations = 96
Generation 3: Best Solution = [-3.81230214 -0.84951923], Best Fitness = 9.584900210629025, Evaluations = 128
Generation 4: Best Solution = [-0.84299907  0.96909522], Best Fitness = 3.888323399029741, Evaluations = 160
Generation 5: Best Solution = [-0.84299907  0.96909522], Best Fitness = 3.888323399029741, Evaluations = 192
Generation 6: Best Solution = [-0.84299907  0.96909522], Best Fitness = 3.888323399029741, Evaluations = 224
Generation 7: Best Solution = [-0.84299907  0.96909522], Best Fitness = 3.888323399029741, Evaluations = 256
Generation 8: Best Solution = [-0.84299907  0.96909522], Best Fitness = 3.888323399029741, Evaluations = 288
Generation 9: Best Solution = [-0.84299907  0.96909522], Best Fitness = 3.888323399029741, Evaluations = 320
Generation 10: Best Solution = [-0.84299907  0.96909522], Best Fitness = 3.888323399029741, Evaluations = 352
Generation 11: Best Solution = [-0.16741793 -0.24502395], Best Fitness = 2.23868596432353, Evaluations = 384
Generation 12: Best Solution = [-0.16741793 -0.24502395], Best Fitness = 2.23868596432353, Evaluations = 416
Generation 13: Best Solution = [-0.16741793 -0.24502395], Best Fitness = 2.23868596432353, Evaluations = 448
Generation 14: Best Solution = [-0.16741793 -0.24502395], Best Fitness = 2.23868596432353, Evaluations = 480
Generation 15: Best Solution = [ 0.06826891 -0.0988    ], Best Fitness = 0.6885778190105403, Evaluations = 512
Generation 16: Best Solution = [ 0.06826891 -0.0988    ], Best Fitness = 0.6885778190105403, Evaluations = 544
Generation 17: Best Solution = [ 0.06826891 -0.0988    ], Best Fitness = 0.6885778190105403, Evaluations = 576
Generation 18: Best Solution = [ 0.06826891 -0.0988    ], Best Fitness = 0.6885778190105403, Evaluations = 608
Generation 19: Best Solution = [ 0.06826891 -0.0988    ], Best Fitness = 0.6885778190105403, Evaluations = 640
Generation 20: Best Solution = [0.03722668 0.05584929], Best Fitness = 0.30617663720402577, Evaluations = 672
Generation 21: Best Solution = [ 0.01579194 -0.02309674], Best Fitness = 0.09987238504573215, Evaluations = 704
Generation 22: Best Solution = [-0.00634339  0.00658745], Best Fitness = 0.028092077034799434, Evaluations = 736
Generation 23: Best Solution = [-0.00634339  0.00658745], Best Fitness = 0.028092077034799434, Evaluations = 768
Generation 24: Best Solution = [-0.00634339  0.00658745], Best Fitness = 0.028092077034799434, Evaluations = 800
Generation 25: Best Solution = [-0.00634339  0.00658745], Best Fitness = 0.028092077034799434, Evaluations = 832
Generation 26: Best Solution = [-0.00634339  0.00658745], Best Fitness = 0.028092077034799434, Evaluations = 864
Generation 27: Best Solution = [-0.00634339  0.00658745], Best Fitness = 0.028092077034799434, Evaluations = 896
Generation 28: Best Solution = [-0.00634339  0.00658745], Best Fitness = 0.028092077034799434, Evaluations = 928
Generation 29: Best Solution = [-0.00634339  0.00658745], Best Fitness = 0.028092077034799434, Evaluations = 960
Generation 30: Best Solution = [-0.00634339  0.00658745], Best Fitness = 0.028092077034799434, Evaluations = 992
Generation 31: Best Solution = [-0.00634339  0.00658745], Best Fitness = 0.028092077034799434, Evaluations = 1024
Generation 32: Best Solution = [0.0020397  0.00459264], Best Fitness = 0.014885762667042446, Evaluations = 1056
Generation 33: Best Solution = [ 0.00192172 -0.00334131], Best Fitness = 0.011297834442242749, Evaluations = 1088
Generation 34: Best Solution = [ 0.00025332 -0.00102393], Best Fitness = 0.0030130381478064017, Evaluations = 1120
Generation 35: Best Solution = [ 0.00025332 -0.00102393], Best Fitness = 0.0030130381478064017, Evaluations = 1152
Generation 36: Best Solution = [ 0.00025332 -0.00102393], Best Fitness = 0.0030130381478064017, Evaluations = 1184
Generation 37: Best Solution = [ 0.00025332 -0.00102393], Best Fitness = 0.0030130381478064017, Evaluations = 1216
Generation 38: Best Solution = [ 0.00025332 -0.00102393], Best Fitness = 0.0030130381478064017, Evaluations = 1248
Generation 39: Best Solution = [ 0.00068353 -0.00017212], Best Fitness = 0.002006885302755723, Evaluations = 1280
Generation 40: Best Solution = [-6.79092912e-05  6.54220955e-04], Best Fitness = 0.001871878362397883, Evaluations = 1312
Generation 41: Best Solution = [-6.79092912e-05  6.54220955e-04], Best Fitness = 0.0003884377953977669, Evaluations = 1344
Generation 42: Best Solution = [-6.79092912e-05  6.54220955e-04], Best Fitness = 0.0003884377953977669, Evaluations = 1376
