Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [2.9833571  4.45489103], Best Fitness = 12.331120063365859, Evaluations = 32
Generation 1: Best Solution = [2.9833571  4.45489103], Best Fitness = 12.331120063365859, Evaluations = 64
Generation 2: Best Solution = [2.9833571  4.45489103], Best Fitness = 12.331120063365859, Evaluations = 96
Generation 3: Best Solution = [-0.39621546  1.34072564], Best Fitness = 5.793061839654218, Evaluations = 128
Generation 4: Best Solution = [-0.39621546  1.34072564], Best Fitness = 3.2755893067279307, Evaluations = 160
Generation 5: Best Solution = [-0.39621546  1.34072564], Best Fitness = 3.2755893067279307, Evaluations = 192
Generation 6: Best Solution = [-0.39621546  1.34072564], Best Fitness = 3.2755893067279307, Evaluations = 224
Generation 7: Best Solution = [-0.39621546  1.34072564], Best Fitness = 3.2755893067279307, Evaluations = 256
Generation 8: Best Solution = [-0.10261787 -0.15359682], Best Fitness = 1.2516137453900673, Evaluations = 288
Generation 9: Best Solution = [-0.10261787 -0.15359682], Best Fitness = 1.2516137453900673, Evaluations = 320
Generation 10: Best Solution = [-0.10261787 -0.15359682], Best Fitness = 1.2516137453900673, Evaluations = 352
Generation 11: Best Solution = [-0.10261787 -0.15359682], Best Fitness = 1.2516137453900673, Evaluations = 384
Generation 12: Best Solution = [-0.10261787 -0.15359682], Best Fitness = 1.2516137453900673, Evaluations = 416
Generation 13: Best Solution = [-0.10261787 -0.15359682], Best Fitness = 1.2516137453900673, Evaluations = 448
Generation 14: Best Solution = [-0.10261787 -0.15359682], Best Fitness = 1.2516137453900673, Evaluations = 480
Generation 15: Best Solution = [-0.14060263  0.0185246 ], Best Fitness = 0.8587876171031863, Evaluations = 512
Generation 16: Best Solution = [-0.14060263  0.0185246 ], Best Fitness = 0.8587876171031863, Evaluations = 544
Generation 17: Best Solution = [-0.14060263  0.0185246 ], Best Fitness = 0.8587876171031863, Evaluations = 576
Generation 18: Best Solution = [-0.14060263  0.0185246 ], Best Fitness = 0.8587876171031863, Evaluations = 608
Generation 19: Best Solution = [-0.14060263  0.0185246 ], Best Fitness = 0.8587876171031863, Evaluations = 640
Generation 20: Best Solution = [-0.14060263  0.0185246 ], Best Fitness = 0.8587876171031863, Evaluations = 672
Generation 21: Best Solution = [-0.14060263  0.0185246 ], Best Fitness = 0.8587876171031863, Evaluations = 704
Generation 22: Best Solution = [ 0.08638773 -0.0929869 ], Best Fitness = 0.7456338153590392, Evaluations = 736
Generation 23: Best Solution = [0.02981608 0.12135777], Best Fitness = 0.7224229997417919, Evaluations = 768
