Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [  2.75162011 -10.81427842], Best Fitness = 17.367611269092063, Evaluations = 8
Generation 1: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 8.014633212392019, Evaluations = 16
Generation 2: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 8.014633212392019, Evaluations = 24
Generation 3: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 8.014633212392019, Evaluations = 32
Generation 4: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 8.014633212392019, Evaluations = 40
Generation 5: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 8.014633212392019, Evaluations = 48
Generation 6: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 8.014633212392019, Evaluations = 56
Generation 7: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 6.609663362454025, Evaluations = 64
Generation 8: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 6.609663362454025, Evaluations = 72
Generation 9: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 6.609663362454025, Evaluations = 80
Generation 10: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.8011377908765067, Evaluations = 88
Generation 11: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.8011377908765067, Evaluations = 96
Generation 12: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.8011377908765067, Evaluations = 104
Generation 13: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.8011377908765067, Evaluations = 112
Generation 14: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.8011377908765067, Evaluations = 120
Generation 15: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.8011377908765067, Evaluations = 128
Generation 16: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.8011377908765067, Evaluations = 136
Generation 17: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.8011377908765067, Evaluations = 144
Generation 18: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.8011377908765067, Evaluations = 152
Generation 19: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.657331461103571, Evaluations = 160
Generation 20: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.657331461103571, Evaluations = 168
Generation 21: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.657331461103571, Evaluations = 176
Generation 22: Best Solution = [ 1.9756099  -2.92679083], Best Fitness = 2.657331461103571, Evaluations = 184
Generation 23: Best Solution = [ 0.14513618 -0.2036794 ], Best Fitness = 1.8456370291117996, Evaluations = 192
Generation 24: Best Solution = [ 0.14513618 -0.2036794 ], Best Fitness = 1.8456370291117996, Evaluations = 200
Generation 25: Best Solution = [ 0.14513618 -0.2036794 ], Best Fitness = 1.8456370291117996, Evaluations = 208
