Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [-11.73106252   4.09268961], Best Fitness = 17.836566190417397, Evaluations = 8
Generation 1: Best Solution = [-11.73106252   4.09268961], Best Fitness = 17.836566190417397, Evaluations = 16
Generation 2: Best Solution = [-11.73106252   4.09268961], Best Fitness = 17.836566190417397, Evaluations = 24
Generation 3: Best Solution = [-2.28991016  3.68047408], Best Fitness = 11.169116023694572, Evaluations = 32
Generation 4: Best Solution = [-2.28991016  3.68047408], Best Fitness = 10.786353279094937, Evaluations = 40
Generation 5: Best Solution = [-2.28991016  3.68047408], Best Fitness = 10.786353279094937, Evaluations = 48
Generation 6: Best Solution = [-2.28991016  3.68047408], Best Fitness = 10.62788279109693, Evaluations = 56
Generation 7: Best Solution = [1.45163516 1.27374572], Best Fitness = 6.922087645908913, Evaluations = 64
Generation 8: Best Solution = [1.45163516 1.27374572], Best Fitness = 6.922087645908913, Evaluations = 72
Generation 9: Best Solution = [1.45163516 1.27374572], Best Fitness = 6.196431605823989, Evaluations = 80
Generation 10: Best Solution = [1.45163516 1.27374572], Best Fitness = 6.196431605823989, Evaluations = 88
Generation 11: Best Solution = [1.45163516 1.27374572], Best Fitness = 6.196431605823989, Evaluations = 96
Generation 12: Best Solution = [1.45163516 1.27374572], Best Fitness = 6.196431605823989, Evaluations = 104
Generation 13: Best Solution = [-1.92324351 -1.07785132], Best Fitness = 5.6541899764373085, Evaluations = 112
Generation 14: Best Solution = [1.21919954 1.18388867], Best Fitness = 5.64391897218977, Evaluations = 120
Generation 15: Best Solution = [1.21919954 1.18388867], Best Fitness = 5.64391897218977, Evaluations = 128
Generation 16: Best Solution = [1.21919954 1.18388867], Best Fitness = 5.64391897218977, Evaluations = 136
Generation 17: Best Solution = [-0.54322857 -1.07785132], Best Fitness = 4.896232668041925, Evaluations = 144
Generation 18: Best Solution = [-0.17620305  1.18388867], Best Fitness = 4.302492687034874, Evaluations = 152
Generation 19: Best Solution = [-0.27548732 -0.44608175], Best Fitness = 3.57136659679253, Evaluations = 160
Generation 20: Best Solution = [-0.27548732 -0.44608175], Best Fitness = 3.57136659679253, Evaluations = 168
Generation 21: Best Solution = [-0.27548732 -0.44608175], Best Fitness = 3.57136659679253, Evaluations = 176
Generation 22: Best Solution = [0.33383126 0.06152738], Best Fitness = 2.4198858283229687, Evaluations = 184
Generation 23: Best Solution = [0.33383126 0.06152738], Best Fitness = 2.4198858283229687, Evaluations = 192
Generation 24: Best Solution = [ 0.05946791 -0.03111072], Best Fitness = 0.30599582157233174, Evaluations = 200
Generation 25: Best Solution = [ 0.05946791 -0.03111072], Best Fitness = 0.30599582157233174, Evaluations = 208
Generation 26: Best Solution = [ 0.05946791 -0.03111072], Best Fitness = 0.30599582157233174, Evaluations = 216
Generation 27: Best Solution = [ 0.05946791 -0.03111072], Best Fitness = 0.30599582157233174, Evaluations = 224
Generation 28: Best Solution = [ 0.05946791 -0.03111072], Best Fitness = 0.30599582157233174, Evaluations = 232
Generation 29: Best Solution = [ 0.05946791 -0.03111072], Best Fitness = 0.30599582157233174, Evaluations = 240
Generation 30: Best Solution = [ 0.05540724 -0.01277308], Best Fitness = 0.24474583264353145, Evaluations = 248
Generation 31: Best Solution = [-0.01486089 -0.03111072], Best Fitness = 0.12890004806051225, Evaluations = 256
Generation 32: Best Solution = [-0.01486089 -0.03111072], Best Fitness = 0.12890004806051225, Evaluations = 264
Generation 33: Best Solution = [-0.01557387 -0.0031288 ], Best Fitness = 0.051635397434719454, Evaluations = 272
Generation 34: Best Solution = [-0.01557387 -0.0031288 ], Best Fitness = 0.028185633389924636, Evaluations = 280
Generation 35: Best Solution = [-0.01557387 -0.0031288 ], Best Fitness = 0.028185633389924636, Evaluations = 288
Generation 36: Best Solution = [-0.01557387 -0.0031288 ], Best Fitness = 0.028185633389924636, Evaluations = 296
Generation 37: Best Solution = [-0.01557387 -0.0031288 ], Best Fitness = 0.028185633389924636, Evaluations = 304
Generation 38: Best Solution = [-0.01557387 -0.0031288 ], Best Fitness = 0.028185633389924636, Evaluations = 312
Generation 39: Best Solution = [-0.01557387 -0.0031288 ], Best Fitness = 0.028185633389924636, Evaluations = 320
Generation 40: Best Solution = [-0.01557387 -0.0031288 ], Best Fitness = 0.028185633389924636, Evaluations = 328
Generation 41: Best Solution = [ 8.48963681e-05 -2.72531703e-03], Best Fitness = 0.007910057958540495, Evaluations = 336
Generation 42: Best Solution = [ 8.48963681e-05 -2.72531703e-03], Best Fitness = 0.002517849759133828, Evaluations = 344
Generation 43: Best Solution = [ 8.48963681e-05 -2.72531703e-03], Best Fitness = 0.002517849759133828, Evaluations = 352
Generation 44: Best Solution = [ 8.48963681e-05 -2.72531703e-03], Best Fitness = 0.002517849759133828, Evaluations = 360
Generation 45: Best Solution = [ 8.48963681e-05 -2.72531703e-03], Best Fitness = 0.002517849759133828, Evaluations = 368
Generation 46: Best Solution = [ 8.48963681e-05 -2.72531703e-03], Best Fitness = 0.002517849759133828, Evaluations = 376
Generation 47: Best Solution = [ 8.48963681e-05 -2.72531703e-03], Best Fitness = 0.0014199963674355054, Evaluations = 384
Generation 48: Best Solution = [ 8.48963681e-05 -2.72531703e-03], Best Fitness = 0.0014199963674355054, Evaluations = 392
Generation 49: Best Solution = [ 8.48963681e-05 -2.72531703e-03], Best Fitness = 0.0014199963674355054, Evaluations = 400
Generation 50: Best Solution = [-4.20732302e-04  8.34397802e-05], Best Fitness = 0.0012180861228086037, Evaluations = 408
Generation 51: Best Solution = [-4.20732302e-04  8.34397802e-05], Best Fitness = 0.0012180861228086037, Evaluations = 416
Generation 52: Best Solution = [ 0.0001224  -0.00036739], Best Fitness = 0.0010992746225508832, Evaluations = 424
Generation 53: Best Solution = [ 0.0001224  -0.00036739], Best Fitness = 0.0010992746225508832, Evaluations = 432
Generation 54: Best Solution = [ 0.00017476 -0.00033204], Best Fitness = 0.0010650440427331098, Evaluations = 440
Generation 55: Best Solution = [ 2.30156485e-05 -3.32041452e-04], Best Fitness = 0.0009443584217874168, Evaluations = 448
Generation 56: Best Solution = [ 2.30156485e-05 -3.32041452e-04], Best Fitness = 0.00044352681757375834, Evaluations = 456
Generation 57: Best Solution = [-6.78129650e-05  8.34397802e-05], Best Fitness = 0.0003044235487235092, Evaluations = 464
Generation 58: Best Solution = [-6.78129650e-05  8.34397802e-05], Best Fitness = 0.0003044235487235092, Evaluations = 472
Generation 59: Best Solution = [-3.61735742e-05  1.73872595e-05], Best Fitness = 0.00011356273437757025, Evaluations = 480
Generation 60: Best Solution = [-3.61735742e-05  1.73872595e-05], Best Fitness = 0.00011356273437757025, Evaluations = 488
Generation 61: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.8330542279176854e-05, Evaluations = 496
Generation 62: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.8330542279176854e-05, Evaluations = 504
Generation 63: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.8330542279176854e-05, Evaluations = 512
Generation 64: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.8330542279176854e-05, Evaluations = 520
Generation 65: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.629326286378685e-05, Evaluations = 528
Generation 66: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.629326286378685e-05, Evaluations = 536
Generation 67: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.629326286378685e-05, Evaluations = 544
Generation 68: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.629326286378685e-05, Evaluations = 552
Generation 69: Best Solution = [ 2.50374990e-06 -9.40323542e-07], Best Fitness = 7.564830291517666e-06, Evaluations = 560
Generation 70: Best Solution = [-1.41433117e-06 -3.59785106e-07], Best Fitness = 4.1277950448836975e-06, Evaluations = 568
Generation 71: Best Solution = [-1.41433117e-06 -3.59785106e-07], Best Fitness = 4.1277950448836975e-06, Evaluations = 576
Generation 72: Best Solution = [-1.41433117e-06 -3.59785106e-07], Best Fitness = 4.1277950448836975e-06, Evaluations = 584
Generation 73: Best Solution = [-1.41433117e-06 -3.59785106e-07], Best Fitness = 4.1277950448836975e-06, Evaluations = 592
Generation 74: Best Solution = [-1.40078841e-06  8.44766700e-08], Best Fitness = 3.969278534743381e-06, Evaluations = 600
Generation 75: Best Solution = [-1.40078841e-06  8.44766700e-08], Best Fitness = 3.969278534743381e-06, Evaluations = 608
Generation 76: Best Solution = [-1.40078841e-06  8.44766700e-08], Best Fitness = 1.1054869166748915e-06, Evaluations = 616
Generation 77: Best Solution = [-1.40078841e-06  8.44766700e-08], Best Fitness = 1.1054869166748915e-06, Evaluations = 624
Generation 78: Best Solution = [-1.40078841e-06  8.44766700e-08], Best Fitness = 1.1054869166748915e-06, Evaluations = 632
Generation 79: Best Solution = [-1.48335437e-07 -1.39118554e-07], Best Fitness = 5.752045351137269e-07, Evaluations = 640
