Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [-19.55331901   2.77047937], Best Fitness = 1.386112666365174, Evaluations = 128
Generation 1: Best Solution = [-19.55331901   2.77047937], Best Fitness = 1.386112666365174, Evaluations = 256
Generation 2: Best Solution = [-21.15246566  31.09011572], Best Fitness = 0.6850794493956218, Evaluations = 384
Generation 3: Best Solution = [-21.15246566  31.09011572], Best Fitness = 0.6850794493956218, Evaluations = 512
Generation 4: Best Solution = [-21.15246566  31.09011572], Best Fitness = 0.6850794493956218, Evaluations = 640
Generation 5: Best Solution = [-21.15246566  31.09011572], Best Fitness = 0.6850794493956218, Evaluations = 768
Generation 6: Best Solution = [-21.15246566  31.09011572], Best Fitness = 0.6850794493956218, Evaluations = 896
Generation 7: Best Solution = [-21.15246566  31.09011572], Best Fitness = 0.6850794493956218, Evaluations = 1024
Generation 8: Best Solution = [-21.15246566  31.09011572], Best Fitness = 0.6850794493956218, Evaluations = 1152
Generation 9: Best Solution = [ 19.09677276 -44.72172758], Best Fitness = 0.6423037316292229, Evaluations = 1280
Generation 10: Best Solution = [-25.06105959  17.14038992], Best Fitness = 0.3307220013736015, Evaluations = 1408
Generation 11: Best Solution = [-25.06105959  17.14038992], Best Fitness = 0.3307220013736015, Evaluations = 1536
Generation 12: Best Solution = [-25.06105959  17.14038992], Best Fitness = 0.3307220013736015, Evaluations = 1664
Generation 13: Best Solution = [-25.06105959  17.14038992], Best Fitness = 0.3307220013736015, Evaluations = 1792
Generation 14: Best Solution = [ 15.48411265 -13.84640702], Best Fitness = 0.19743991147600382, Evaluations = 1920
Generation 15: Best Solution = [ 15.48411265 -13.84640702], Best Fitness = 0.19743991147600382, Evaluations = 2048
