Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [  17.85468545 -200.30219637], Best Fitness = 11.635771949673392, Evaluations = 16
Generation 1: Best Solution = [  17.85468545 -200.30219637], Best Fitness = 11.635771949673392, Evaluations = 32
Generation 2: Best Solution = [  17.85468545 -200.30219637], Best Fitness = 11.635771949673392, Evaluations = 48
Generation 3: Best Solution = [17.85468545 64.00147787], Best Fitness = 1.944250928480829, Evaluations = 64
Generation 4: Best Solution = [17.85468545 64.00147787], Best Fitness = 1.944250928480829, Evaluations = 80
Generation 5: Best Solution = [ 33.73038231 -56.46796526], Best Fitness = 1.6670705426163412, Evaluations = 96
Generation 6: Best Solution = [17.85468545 43.49322538], Best Fitness = 1.1228991490006073, Evaluations = 112
Generation 7: Best Solution = [17.85468545 43.49322538], Best Fitness = 0.7906329440401358, Evaluations = 128
Generation 8: Best Solution = [17.85468545 43.49322538], Best Fitness = 0.7906329440401358, Evaluations = 144
Generation 9: Best Solution = [17.85468545 43.49322538], Best Fitness = 0.7906329440401358, Evaluations = 160
Generation 10: Best Solution = [13.45738783 -1.38089993], Best Fitness = 0.6937414226943917, Evaluations = 176
Generation 11: Best Solution = [ 19.54356283 -18.88368987], Best Fitness = 0.6416434757900271, Evaluations = 192
Generation 12: Best Solution = [ 19.54356283 -18.88368987], Best Fitness = 0.6416434757900271, Evaluations = 208
Generation 13: Best Solution = [ 19.54356283 -18.88368987], Best Fitness = 0.6416434757900271, Evaluations = 224
Generation 14: Best Solution = [19.05132781  9.90735586], Best Fitness = 0.38025851735886107, Evaluations = 240
Generation 15: Best Solution = [19.05132781  9.90735586], Best Fitness = 0.14498050215072633, Evaluations = 256
Generation 16: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.11005495155776956, Evaluations = 272
Generation 17: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.11005495155776956, Evaluations = 288
Generation 18: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.11005495155776956, Evaluations = 304
Generation 19: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.11005495155776956, Evaluations = 320
Generation 20: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.11005495155776956, Evaluations = 336
Generation 21: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.11005495155776956, Evaluations = 352
Generation 22: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.11005495155776956, Evaluations = 368
Generation 23: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.11005495155776956, Evaluations = 384
Generation 24: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.11005495155776956, Evaluations = 400
Generation 25: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 416
Generation 26: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 432
Generation 27: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 448
Generation 28: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 464
Generation 29: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 480
Generation 30: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 496
Generation 31: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 512
Generation 32: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 528
Generation 33: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 544
Generation 34: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 560
Generation 35: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 576
Generation 36: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 592
Generation 37: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 608
Generation 38: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 624
Generation 39: Best Solution = [  0.05736003 -17.40889937], Best Fitness = 0.04124946943093555, Evaluations = 640
Generation 40: Best Solution = [-6.21727497 -0.24974159], Best Fitness = 0.02736898689509859, Evaluations = 656
Generation 41: Best Solution = [-6.21727497 -0.24974159], Best Fitness = 0.02736898689509859, Evaluations = 672
Generation 42: Best Solution = [-6.21727497 -0.24974159], Best Fitness = 0.02736898689509859, Evaluations = 688
Generation 43: Best Solution = [-6.21727497 -0.24974159], Best Fitness = 0.02736898689509859, Evaluations = 704
Generation 44: Best Solution = [-6.21727497 -0.24974159], Best Fitness = 0.02736898689509859, Evaluations = 720
Generation 45: Best Solution = [-6.21727497 -0.24974159], Best Fitness = 0.02616046681236428, Evaluations = 736
Generation 46: Best Solution = [-6.21727497 -0.24974159], Best Fitness = 0.02616046681236428, Evaluations = 752
Generation 47: Best Solution = [-6.21727497 -0.24974159], Best Fitness = 0.02616046681236428, Evaluations = 768
Generation 48: Best Solution = [-6.21727497 -0.24974159], Best Fitness = 0.02616046681236428, Evaluations = 784
Generation 49: Best Solution = [-6.22003669  0.03617906], Best Fitness = 0.011992313949691358, Evaluations = 800
Generation 50: Best Solution = [-6.22003669  0.03617906], Best Fitness = 0.011992313949691358, Evaluations = 816
Generation 51: Best Solution = [-6.22003669  0.03617906], Best Fitness = 0.011992313949691358, Evaluations = 832
