Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [144.541952    29.18266821], Best Fitness = 6.649173068885947, Evaluations = 16
Generation 1: Best Solution = [144.541952    29.18266821], Best Fitness = 6.649173068885947, Evaluations = 32
Generation 2: Best Solution = [-50.53901768  -7.36765645], Best Fitness = 1.1927741970726804, Evaluations = 48
Generation 3: Best Solution = [ 16.41664279 -32.47930152], Best Fitness = 0.9051684451604685, Evaluations = 64
Generation 4: Best Solution = [ 16.41664279 -32.47930152], Best Fitness = 0.9051684451604685, Evaluations = 80
Generation 5: Best Solution = [ 16.41664279 -32.47930152], Best Fitness = 0.9051684451604685, Evaluations = 96
Generation 6: Best Solution = [ 16.41664279 -32.47930152], Best Fitness = 0.9051684451604685, Evaluations = 112
Generation 7: Best Solution = [ 16.41664279 -32.47930152], Best Fitness = 0.9051684451604685, Evaluations = 128
Generation 8: Best Solution = [-33.90458034  13.09733064], Best Fitness = 0.5465650767863334, Evaluations = 144
Generation 9: Best Solution = [-33.90458034  13.09733064], Best Fitness = 0.5465650767863334, Evaluations = 160
Generation 10: Best Solution = [-17.95582628  -8.59822554], Best Fitness = 0.4854811527181685, Evaluations = 176
Generation 11: Best Solution = [-17.95582628  -8.59822554], Best Fitness = 0.4854811527181685, Evaluations = 192
Generation 12: Best Solution = [-17.95582628  -8.59822554], Best Fitness = 0.4854811527181685, Evaluations = 208
Generation 13: Best Solution = [-17.95582628  -8.59822554], Best Fitness = 0.4854811527181685, Evaluations = 224
Generation 14: Best Solution = [-17.95582628  -8.59822554], Best Fitness = 0.4854811527181685, Evaluations = 240
Generation 15: Best Solution = [ 12.22966881 -35.51602302], Best Fitness = 0.40906125853606223, Evaluations = 256
Generation 16: Best Solution = [ 12.22966881 -35.51602302], Best Fitness = 0.40906125853606223, Evaluations = 272
Generation 17: Best Solution = [ 12.22966881 -35.51602302], Best Fitness = 0.40906125853606223, Evaluations = 288
