Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [-48.96700256  55.18182317], Best Fitness = 2.29403602757508, Evaluations = 16
Generation 1: Best Solution = [-48.96700256  55.18182317], Best Fitness = 2.29403602757508, Evaluations = 32
Generation 2: Best Solution = [-48.96700256  55.18182317], Best Fitness = 2.29403602757508, Evaluations = 48
Generation 3: Best Solution = [-48.96700256  55.18182317], Best Fitness = 2.29403602757508, Evaluations = 64
Generation 4: Best Solution = [-48.96700256  55.18182317], Best Fitness = 2.29403602757508, Evaluations = 80
Generation 5: Best Solution = [ 23.39794598 -52.36520022], Best Fitness = 1.950230670063552, Evaluations = 96
Generation 6: Best Solution = [ 23.39794598 -52.36520022], Best Fitness = 1.950230670063552, Evaluations = 112
Generation 7: Best Solution = [ 23.39794598 -52.36520022], Best Fitness = 1.950230670063552, Evaluations = 128
Generation 8: Best Solution = [ 23.39794598 -52.36520022], Best Fitness = 1.950230670063552, Evaluations = 144
Generation 9: Best Solution = [ 4.54678046 36.17436869], Best Fitness = 1.481012711470374, Evaluations = 160
Generation 10: Best Solution = [ 4.54678046 36.17436869], Best Fitness = 1.481012711470374, Evaluations = 176
Generation 11: Best Solution = [-32.71418367  -6.56799029], Best Fitness = 1.2966608891003704, Evaluations = 192
Generation 12: Best Solution = [13.72827594 36.17436869], Best Fitness = 1.0156318403891595, Evaluations = 208
Generation 13: Best Solution = [ 34.44237273 -13.63288151], Best Fitness = 0.37255279944681285, Evaluations = 224
Generation 14: Best Solution = [ 34.44237273 -13.63288151], Best Fitness = 0.37255279944681285, Evaluations = 240
Generation 15: Best Solution = [ 34.44237273 -13.63288151], Best Fitness = 0.37255279944681285, Evaluations = 256
Generation 16: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 272
Generation 17: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 288
Generation 18: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 304
Generation 19: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 320
Generation 20: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 336
Generation 21: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 352
Generation 22: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 368
Generation 23: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 384
Generation 24: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 400
Generation 25: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 416
Generation 26: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 432
Generation 27: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 448
Generation 28: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 464
Generation 29: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 480
Generation 30: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 496
Generation 31: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 512
Generation 32: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 528
Generation 33: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 544
Generation 34: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 560
Generation 35: Best Solution = [ 3.04173063 13.35495076], Best Fitness = 0.05205585984808514, Evaluations = 576
Generation 36: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 592
Generation 37: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 608
Generation 38: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 624
Generation 39: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 640
Generation 40: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 656
Generation 41: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 672
Generation 42: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 688
Generation 43: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 704
Generation 44: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 720
Generation 45: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 736
Generation 46: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 752
Generation 47: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 768
Generation 48: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 784
Generation 49: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 800
Generation 50: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 816
Generation 51: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 832
Generation 52: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 848
Generation 53: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 864
Generation 54: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 880
Generation 55: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 896
Generation 56: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 912
Generation 57: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 928
Generation 58: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 944
Generation 59: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 960
Generation 60: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.0369125409594242, Evaluations = 976
Generation 61: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.01662048477994571, Evaluations = 992
Generation 62: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.01662048477994571, Evaluations = 1008
Generation 63: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.01662048477994571, Evaluations = 1024
Generation 64: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.01662048477994571, Evaluations = 1040
Generation 65: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.01662048477994571, Evaluations = 1056
Generation 66: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.01662048477994571, Evaluations = 1072
Generation 67: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.01662048477994571, Evaluations = 1088
Generation 68: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.01662048477994571, Evaluations = 1104
Generation 69: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1120
Generation 70: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1136
Generation 71: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1152
Generation 72: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1168
Generation 73: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1184
Generation 74: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1200
Generation 75: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1216
Generation 76: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1232
Generation 77: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1248
Generation 78: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1264
Generation 79: Best Solution = [0.02788548 0.1187657 ], Best Fitness = 0.0039153765467097035, Evaluations = 1280
Generation 80: Best Solution = [0.02788548 0.1187657 ], Best Fitness = 0.0039153765467097035, Evaluations = 1296
Generation 81: Best Solution = [0.02788548 0.1187657 ], Best Fitness = 0.0039153765467097035, Evaluations = 1312
Generation 82: Best Solution = [0.02788548 0.1187657 ], Best Fitness = 0.003632008980396284, Evaluations = 1328
