Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [20.56761701 43.40530803], Best Fitness = 1.6867141353837958, Evaluations = 16
Generation 1: Best Solution = [20.56761701 43.40530803], Best Fitness = 1.6867141353837958, Evaluations = 32
Generation 2: Best Solution = [20.56761701 43.40530803], Best Fitness = 1.6867141353837958, Evaluations = 48
Generation 3: Best Solution = [ 52.87011309 -22.40707773], Best Fitness = 0.9730263089214503, Evaluations = 64
Generation 4: Best Solution = [ 52.87011309 -22.40707773], Best Fitness = 0.9730263089214503, Evaluations = 80
Generation 5: Best Solution = [ 52.87011309 -22.40707773], Best Fitness = 0.9730263089214503, Evaluations = 96
Generation 6: Best Solution = [-5.89354546 43.40530803], Best Fitness = 0.7865192666756233, Evaluations = 112
Generation 7: Best Solution = [-0.63607301 36.17136244], Best Fitness = 0.6008505791185694, Evaluations = 128
Generation 8: Best Solution = [-0.63607301 36.17136244], Best Fitness = 0.6008505791185694, Evaluations = 144
Generation 9: Best Solution = [-0.63607301 36.17136244], Best Fitness = 0.6008505791185694, Evaluations = 160
Generation 10: Best Solution = [-0.63607301 36.17136244], Best Fitness = 0.6008505791185694, Evaluations = 176
Generation 11: Best Solution = [-0.63607301 36.17136244], Best Fitness = 0.6008505791185694, Evaluations = 192
Generation 12: Best Solution = [-0.63607301 36.17136244], Best Fitness = 0.6008505791185694, Evaluations = 208
Generation 13: Best Solution = [-5.89354546 26.81127374], Best Fitness = 0.268826126200573, Evaluations = 224
Generation 14: Best Solution = [ 9.97771983 -4.50048848], Best Fitness = 0.17967504485479713, Evaluations = 240
Generation 15: Best Solution = [ 9.97771983 -4.50048848], Best Fitness = 0.17967504485479713, Evaluations = 256
Generation 16: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 272
Generation 17: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 288
Generation 18: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 304
Generation 19: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 320
Generation 20: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 336
Generation 21: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 352
Generation 22: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 368
Generation 23: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 384
Generation 24: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 400
Generation 25: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 416
Generation 26: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 432
Generation 27: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 448
Generation 28: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 464
Generation 29: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 480
Generation 30: Best Solution = [-6.41220471  8.54733341], Best Fitness = 0.06511566752747677, Evaluations = 496
Generation 31: Best Solution = [-6.40467679 -8.68511397], Best Fitness = 0.046458145625821734, Evaluations = 512
Generation 32: Best Solution = [-6.40467679 -8.68511397], Best Fitness = 0.046458145625821734, Evaluations = 528
Generation 33: Best Solution = [-6.40467679 -8.68511397], Best Fitness = 0.046458145625821734, Evaluations = 544
Generation 34: Best Solution = [-6.40467679 -8.68511397], Best Fitness = 0.046458145625821734, Evaluations = 560
Generation 35: Best Solution = [-6.40467679 -8.68511397], Best Fitness = 0.046458145625821734, Evaluations = 576
Generation 36: Best Solution = [-6.40467679 -8.68511397], Best Fitness = 0.034376469888651395, Evaluations = 592
Generation 37: Best Solution = [-6.40467679 -8.68511397], Best Fitness = 0.034376469888651395, Evaluations = 608
Generation 38: Best Solution = [-6.40467679 -8.68511397], Best Fitness = 0.034376469888651395, Evaluations = 624
Generation 39: Best Solution = [-6.40467679 -8.68511397], Best Fitness = 0.034376469888651395, Evaluations = 640
Generation 40: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 656
Generation 41: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 672
Generation 42: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 688
Generation 43: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 704
Generation 44: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 720
Generation 45: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 736
Generation 46: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 752
Generation 47: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 768
Generation 48: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 784
Generation 49: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 800
Generation 50: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 816
Generation 51: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 832
Generation 52: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 848
Generation 53: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 864
Generation 54: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 880
Generation 55: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 896
Generation 56: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 912
Generation 57: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 928
Generation 58: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 944
Generation 59: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 960
Generation 60: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 976
Generation 61: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 992
Generation 62: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 1008
Generation 63: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 1024
Generation 64: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 1040
Generation 65: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 1056
Generation 66: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 1072
Generation 67: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 1088
Generation 68: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 1104
Generation 69: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 1120
Generation 70: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 1136
Generation 71: Best Solution = [-3.19572159 -4.50048848], Best Fitness = 0.00990964159100538, Evaluations = 1152
Generation 72: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1168
Generation 73: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1184
Generation 74: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1200
Generation 75: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1216
Generation 76: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1232
Generation 77: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1248
Generation 78: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1264
Generation 79: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1280
Generation 80: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1296
Generation 81: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1312
Generation 82: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1328
Generation 83: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1344
Generation 84: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1360
Generation 85: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1376
Generation 86: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1392
Generation 87: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1408
Generation 88: Best Solution = [-3.16469618 -4.35818632], Best Fitness = 0.009311511749733437, Evaluations = 1424
Generation 89: Best Solution = [-3.12557658 -4.45060921], Best Fitness = 0.007537464241113123, Evaluations = 1440
Generation 90: Best Solution = [-3.12557658 -4.45060921], Best Fitness = 0.007537464241113123, Evaluations = 1456
Generation 91: Best Solution = [-3.12557658 -4.45060921], Best Fitness = 0.007537464241113123, Evaluations = 1472
Generation 92: Best Solution = [-3.12557658 -4.45060921], Best Fitness = 0.007537464241113123, Evaluations = 1488
Generation 93: Best Solution = [-3.12557658 -4.45060921], Best Fitness = 0.007537464241113123, Evaluations = 1504
Generation 94: Best Solution = [-3.12557658 -4.45060921], Best Fitness = 0.007537464241113123, Evaluations = 1520
Generation 95: Best Solution = [-3.12557658 -4.45060921], Best Fitness = 0.007537464241113123, Evaluations = 1536
Generation 96: Best Solution = [0.05511957 0.04469138], Best Fitness = 0.0020184877994361416, Evaluations = 1552
Generation 97: Best Solution = [0.05511957 0.04469138], Best Fitness = 0.0020184877994361416, Evaluations = 1568
Generation 98: Best Solution = [0.05511957 0.04469138], Best Fitness = 0.0020184877994361416, Evaluations = 1584
Generation 99: Best Solution = [0.05511957 0.04469138], Best Fitness = 0.0020184877994361416, Evaluations = 1600
Generation 100: Best Solution = [0.05511957 0.04469138], Best Fitness = 0.0020184877994361416, Evaluations = 1616
Generation 101: Best Solution = [0.05511957 0.04469138], Best Fitness = 0.0020184877994361416, Evaluations = 1632
Generation 102: Best Solution = [0.05511957 0.04469138], Best Fitness = 0.0020184877994361416, Evaluations = 1648
Generation 103: Best Solution = [0.05511957 0.04469138], Best Fitness = 0.0020184877994361416, Evaluations = 1664
Generation 104: Best Solution = [0.05511957 0.04469138], Best Fitness = 0.0020184877994361416, Evaluations = 1680
Generation 105: Best Solution = [0.05511957 0.04469138], Best Fitness = 0.0020184877994361416, Evaluations = 1696
Generation 106: Best Solution = [0.05511957 0.04469138], Best Fitness = 0.0020184877994361416, Evaluations = 1712
Generation 107: Best Solution = [0.05511957 0.04469138], Best Fitness = 0.0020184877994361416, Evaluations = 1728
Generation 108: Best Solution = [0.05755521 0.00850181], Best Fitness = 0.0016747305274076307, Evaluations = 1744
Generation 109: Best Solution = [0.0178359  0.00684787], Best Fitness = 0.0001708680647836136, Evaluations = 1760
Generation 110: Best Solution = [0.0178359  0.00684787], Best Fitness = 0.0001708680647836136, Evaluations = 1776
Generation 111: Best Solution = [0.0178359  0.00684787], Best Fitness = 0.0001708680647836136, Evaluations = 1792
Generation 112: Best Solution = [0.0178359  0.00684787], Best Fitness = 0.0001708680647836136, Evaluations = 1808
Generation 113: Best Solution = [0.0178359  0.00684787], Best Fitness = 0.0001708680647836136, Evaluations = 1824
Generation 114: Best Solution = [0.0178359  0.00684787], Best Fitness = 0.0001708680647836136, Evaluations = 1840
Generation 115: Best Solution = [0.0178359  0.00684787], Best Fitness = 0.0001708680647836136, Evaluations = 1856
Generation 116: Best Solution = [0.0178359  0.00684787], Best Fitness = 0.0001708680647836136, Evaluations = 1872
Generation 117: Best Solution = [0.0178359  0.00684787], Best Fitness = 0.0001708680647836136, Evaluations = 1888
Generation 118: Best Solution = [0.00091376 0.00850181], Best Fitness = 1.850590609453473e-05, Evaluations = 1904
Generation 119: Best Solution = [0.00091376 0.00850181], Best Fitness = 1.850590609453473e-05, Evaluations = 1920
Generation 120: Best Solution = [0.00091376 0.00850181], Best Fitness = 1.850590609453473e-05, Evaluations = 1936
Generation 121: Best Solution = [0.00210025 0.00738872], Best Fitness = 1.5868507319161118e-05, Evaluations = 1952
Generation 122: Best Solution = [0.00210025 0.00738872], Best Fitness = 1.5868507319161118e-05, Evaluations = 1968
Generation 123: Best Solution = [0.00210025 0.00738872], Best Fitness = 1.5868507319161118e-05, Evaluations = 1984
Generation 124: Best Solution = [0.00210025 0.00738872], Best Fitness = 1.5868507319161118e-05, Evaluations = 2000
