Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [-179.29873792   -2.86841083], Best Fitness = 8.608807180327243, Evaluations = 32
Generation 1: Best Solution = [ 67.1561136  -61.19757879], Best Fitness = 3.351007240438608, Evaluations = 64
Generation 2: Best Solution = [ 67.1561136  -61.19757879], Best Fitness = 3.351007240438608, Evaluations = 96
Generation 3: Best Solution = [-24.94137374  -4.67055454], Best Fitness = 2.1300220267482706, Evaluations = 128
Generation 4: Best Solution = [0.73990339 4.02365012], Best Fitness = 1.7105044894634216, Evaluations = 160
Generation 5: Best Solution = [15.25345786 -2.0923963 ], Best Fitness = 1.1411327870805668, Evaluations = 192
Generation 6: Best Solution = [15.25345786 -2.0923963 ], Best Fitness = 1.1411327870805668, Evaluations = 224
Generation 7: Best Solution = [ 0.73990339 36.07887502], Best Fitness = 0.6394005551893586, Evaluations = 256
Generation 8: Best Solution = [  6.05344199 -35.14005145], Best Fitness = 0.38341290139010886, Evaluations = 288
Generation 9: Best Solution = [  6.05344199 -35.14005145], Best Fitness = 0.38341290139010886, Evaluations = 320
Generation 10: Best Solution = [  6.05344199 -35.14005145], Best Fitness = 0.38341290139010886, Evaluations = 352
Generation 11: Best Solution = [  6.05344199 -35.14005145], Best Fitness = 0.38341290139010886, Evaluations = 384
Generation 12: Best Solution = [-0.76694866  9.05595659], Best Fitness = 0.30582578474577937, Evaluations = 416
Generation 13: Best Solution = [18.95618102 -9.46942039], Best Fitness = 0.20141512681775997, Evaluations = 448
Generation 14: Best Solution = [18.95618102 -9.46942039], Best Fitness = 0.20141512681775997, Evaluations = 480
Generation 15: Best Solution = [18.95618102 -9.46942039], Best Fitness = 0.20141512681775997, Evaluations = 512
Generation 16: Best Solution = [  9.81436247 -12.88006096], Best Fitness = 0.18663663004850517, Evaluations = 544
Generation 17: Best Solution = [21.88153092 -4.12109176], Best Fitness = 0.15556938378060736, Evaluations = 576
Generation 18: Best Solution = [21.88153092 -4.12109176], Best Fitness = 0.15556938378060736, Evaluations = 608
Generation 19: Best Solution = [21.88153092 -4.12109176], Best Fitness = 0.15556938378060736, Evaluations = 640
Generation 20: Best Solution = [21.88153092 -4.12109176], Best Fitness = 0.15556938378060736, Evaluations = 672
Generation 21: Best Solution = [21.88153092 -4.12109176], Best Fitness = 0.15556938378060736, Evaluations = 704
Generation 22: Best Solution = [21.88153092 -4.12109176], Best Fitness = 0.15556938378060736, Evaluations = 736
Generation 23: Best Solution = [21.88153092 -4.12109176], Best Fitness = 0.15556938378060736, Evaluations = 768
Generation 24: Best Solution = [-12.45035709   0.06876079], Best Fitness = 0.04664988940509762, Evaluations = 800
Generation 25: Best Solution = [-12.45035709   0.06876079], Best Fitness = 0.04664988940509762, Evaluations = 832
Generation 26: Best Solution = [-12.45035709   0.06876079], Best Fitness = 0.04664988940509762, Evaluations = 864
Generation 27: Best Solution = [-12.45035709   0.06876079], Best Fitness = 0.04664988940509762, Evaluations = 896
Generation 28: Best Solution = [-12.45035709   0.06876079], Best Fitness = 0.04664988940509762, Evaluations = 928
Generation 29: Best Solution = [-12.45035709   0.06876079], Best Fitness = 0.04664988940509762, Evaluations = 960
Generation 30: Best Solution = [-12.45035709   0.06876079], Best Fitness = 0.04664988940509762, Evaluations = 992
Generation 31: Best Solution = [-12.45035709   0.06876079], Best Fitness = 0.04664988940509762, Evaluations = 1024
Generation 32: Best Solution = [-12.45035709   0.06876079], Best Fitness = 0.04664988940509762, Evaluations = 1056
Generation 33: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1088
Generation 34: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1120
Generation 35: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1152
Generation 36: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1184
Generation 37: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1216
Generation 38: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1248
Generation 39: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1280
Generation 40: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1312
Generation 41: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1344
Generation 42: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1376
Generation 43: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1408
Generation 44: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1440
Generation 45: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1472
Generation 46: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1504
Generation 47: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1536
Generation 48: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1568
Generation 49: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1600
Generation 50: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1632
Generation 51: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1664
Generation 52: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1696
Generation 53: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1728
Generation 54: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1760
Generation 55: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1792
Generation 56: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1824
Generation 57: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1856
Generation 58: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1888
Generation 59: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1920
Generation 60: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1952
Generation 61: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 1984
Generation 62: Best Solution = [6.29041668 0.08146029], Best Fitness = 0.011578583434090461, Evaluations = 2016
