Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [ -2.25091875 -58.50458981], Best Fitness = 1.3138106310438271, Evaluations = 32
Generation 1: Best Solution = [ -2.25091875 -58.50458981], Best Fitness = 1.3138106310438271, Evaluations = 64
Generation 2: Best Solution = [ -2.25091875 -58.50458981], Best Fitness = 1.3138106310438271, Evaluations = 96
Generation 3: Best Solution = [ -2.25091875 -58.50458981], Best Fitness = 1.3138106310438271, Evaluations = 128
Generation 4: Best Solution = [ -2.25091875 -58.50458981], Best Fitness = 1.3138106310438271, Evaluations = 160
Generation 5: Best Solution = [ -2.25091875 -58.50458981], Best Fitness = 1.3138106310438271, Evaluations = 192
Generation 6: Best Solution = [ -2.25091875 -58.50458981], Best Fitness = 1.3138106310438271, Evaluations = 224
Generation 7: Best Solution = [-30.78927506 -18.35218643], Best Fitness = 0.578520552420374, Evaluations = 256
Generation 8: Best Solution = [-30.78927506 -18.35218643], Best Fitness = 0.578520552420374, Evaluations = 288
Generation 9: Best Solution = [38.06037287  0.42279775], Best Fitness = 0.46823524559043417, Evaluations = 320
Generation 10: Best Solution = [  9.04003748 -12.38004049], Best Fitness = 0.33266776457809544, Evaluations = 352
Generation 11: Best Solution = [  9.04003748 -12.38004049], Best Fitness = 0.33266776457809544, Evaluations = 384
Generation 12: Best Solution = [-25.20817792  17.81578997], Best Fitness = 0.2415459149307323, Evaluations = 416
Generation 13: Best Solution = [-25.20817792  17.81578997], Best Fitness = 0.2415459149307323, Evaluations = 448
Generation 14: Best Solution = [-0.46308881  0.42279775], Best Fitness = 0.14510708623502455, Evaluations = 480
Generation 15: Best Solution = [-0.46308881  0.42279775], Best Fitness = 0.14510708623502455, Evaluations = 512
Generation 16: Best Solution = [-0.46308881  0.42279775], Best Fitness = 0.14510708623502455, Evaluations = 544
Generation 17: Best Solution = [-0.46308881  0.42279775], Best Fitness = 0.14510708623502455, Evaluations = 576
Generation 18: Best Solution = [-0.46308881  0.42279775], Best Fitness = 0.14510708623502455, Evaluations = 608
Generation 19: Best Solution = [-12.4433327   17.81578997], Best Fitness = 0.1261053020116466, Evaluations = 640
Generation 20: Best Solution = [-12.4433327   17.81578997], Best Fitness = 0.1261053020116466, Evaluations = 672
Generation 21: Best Solution = [-12.4433327   17.81578997], Best Fitness = 0.1261053020116466, Evaluations = 704
Generation 22: Best Solution = [-12.4433327   17.81578997], Best Fitness = 0.1261053020116466, Evaluations = 736
Generation 23: Best Solution = [-12.4433327   17.81578997], Best Fitness = 0.1261053020116466, Evaluations = 768
Generation 24: Best Solution = [ -9.35933696 -13.27097103], Best Fitness = 0.06889924994494989, Evaluations = 800
Generation 25: Best Solution = [ -9.35933696 -13.27097103], Best Fitness = 0.06889924994494989, Evaluations = 832
Generation 26: Best Solution = [ -9.35933696 -13.27097103], Best Fitness = 0.06889924994494989, Evaluations = 864
Generation 27: Best Solution = [ -9.35933696 -13.27097103], Best Fitness = 0.06889924994494989, Evaluations = 896
Generation 28: Best Solution = [ -9.35933696 -13.27097103], Best Fitness = 0.06889924994494989, Evaluations = 928
Generation 29: Best Solution = [-9.31916515  4.33550359], Best Fitness = 0.0348478515689542, Evaluations = 960
Generation 30: Best Solution = [-6.29045893 -8.8381329 ], Best Fitness = 0.030014225957175178, Evaluations = 992
Generation 31: Best Solution = [-6.29045893 -8.8381329 ], Best Fitness = 0.030014225957175178, Evaluations = 1024
Generation 32: Best Solution = [-6.29045893 -8.8381329 ], Best Fitness = 0.030014225957175178, Evaluations = 1056
Generation 33: Best Solution = [-6.29045893 -8.8381329 ], Best Fitness = 0.030014225957175178, Evaluations = 1088
Generation 34: Best Solution = [-6.29045893 -8.8381329 ], Best Fitness = 0.030014225957175178, Evaluations = 1120
Generation 35: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1152
Generation 36: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1184
Generation 37: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1216
Generation 38: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1248
Generation 39: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1280
Generation 40: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1312
Generation 41: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1344
Generation 42: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1376
Generation 43: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1408
Generation 44: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1440
Generation 45: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1472
Generation 46: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1504
Generation 47: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1536
Generation 48: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1568
Generation 49: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1600
Generation 50: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1632
Generation 51: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1664
Generation 52: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1696
Generation 53: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1728
Generation 54: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1760
Generation 55: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1792
Generation 56: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1824
Generation 57: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1856
Generation 58: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1888
Generation 59: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1920
Generation 60: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1952
Generation 61: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 1984
Generation 62: Best Solution = [ 0.01587942 -0.00952332], Best Fitness = 0.0001488315528099804, Evaluations = 2016
