Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 64
Max Evaluations: 2000

Generation 0: Best Solution = [-90.36563172 -29.75374991], Best Fitness = 2.834715276063469, Evaluations = 64
Generation 1: Best Solution = [-90.36563172 -29.75374991], Best Fitness = 2.834715276063469, Evaluations = 128
Generation 2: Best Solution = [36.07798499  1.56422534], Best Fitness = 1.3485642749520257, Evaluations = 192
Generation 3: Best Solution = [-23.95648583  -1.9706226 ], Best Fitness = 1.0766331978844585, Evaluations = 256
Generation 4: Best Solution = [-21.40276283  12.21789971], Best Fitness = 0.5636525526392604, Evaluations = 320
Generation 5: Best Solution = [-21.40276283  12.21789971], Best Fitness = 0.5636525526392604, Evaluations = 384
Generation 6: Best Solution = [22.17608809 30.54715763], Best Fitness = 0.4474814926003279, Evaluations = 448
Generation 7: Best Solution = [22.17608809 30.54715763], Best Fitness = 0.4474814926003279, Evaluations = 512
Generation 8: Best Solution = [22.17608809 30.54715763], Best Fitness = 0.4474814926003279, Evaluations = 576
Generation 9: Best Solution = [22.17608809 30.54715763], Best Fitness = 0.4474814926003279, Evaluations = 640
Generation 10: Best Solution = [-15.12984921  -4.63609235], Best Fitness = 0.23291046445727537, Evaluations = 704
Generation 11: Best Solution = [-15.12984921  -4.63609235], Best Fitness = 0.23291046445727537, Evaluations = 768
Generation 12: Best Solution = [-15.12984921  -4.63609235], Best Fitness = 0.23291046445727537, Evaluations = 832
Generation 13: Best Solution = [24.83733319 -0.34749899], Best Fitness = 0.22630622356115637, Evaluations = 896
Generation 14: Best Solution = [-12.19367242  -8.5354941 ], Best Fitness = 0.15245794814108027, Evaluations = 960
Generation 15: Best Solution = [-12.19367242  -8.5354941 ], Best Fitness = 0.15245794814108027, Evaluations = 1024
Generation 16: Best Solution = [-12.19367242  -8.5354941 ], Best Fitness = 0.15245794814108027, Evaluations = 1088
Generation 17: Best Solution = [-12.19367242  -8.5354941 ], Best Fitness = 0.15245794814108027, Evaluations = 1152
Generation 18: Best Solution = [-12.19367242  -8.5354941 ], Best Fitness = 0.15245794814108027, Evaluations = 1216
Generation 19: Best Solution = [-12.19367242  -8.5354941 ], Best Fitness = 0.15245794814108027, Evaluations = 1280
Generation 20: Best Solution = [-12.19367242  -8.5354941 ], Best Fitness = 0.15245794814108027, Evaluations = 1344
Generation 21: Best Solution = [-12.19367242  -8.5354941 ], Best Fitness = 0.15245794814108027, Evaluations = 1408
Generation 22: Best Solution = [15.7993792  -4.32102056], Best Fitness = 0.07494324796760632, Evaluations = 1472
Generation 23: Best Solution = [15.7993792  -4.32102056], Best Fitness = 0.07494324796760632, Evaluations = 1536
Generation 24: Best Solution = [15.7993792  -4.32102056], Best Fitness = 0.07494324796760632, Evaluations = 1600
Generation 25: Best Solution = [15.7993792  -4.32102056], Best Fitness = 0.07494324796760632, Evaluations = 1664
Generation 26: Best Solution = [15.7993792  -4.32102056], Best Fitness = 0.07494324796760632, Evaluations = 1728
Generation 27: Best Solution = [15.7993792  -4.32102056], Best Fitness = 0.07494324796760632, Evaluations = 1792
Generation 28: Best Solution = [15.7993792  -4.32102056], Best Fitness = 0.07494324796760632, Evaluations = 1856
Generation 29: Best Solution = [15.7993792  -4.32102056], Best Fitness = 0.07494324796760632, Evaluations = 1920
Generation 30: Best Solution = [15.7993792  -4.32102056], Best Fitness = 0.07494324796760632, Evaluations = 1984
Generation 31: Best Solution = [15.7993792  -4.32102056], Best Fitness = 0.07494324796760632, Evaluations = 2048
