Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [  64.27729927 -219.0004631 ], Best Fitness = 14.099066407118503, Evaluations = 8
Generation 1: Best Solution = [  64.27729927 -219.0004631 ], Best Fitness = 14.099066407118503, Evaluations = 16
Generation 2: Best Solution = [  64.27729927 -219.0004631 ], Best Fitness = 14.099066407118503, Evaluations = 24
Generation 3: Best Solution = [  64.27729927 -167.71543229], Best Fitness = 8.976818073111271, Evaluations = 32
Generation 4: Best Solution = [ -43.69985472 -167.71543229], Best Fitness = 7.832080315510111, Evaluations = 40
Generation 5: Best Solution = [-124.97072018   74.81822951], Best Fitness = 6.97806272720696, Evaluations = 48
Generation 6: Best Solution = [58.21490853 -2.00175334], Best Fitness = 1.8629903010850057, Evaluations = 56
Generation 7: Best Solution = [58.21490853 -2.00175334], Best Fitness = 1.8629903010850057, Evaluations = 64
Generation 8: Best Solution = [58.21490853 -2.00175334], Best Fitness = 1.8629903010850057, Evaluations = 72
Generation 9: Best Solution = [58.21490853 -2.00175334], Best Fitness = 0.9694434062121191, Evaluations = 80
Generation 10: Best Solution = [58.21490853 -2.00175334], Best Fitness = 0.9694434062121191, Evaluations = 88
Generation 11: Best Solution = [58.21490853 -2.00175334], Best Fitness = 0.9694434062121191, Evaluations = 96
Generation 12: Best Solution = [58.21490853 -2.00175334], Best Fitness = 0.9694434062121191, Evaluations = 104
Generation 13: Best Solution = [58.21490853 -2.00175334], Best Fitness = 0.9694434062121191, Evaluations = 112
Generation 14: Best Solution = [-36.93944703   0.12522944], Best Fitness = 0.6189085645986665, Evaluations = 120
Generation 15: Best Solution = [-36.93944703   0.12522944], Best Fitness = 0.6189085645986665, Evaluations = 128
Generation 16: Best Solution = [-14.94233454 -12.4326906 ], Best Fitness = 0.5134228784116845, Evaluations = 136
Generation 17: Best Solution = [-14.94233454 -12.4326906 ], Best Fitness = 0.5134228784116845, Evaluations = 144
Generation 18: Best Solution = [-31.41451032   0.12522944], Best Fitness = 0.25064082641218255, Evaluations = 152
Generation 19: Best Solution = [-31.41451032   0.12522944], Best Fitness = 0.25064082641218255, Evaluations = 160
Generation 20: Best Solution = [-31.41451032   0.12522944], Best Fitness = 0.25064082641218255, Evaluations = 168
