Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [-0.16685499  0.02364142], Best Fitness = 5.148773427190431, Evaluations = 128
Generation 1: Best Solution = [-0.16685499  0.02364142], Best Fitness = 5.148773427190431, Evaluations = 256
Generation 2: Best Solution = [-0.16685499  0.02364142], Best Fitness = 5.148773427190431, Evaluations = 384
Generation 3: Best Solution = [1.05959577 1.09330035], Best Fitness = 4.680605268789407, Evaluations = 512
Generation 4: Best Solution = [-0.95367784  0.06646947], Best Fitness = 2.1940035918458918, Evaluations = 640
Generation 5: Best Solution = [-0.95367784  0.06646947], Best Fitness = 2.1940035918458918, Evaluations = 768
Generation 6: Best Solution = [-0.95367784  0.06646947], Best Fitness = 2.1940035918458918, Evaluations = 896
Generation 7: Best Solution = [-0.95367784  0.06646947], Best Fitness = 2.1940035918458918, Evaluations = 1024
Generation 8: Best Solution = [-0.95367784  0.06646947], Best Fitness = 2.1940035918458918, Evaluations = 1152
Generation 9: Best Solution = [-0.00129942  0.00996199], Best Fitness = 0.020017270605126924, Evaluations = 1280
Generation 10: Best Solution = [-0.00129942  0.00996199], Best Fitness = 0.020017270605126924, Evaluations = 1408
Generation 11: Best Solution = [-0.00129942  0.00996199], Best Fitness = 0.020017270605126924, Evaluations = 1536
Generation 12: Best Solution = [-0.00129942  0.00996199], Best Fitness = 0.020017270605126924, Evaluations = 1664
Generation 13: Best Solution = [-0.00129942  0.00996199], Best Fitness = 0.020017270605126924, Evaluations = 1792
Generation 14: Best Solution = [-0.00129942  0.00996199], Best Fitness = 0.020017270605126924, Evaluations = 1920
Generation 15: Best Solution = [-0.00129942  0.00996199], Best Fitness = 0.020017270605126924, Evaluations = 2048
