Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [-2.07614052  2.2867655 ], Best Fitness = 22.951906767269193, Evaluations = 16
Generation 1: Best Solution = [ 1.48559262 -0.00242177], Best Fitness = 22.16720379441498, Evaluations = 32
Generation 2: Best Solution = [-1.84593174  0.07734709], Best Fitness = 8.902141720708304, Evaluations = 48
Generation 3: Best Solution = [-1.84593174  0.07734709], Best Fitness = 8.902141720708304, Evaluations = 64
Generation 4: Best Solution = [-1.84593174  0.07734709], Best Fitness = 8.902141720708304, Evaluations = 80
Generation 5: Best Solution = [ 1.10610311 -0.00242177], Best Fitness = 3.365747890633621, Evaluations = 96
Generation 6: Best Solution = [ 1.10610311 -0.00242177], Best Fitness = 3.365747890633621, Evaluations = 112
Generation 7: Best Solution = [0.99439849 1.05062941], Best Fitness = 2.6005733056624223, Evaluations = 128
Generation 8: Best Solution = [0.99439849 1.05062941], Best Fitness = 2.6005733056624223, Evaluations = 144
Generation 9: Best Solution = [0.99439849 1.05062941], Best Fitness = 2.6005733056624223, Evaluations = 160
Generation 10: Best Solution = [0.99439849 1.05062941], Best Fitness = 2.6005733056624223, Evaluations = 176
Generation 11: Best Solution = [0.99439849 1.05062941], Best Fitness = 0.9688213270652426, Evaluations = 192
Generation 12: Best Solution = [0.99439849 1.05062941], Best Fitness = 0.9688213270652426, Evaluations = 208
Generation 13: Best Solution = [0.99439849 1.05062941], Best Fitness = 0.9688213270652426, Evaluations = 224
Generation 14: Best Solution = [-0.02924206 -0.05615326], Best Fitness = 0.7883082054637214, Evaluations = 240
Generation 15: Best Solution = [-0.03916173 -0.00871347], Best Fitness = 0.31779704814205445, Evaluations = 256
Generation 16: Best Solution = [-0.03916173 -0.00871347], Best Fitness = 0.31779704814205445, Evaluations = 272
Generation 17: Best Solution = [-0.03916173 -0.00871347], Best Fitness = 0.31779704814205445, Evaluations = 288
Generation 18: Best Solution = [-0.03916173 -0.00871347], Best Fitness = 0.31779704814205445, Evaluations = 304
Generation 19: Best Solution = [-0.03916173 -0.00871347], Best Fitness = 0.31779704814205445, Evaluations = 320
Generation 20: Best Solution = [ 0.00600397 -0.02287276], Best Fitness = 0.11076452853464858, Evaluations = 336
Generation 21: Best Solution = [ 0.00600397 -0.02287276], Best Fitness = 0.11076452853464858, Evaluations = 352
Generation 22: Best Solution = [-0.02166413  0.00942439], Best Fitness = 0.11058517587587602, Evaluations = 368
Generation 23: Best Solution = [-0.02166413  0.00942439], Best Fitness = 0.11058517587587602, Evaluations = 384
Generation 24: Best Solution = [0.00653131 0.01389675], Best Fitness = 0.04675103912163081, Evaluations = 400
