Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [-1.9159992  -1.00049098], Best Fitness = 6.032873739558525, Evaluations = 16
Generation 1: Best Solution = [-1.9159992  -1.00049098], Best Fitness = 6.032873739558525, Evaluations = 32
Generation 2: Best Solution = [-1.9159992  -1.00049098], Best Fitness = 6.032873739558525, Evaluations = 48
Generation 3: Best Solution = [-1.9159992  -1.00049098], Best Fitness = 6.032873739558525, Evaluations = 64
Generation 4: Best Solution = [-1.9159992  -1.00049098], Best Fitness = 6.032873739558525, Evaluations = 80
Generation 5: Best Solution = [ 0.8685678  -1.00049098], Best Fitness = 4.975843506463033, Evaluations = 96
Generation 6: Best Solution = [ 0.8685678  -1.00049098], Best Fitness = 4.975843506463033, Evaluations = 112
Generation 7: Best Solution = [ 0.8685678  -1.00049098], Best Fitness = 4.975843506463033, Evaluations = 128
Generation 8: Best Solution = [ 0.8685678  -1.00049098], Best Fitness = 4.975843506463033, Evaluations = 144
Generation 9: Best Solution = [0.02416911 0.12682177], Best Fitness = 3.142085033717418, Evaluations = 160
Generation 10: Best Solution = [0.02416911 0.12682177], Best Fitness = 3.142085033717418, Evaluations = 176
Generation 11: Best Solution = [0.02416911 0.12682177], Best Fitness = 1.402826282793555, Evaluations = 192
Generation 12: Best Solution = [0.02416911 0.12682177], Best Fitness = 1.402826282793555, Evaluations = 208
Generation 13: Best Solution = [0.02416911 0.12682177], Best Fitness = 1.402826282793555, Evaluations = 224
Generation 14: Best Solution = [0.02416911 0.12682177], Best Fitness = 1.402826282793555, Evaluations = 240
Generation 15: Best Solution = [0.02416911 0.12682177], Best Fitness = 1.402826282793555, Evaluations = 256
Generation 16: Best Solution = [0.02416911 0.12682177], Best Fitness = 1.402826282793555, Evaluations = 272
Generation 17: Best Solution = [0.02416911 0.12682177], Best Fitness = 1.402826282793555, Evaluations = 288
Generation 18: Best Solution = [0.02416911 0.12682177], Best Fitness = 1.402826282793555, Evaluations = 304
Generation 19: Best Solution = [0.02416911 0.12682177], Best Fitness = 1.402826282793555, Evaluations = 320
Generation 20: Best Solution = [0.02416911 0.12682177], Best Fitness = 1.402826282793555, Evaluations = 336
