Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [2.97261258 0.88773463], Best Fitness = 12.158565482747925, Evaluations = 32
Generation 1: Best Solution = [0.89992672 2.13650056], Best Fitness = 10.744937033245543, Evaluations = 64
Generation 2: Best Solution = [0.89930492 0.88773463], Best Fitness = 5.9187737294322815, Evaluations = 96
Generation 3: Best Solution = [0.89930492 0.88773463], Best Fitness = 5.9187737294322815, Evaluations = 128
Generation 4: Best Solution = [0.07646619 0.91508363], Best Fitness = 3.365266789359204, Evaluations = 160
Generation 5: Best Solution = [-0.0380493   0.08729941], Best Fitness = 1.7605043074681603, Evaluations = 192
Generation 6: Best Solution = [-0.0380493   0.08729941], Best Fitness = 1.7605043074681603, Evaluations = 224
Generation 7: Best Solution = [-0.0380493   0.08729941], Best Fitness = 1.7605043074681603, Evaluations = 256
Generation 8: Best Solution = [-0.0380493   0.08729941], Best Fitness = 1.7605043074681603, Evaluations = 288
Generation 9: Best Solution = [-0.02986281 -0.9694498 ], Best Fitness = 1.2999045590598932, Evaluations = 320
Generation 10: Best Solution = [-0.02986281 -0.9694498 ], Best Fitness = 1.2999045590598932, Evaluations = 352
Generation 11: Best Solution = [-0.02986281 -0.9694498 ], Best Fitness = 1.2999045590598932, Evaluations = 384
Generation 12: Best Solution = [-0.02986281 -0.9694498 ], Best Fitness = 1.2999045590598932, Evaluations = 416
Generation 13: Best Solution = [-0.02986281 -0.9694498 ], Best Fitness = 1.2999045590598932, Evaluations = 448
Generation 14: Best Solution = [-0.02986281 -0.9694498 ], Best Fitness = 1.2999045590598932, Evaluations = 480
Generation 15: Best Solution = [-0.0380493 -0.0608961], Best Fitness = 1.0126808711824964, Evaluations = 512
Generation 16: Best Solution = [-0.0380493 -0.0608961], Best Fitness = 1.0126808711824964, Evaluations = 544
Generation 17: Best Solution = [-0.0380493 -0.0608961], Best Fitness = 1.0126808711824964, Evaluations = 576
Generation 18: Best Solution = [-0.0380493 -0.0608961], Best Fitness = 1.0126808711824964, Evaluations = 608
Generation 19: Best Solution = [-0.0380493 -0.0608961], Best Fitness = 1.0126808711824964, Evaluations = 640
Generation 20: Best Solution = [0.01820839 0.05031339], Best Fitness = 0.5637741911173464, Evaluations = 672
Generation 21: Best Solution = [0.01464125 0.01036318], Best Fitness = 0.06379763270733108, Evaluations = 704
Generation 22: Best Solution = [0.01464125 0.01036318], Best Fitness = 0.06379763270733108, Evaluations = 736
Generation 23: Best Solution = [0.01464125 0.01036318], Best Fitness = 0.06379763270733108, Evaluations = 768
Generation 24: Best Solution = [0.01464125 0.01036318], Best Fitness = 0.06379763270733108, Evaluations = 800
Generation 25: Best Solution = [0.01464125 0.01036318], Best Fitness = 0.06379763270733108, Evaluations = 832
Generation 26: Best Solution = [0.01464125 0.01036318], Best Fitness = 0.06379763270733108, Evaluations = 864
Generation 27: Best Solution = [0.01464125 0.01036318], Best Fitness = 0.06379763270733108, Evaluations = 896
Generation 28: Best Solution = [0.01464125 0.01036318], Best Fitness = 0.06379763270733108, Evaluations = 928
Generation 29: Best Solution = [0.01464125 0.01036318], Best Fitness = 0.06379763270733108, Evaluations = 960
Generation 30: Best Solution = [0.01464125 0.01036318], Best Fitness = 0.06379763270733108, Evaluations = 992
Generation 31: Best Solution = [-0.01040139 -0.00800033], Best Fitness = 0.03415169347963243, Evaluations = 1024
Generation 32: Best Solution = [0.01088229 0.00105124], Best Fitness = 0.0237045530275104, Evaluations = 1056
Generation 33: Best Solution = [0.01088229 0.00105124], Best Fitness = 0.0237045530275104, Evaluations = 1088
Generation 34: Best Solution = [0.01088229 0.00105124], Best Fitness = 0.0237045530275104, Evaluations = 1120
Generation 35: Best Solution = [ 0.00930223 -0.00305955], Best Fitness = 0.019019354166069036, Evaluations = 1152
Generation 36: Best Solution = [ 0.00930223 -0.00305955], Best Fitness = 0.019019354166069036, Evaluations = 1184
Generation 37: Best Solution = [ 0.00930223 -0.00305955], Best Fitness = 0.019019354166069036, Evaluations = 1216
Generation 38: Best Solution = [ 0.00545099 -0.00703368], Best Fitness = 0.015707690513263373, Evaluations = 1248
Generation 39: Best Solution = [-0.00366983  0.0002379 ], Best Fitness = 0.0026829935182313136, Evaluations = 1280
Generation 40: Best Solution = [-0.00153027  0.00168615], Best Fitness = 0.0010286180236178666, Evaluations = 1312
Generation 41: Best Solution = [-0.00153027  0.00168615], Best Fitness = 0.0010286180236178666, Evaluations = 1344
Generation 42: Best Solution = [-0.00153027  0.00168615], Best Fitness = 0.0006079463100050475, Evaluations = 1376
Generation 43: Best Solution = [-0.00153027  0.00168615], Best Fitness = 0.0006079463100050475, Evaluations = 1408
Generation 44: Best Solution = [-0.00153027  0.00168615], Best Fitness = 0.0006079463100050475, Evaluations = 1440
Generation 45: Best Solution = [-0.00137936  0.00045117], Best Fitness = 0.0004178504237124514, Evaluations = 1472
Generation 46: Best Solution = [-0.00137936  0.00045117], Best Fitness = 0.0004178504237124514, Evaluations = 1504
Generation 47: Best Solution = [-0.00137936  0.00045117], Best Fitness = 0.0004178504237124514, Evaluations = 1536
Generation 48: Best Solution = [-0.00038885 -0.00020335], Best Fitness = 3.820146033461924e-05, Evaluations = 1568
Generation 49: Best Solution = [4.16952969e-04 3.57804893e-05], Best Fitness = 3.474439105843885e-05, Evaluations = 1600
Generation 50: Best Solution = [4.16952969e-04 3.57804893e-05], Best Fitness = 3.474439105843885e-05, Evaluations = 1632
Generation 51: Best Solution = [-0.00021229 -0.00027093], Best Fitness = 2.3504036029464714e-05, Evaluations = 1664
Generation 52: Best Solution = [-3.01437843e-04 -1.03832054e-05], Best Fitness = 1.8048235524759093e-05, Evaluations = 1696
Generation 53: Best Solution = [ 1.44183163e-04 -9.79131884e-05], Best Fitness = 6.0263134642468685e-06, Evaluations = 1728
Generation 54: Best Solution = [-7.76263843e-05 -1.03832054e-05], Best Fitness = 1.2168708778403925e-06, Evaluations = 1760
Generation 55: Best Solution = [-7.76263843e-05 -1.03832054e-05], Best Fitness = 1.2168708778403925e-06, Evaluations = 1792
Generation 56: Best Solution = [ 9.23908687e-06 -9.57477565e-06], Best Fitness = 3.512275270622922e-08, Evaluations = 1824
Generation 57: Best Solution = [ 9.23908687e-06 -9.57477565e-06], Best Fitness = 3.512275270622922e-08, Evaluations = 1856
Generation 58: Best Solution = [ 9.23908687e-06 -9.57477565e-06], Best Fitness = 3.512275270622922e-08, Evaluations = 1888
Generation 59: Best Solution = [ 9.23908687e-06 -9.57477565e-06], Best Fitness = 3.512275270622922e-08, Evaluations = 1920
Generation 60: Best Solution = [ 9.23908687e-06 -9.57477565e-06], Best Fitness = 3.512275270622922e-08, Evaluations = 1952
Generation 61: Best Solution = [ 4.41530156e-06 -2.25563005e-06], Best Fitness = 4.877023229710176e-09, Evaluations = 1984
Generation 62: Best Solution = [ 4.41530156e-06 -2.25563005e-06], Best Fitness = 4.877023229710176e-09, Evaluations = 2016
