Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [ 0.15235998 -1.70924541], Best Fitness = 19.720278971491027, Evaluations = 8
Generation 1: Best Solution = [ 1.11044667 -2.09067626], Best Fitness = 9.496370992409306, Evaluations = 16
Generation 2: Best Solution = [ 1.11044667 -2.09067626], Best Fitness = 9.496370992409306, Evaluations = 24
Generation 3: Best Solution = [ 1.11044667 -2.09067626], Best Fitness = 9.496370992409306, Evaluations = 32
Generation 4: Best Solution = [ 1.11044667 -2.09067626], Best Fitness = 9.496370992409306, Evaluations = 40
Generation 5: Best Solution = [ 0.01173527 -1.91318881], Best Fitness = 5.138665945698339, Evaluations = 48
Generation 6: Best Solution = [ 0.01173527 -1.91318881], Best Fitness = 5.138665945698339, Evaluations = 56
Generation 7: Best Solution = [ 0.01173527 -1.91318881], Best Fitness = 5.138665945698339, Evaluations = 64
Generation 8: Best Solution = [ 0.01173527 -1.91318881], Best Fitness = 5.138665945698339, Evaluations = 72
Generation 9: Best Solution = [ 0.01173527 -1.91318881], Best Fitness = 5.138665945698339, Evaluations = 80
Generation 10: Best Solution = [ 0.01173527 -1.91318881], Best Fitness = 5.138665945698339, Evaluations = 88
Generation 11: Best Solution = [ 0.01173527 -1.91318881], Best Fitness = 5.138665945698339, Evaluations = 96
Generation 12: Best Solution = [ 0.01173527 -1.91318881], Best Fitness = 5.138665945698339, Evaluations = 104
Generation 13: Best Solution = [ 0.01173527 -1.91318881], Best Fitness = 5.138665945698339, Evaluations = 112
Generation 14: Best Solution = [-2.00067363  0.99510562], Best Fitness = 4.997747876042121, Evaluations = 120
Generation 15: Best Solution = [-2.00067363  0.99510562], Best Fitness = 4.997747876042121, Evaluations = 128
Generation 16: Best Solution = [0.04889743 0.90390428], Best Fitness = 3.0557765784995894, Evaluations = 136
Generation 17: Best Solution = [0.04889743 0.90390428], Best Fitness = 3.0557765784995894, Evaluations = 144
Generation 18: Best Solution = [0.04889743 0.90390428], Best Fitness = 3.0557765784995894, Evaluations = 152
Generation 19: Best Solution = [ 0.01173527 -1.04619249], Best Fitness = 1.5400646072557151, Evaluations = 160
Generation 20: Best Solution = [ 0.01173527 -1.04619249], Best Fitness = 1.053222546551261, Evaluations = 168
Generation 21: Best Solution = [ 0.01173527 -1.04619249], Best Fitness = 1.053222546551261, Evaluations = 176
Generation 22: Best Solution = [ 0.01173527 -1.04619249], Best Fitness = 1.053222546551261, Evaluations = 184
Generation 23: Best Solution = [ 0.01173527 -1.04619249], Best Fitness = 1.053222546551261, Evaluations = 192
Generation 24: Best Solution = [ 0.01173527 -1.04619249], Best Fitness = 1.053222546551261, Evaluations = 200
Generation 25: Best Solution = [ 0.01173527 -1.04619249], Best Fitness = 1.053222546551261, Evaluations = 208
Generation 26: Best Solution = [ 0.01173527 -1.04619249], Best Fitness = 1.053222546551261, Evaluations = 216
Generation 27: Best Solution = [ 0.01173527 -1.04619249], Best Fitness = 1.053222546551261, Evaluations = 224
