Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 10
Population Size: 16
Max Evaluations: 10000

Generation 0: Best Solution = [-4.77058255  0.21309398  4.02817797  4.70592689  1.25628791  5.85452488
  3.31189902 -3.77481869  2.432327    4.6492978 ], Best Fitness = 242999.3175731714, Evaluations = 16
Generation 1: Best Solution = [-4.08563474  1.41777382 -3.28061853  3.12444169 -4.8455795  -3.98671468
  1.99196224  2.781126    1.23202208  3.29266796], Best Fitness = 152865.89928629983, Evaluations = 32
Generation 2: Best Solution = [-4.08563474  1.41777382 -3.28061853  3.12444169 -4.8455795  -3.98671468
  1.99196224  2.781126    1.23202208  3.29266796], Best Fitness = 152865.89928629983, Evaluations = 48
Generation 3: Best Solution = [-4.08563474  1.41777382 -3.28061853  3.12444169 -4.8455795  -3.98671468
  1.99196224  2.781126    1.23202208  3.29266796], Best Fitness = 152865.89928629983, Evaluations = 64
Generation 4: Best Solution = [-4.08563474  1.41777382 -3.28061853  3.12444169 -4.8455795  -3.98671468
  1.99196224  2.781126    1.23202208  3.29266796], Best Fitness = 152865.89928629983, Evaluations = 80
Generation 5: Best Solution = [-4.08563474  1.41777382 -3.28061853  3.12444169 -4.8455795  -3.98671468
  1.99196224  2.781126    1.23202208  3.29266796], Best Fitness = 152865.89928629983, Evaluations = 96
Generation 6: Best Solution = [-5.          0.18941306 -4.0413149   3.51343426  0.75500006 -3.55014031
  2.89549466  4.01495066  2.44639362  4.79272257], Best Fitness = 125055.2111489667, Evaluations = 112
Generation 7: Best Solution = [ 2.03615286 -2.0220969   0.07252078  2.76471709  2.2598232   4.66111702
  4.11212569  2.60189519  4.8373752   3.29965709], Best Fitness = 101426.09917823604, Evaluations = 128
Generation 8: Best Solution = [-1.15351688  1.68706525 -0.98212755 -1.99732492  0.98299851  3.38868107
  3.42757463  2.99884026  2.48156957  2.21247772], Best Fitness = 23823.27719255638, Evaluations = 144
Generation 9: Best Solution = [-1.15351688  1.68706525 -0.98212755 -1.99732492  0.98299851  3.38868107
  3.42757463  2.99884026  2.48156957  2.21247772], Best Fitness = 23823.27719255638, Evaluations = 160
Generation 10: Best Solution = [-1.15351688  1.68706525 -0.98212755 -1.99732492  0.98299851  3.38868107
  3.42757463  2.99884026  2.48156957  2.21247772], Best Fitness = 23823.27719255638, Evaluations = 176
Generation 11: Best Solution = [-1.15351688  1.68706525 -0.98212755 -1.99732492  0.98299851  3.38868107
  3.42757463  2.99884026  2.48156957  2.21247772], Best Fitness = 23823.27719255638, Evaluations = 192
Generation 12: Best Solution = [-1.15351688  1.68706525 -0.98212755 -1.99732492  0.98299851  3.38868107
  3.42757463  2.99884026  2.48156957  2.21247772], Best Fitness = 23823.27719255638, Evaluations = 208
Generation 13: Best Solution = [-1.15351688  1.68706525 -0.98212755 -1.99732492  0.98299851  3.38868107
  3.42757463  2.99884026  2.48156957  2.21247772], Best Fitness = 23823.27719255638, Evaluations = 224
Generation 14: Best Solution = [-1.15351688  1.68706525 -0.98212755 -1.99732492  0.98299851  3.38868107
  3.42757463  2.99884026  2.48156957  2.21247772], Best Fitness = 23823.27719255638, Evaluations = 240
Generation 15: Best Solution = [-1.15351688  1.68706525 -0.98212755 -1.99732492  0.98299851  3.38868107
  3.42757463  2.99884026  2.48156957  2.21247772], Best Fitness = 23823.27719255638, Evaluations = 256
Generation 16: Best Solution = [-1.15351688  1.68706525 -0.98212755 -1.99732492  0.98299851  3.38868107
  3.42757463  2.99884026  2.48156957  2.21247772], Best Fitness = 23823.27719255638, Evaluations = 272
Generation 17: Best Solution = [-0.47986488 -0.54892096 -1.4851062   3.09608279  2.96949808 -0.50332623
 -0.1122171   1.22564782  1.55764375  5.86186815], Best Fitness = 14889.22314922295, Evaluations = 288
Generation 18: Best Solution = [-0.47986488 -0.54892096 -1.4851062   3.09608279  2.96949808 -0.50332623
 -0.1122171   1.22564782  1.55764375  5.86186815], Best Fitness = 14889.22314922295, Evaluations = 304
Generation 19: Best Solution = [-0.47986488 -0.54892096 -1.4851062   3.09608279  2.96949808 -0.50332623
 -0.1122171   1.22564782  1.55764375  5.86186815], Best Fitness = 10656.78560259282, Evaluations = 320
Generation 20: Best Solution = [-0.47986488 -0.54892096 -1.4851062   3.09608279  2.96949808 -0.50332623
 -0.1122171   1.22564782  1.55764375  5.86186815], Best Fitness = 10656.78560259282, Evaluations = 336
Generation 21: Best Solution = [-0.47986488 -0.54892096 -1.4851062   3.09608279  2.96949808 -0.50332623
 -0.1122171   1.22564782  1.55764375  5.86186815], Best Fitness = 10656.78560259282, Evaluations = 352
Generation 22: Best Solution = [-1.24512737 -0.21220339 -1.14212984  2.95442154  0.22699033 -0.33308794
  0.94351312 -1.00827385  0.89526838  2.28101245], Best Fitness = 8637.819791679622, Evaluations = 368
Generation 23: Best Solution = [-1.24512737 -0.21220339 -1.14212984  2.95442154  0.22699033 -0.33308794
  0.94351312 -1.00827385  0.89526838  2.28101245], Best Fitness = 8637.819791679622, Evaluations = 384
Generation 24: Best Solution = [-1.24512737 -0.21220339 -1.14212984  2.95442154  0.22699033 -0.33308794
  0.94351312 -1.00827385  0.89526838  2.28101245], Best Fitness = 8637.819791679622, Evaluations = 400
Generation 25: Best Solution = [-1.24512737 -0.21220339 -1.14212984  2.95442154  0.22699033 -0.33308794
  0.94351312 -1.00827385  0.89526838  2.28101245], Best Fitness = 8637.819791679622, Evaluations = 416
Generation 26: Best Solution = [-1.24512737 -0.21220339 -1.14212984  2.95442154  0.22699033 -0.33308794
  0.94351312 -1.00827385  0.89526838  2.28101245], Best Fitness = 8637.819791679622, Evaluations = 432
Generation 27: Best Solution = [-1.24512737 -0.21220339 -1.14212984  2.95442154  0.22699033 -0.33308794
