Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [1.12632487 1.39188214], Best Fitness = 1.5356163876038058, Evaluations = 128
Generation 1: Best Solution = [1.12632487 1.39188214], Best Fitness = 1.5356163876038058, Evaluations = 256
Generation 2: Best Solution = [0.14352563 0.07737341], Best Fitness = 1.0558747745296073, Evaluations = 384
Generation 3: Best Solution = [0.14352563 0.07737341], Best Fitness = 1.0558747745296073, Evaluations = 512
Generation 4: Best Solution = [0.14352563 0.07737341], Best Fitness = 1.0558747745296073, Evaluations = 640
Generation 5: Best Solution = [0.91119621 0.76771052], Best Fitness = 0.3993617587960102, Evaluations = 768
Generation 6: Best Solution = [0.91119621 0.76771052], Best Fitness = 0.3993617587960102, Evaluations = 896
Generation 7: Best Solution = [0.91119621 0.76771052], Best Fitness = 0.3993617587960102, Evaluations = 1024
Generation 8: Best Solution = [0.91119621 0.76771052], Best Fitness = 0.3993617587960102, Evaluations = 1152
Generation 9: Best Solution = [0.91119621 0.76771052], Best Fitness = 0.3993617587960102, Evaluations = 1280
Generation 10: Best Solution = [0.91119621 0.76771052], Best Fitness = 0.3993617587960102, Evaluations = 1408
Generation 11: Best Solution = [0.91119621 0.76771052], Best Fitness = 0.3993617587960102, Evaluations = 1536
Generation 12: Best Solution = [0.91119621 0.76771052], Best Fitness = 0.3993617587960102, Evaluations = 1664
Generation 13: Best Solution = [0.91119621 0.76771052], Best Fitness = 0.3993617587960102, Evaluations = 1792
Generation 14: Best Solution = [0.91119621 0.76771052], Best Fitness = 0.3993617587960102, Evaluations = 1920
Generation 15: Best Solution = [0.91119621 0.76771052], Best Fitness = 0.3993617587960102, Evaluations = 2048
