Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [-2.20215092  2.1137437 ], Best Fitness = 758.6728771765761, Evaluations = 8
Generation 1: Best Solution = [-2.20215092  2.1137437 ], Best Fitness = 758.6728771765761, Evaluations = 16
Generation 2: Best Solution = [-2.20215092  3.66487186], Best Fitness = 150.5807303693763, Evaluations = 24
Generation 3: Best Solution = [-2.20215092  3.66487186], Best Fitness = 150.5807303693763, Evaluations = 32
Generation 4: Best Solution = [-2.20215092  3.66487186], Best Fitness = 150.5807303693763, Evaluations = 40
Generation 5: Best Solution = [0.17426553 0.91095667], Best Fitness = 78.22539438166493, Evaluations = 48
Generation 6: Best Solution = [0.17426553 0.91095667], Best Fitness = 78.22539438166493, Evaluations = 56
Generation 7: Best Solution = [-1.30912797  1.4221253 ], Best Fitness = 13.84042043995054, Evaluations = 64
Generation 8: Best Solution = [-1.30912797  1.4221253 ], Best Fitness = 13.84042043995054, Evaluations = 72
Generation 9: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 80
Generation 10: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 88
Generation 11: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 96
Generation 12: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 104
Generation 13: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 112
Generation 14: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 120
Generation 15: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 128
Generation 16: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 136
Generation 17: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 144
Generation 18: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 152
Generation 19: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 160
Generation 20: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 168
Generation 21: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 176
Generation 22: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 184
Generation 23: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 192
Generation 24: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 200
Generation 25: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 208
Generation 26: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 216
Generation 27: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 224
Generation 28: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 232
Generation 29: Best Solution = [1.17074452 1.51235806], Best Fitness = 2.0374770273133036, Evaluations = 240
Generation 30: Best Solution = [1.22276566 1.4221253 ], Best Fitness = 0.5829708621038907, Evaluations = 248
Generation 31: Best Solution = [1.22276566 1.4221253 ], Best Fitness = 0.5829708621038907, Evaluations = 256
Generation 32: Best Solution = [1.22276566 1.4221253 ], Best Fitness = 0.5829708621038907, Evaluations = 264
Generation 33: Best Solution = [1.22276566 1.4221253 ], Best Fitness = 0.5829708621038907, Evaluations = 272
Generation 34: Best Solution = [1.22276566 1.4221253 ], Best Fitness = 0.5829708621038907, Evaluations = 280
Generation 35: Best Solution = [1.22276566 1.4221253 ], Best Fitness = 0.5829708621038907, Evaluations = 288
Generation 36: Best Solution = [1.22276566 1.4221253 ], Best Fitness = 0.5829708621038907, Evaluations = 296
Generation 37: Best Solution = [1.22276566 1.4221253 ], Best Fitness = 0.5829708621038907, Evaluations = 304
Generation 38: Best Solution = [1.22276566 1.4221253 ], Best Fitness = 0.5829708621038907, Evaluations = 312
Generation 39: Best Solution = [1.22276566 1.4221253 ], Best Fitness = 0.5829708621038907, Evaluations = 320
Generation 40: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 328
Generation 41: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 336
Generation 42: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 344
Generation 43: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 352
Generation 44: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 360
Generation 45: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 368
Generation 46: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 376
Generation 47: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 384
Generation 48: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 392
Generation 49: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 400
Generation 50: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 408
Generation 51: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 416
Generation 52: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 424
Generation 53: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 432
Generation 54: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 440
Generation 55: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 448
Generation 56: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 456
Generation 57: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 464
Generation 58: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 472
Generation 59: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 480
Generation 60: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 488
Generation 61: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 496
Generation 62: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 504
Generation 63: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 512
Generation 64: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 520
Generation 65: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 528
Generation 66: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 536
Generation 67: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 544
Generation 68: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 552
Generation 69: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 560
