Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [-0.60273063  9.94393355], Best Fitness = 9181.452929292382, Evaluations = 8
Generation 1: Best Solution = [-0.60273063  9.94393355], Best Fitness = 9181.452929292382, Evaluations = 16
Generation 2: Best Solution = [1.29465141 6.12082733], Best Fitness = 1975.6271159924197, Evaluations = 24
Generation 3: Best Solution = [0.39952453 0.61032992], Best Fitness = 20.674527479038357, Evaluations = 32
Generation 4: Best Solution = [0.39952453 0.61032992], Best Fitness = 20.674527479038357, Evaluations = 40
Generation 5: Best Solution = [0.39952453 0.61032992], Best Fitness = 20.674527479038357, Evaluations = 48
Generation 6: Best Solution = [0.39952453 0.61032992], Best Fitness = 20.674527479038357, Evaluations = 56
Generation 7: Best Solution = [-0.12310518  0.23627979], Best Fitness = 6.150987704162244, Evaluations = 64
Generation 8: Best Solution = [-0.12310518  0.23627979], Best Fitness = 1.2622608376728148, Evaluations = 72
Generation 9: Best Solution = [-0.12310518  0.23627979], Best Fitness = 1.2622608376728148, Evaluations = 80
Generation 10: Best Solution = [-0.12310518  0.23627979], Best Fitness = 1.2622608376728148, Evaluations = 88
Generation 11: Best Solution = [-0.12310518  0.23627979], Best Fitness = 1.2622608376728148, Evaluations = 96
Generation 12: Best Solution = [-0.12310518  0.23627979], Best Fitness = 1.2622608376728148, Evaluations = 104
Generation 13: Best Solution = [-0.12310518  0.23627979], Best Fitness = 1.2622608376728148, Evaluations = 112
Generation 14: Best Solution = [-0.12310518  0.23627979], Best Fitness = 1.2622608376728148, Evaluations = 120
Generation 15: Best Solution = [-0.12310518  0.23627979], Best Fitness = 1.2622608376728148, Evaluations = 128
Generation 16: Best Solution = [-0.12310518  0.23627979], Best Fitness = 1.2622608376728148, Evaluations = 136
Generation 17: Best Solution = [-0.12310518  0.23627979], Best Fitness = 1.2622608376728148, Evaluations = 144
Generation 18: Best Solution = [-0.12310518  0.23627979], Best Fitness = 1.2622608376728148, Evaluations = 152
Generation 19: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.13898825322875719, Evaluations = 160
Generation 20: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.13898825322875719, Evaluations = 168
Generation 21: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.13898825322875719, Evaluations = 176
Generation 22: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.13898825322875719, Evaluations = 184
Generation 23: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.13898825322875719, Evaluations = 192
Generation 24: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.13898825322875719, Evaluations = 200
Generation 25: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.13898825322875719, Evaluations = 208
Generation 26: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.11004836249246994, Evaluations = 216
Generation 27: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.11004836249246994, Evaluations = 224
Generation 28: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.11004836249246994, Evaluations = 232
Generation 29: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.11004836249246994, Evaluations = 240
Generation 30: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.11004836249246994, Evaluations = 248
Generation 31: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.11004836249246994, Evaluations = 256
Generation 32: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.11004836249246994, Evaluations = 264
Generation 33: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.11004836249246994, Evaluations = 272
Generation 34: Best Solution = [0.66826854 0.42957035], Best Fitness = 0.11004836249246994, Evaluations = 280
Generation 35: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 288
Generation 36: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 296
Generation 37: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 304
Generation 38: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 312
Generation 39: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 320
Generation 40: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 328
Generation 41: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 336
Generation 42: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 344
Generation 43: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 352
Generation 44: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 360
Generation 45: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 368
Generation 46: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 376
Generation 47: Best Solution = [0.68150845 0.46219352], Best Fitness = 0.10194774031276488, Evaluations = 384
Generation 48: Best Solution = [0.69641401 0.49482787], Best Fitness = 0.10183796223819953, Evaluations = 392
Generation 49: Best Solution = [0.69614921 0.49077065], Best Fitness = 0.09610377881508535, Evaluations = 400
Generation 50: Best Solution = [0.70382422 0.49482787], Best Fitness = 0.08774932527796288, Evaluations = 408
Generation 51: Best Solution = [0.70382422 0.49482787], Best Fitness = 0.08774932527796288, Evaluations = 416
Generation 52: Best Solution = [0.70382422 0.49482787], Best Fitness = 0.08774932527796288, Evaluations = 424
Generation 53: Best Solution = [0.70382422 0.49482787], Best Fitness = 0.08774932527796288, Evaluations = 432
Generation 54: Best Solution = [0.77603865 0.61285763], Best Fitness = 0.06144063626932522, Evaluations = 440
Generation 55: Best Solution = [0.77603865 0.61285763], Best Fitness = 0.06144063626932522, Evaluations = 448
Generation 56: Best Solution = [0.77603865 0.61285763], Best Fitness = 0.06144063626932522, Evaluations = 456
Generation 57: Best Solution = [0.77603865 0.61285763], Best Fitness = 0.06144063626932522, Evaluations = 464
Generation 58: Best Solution = [0.77603865 0.61285763], Best Fitness = 0.06144063626932522, Evaluations = 472
Generation 59: Best Solution = [0.77603865 0.61285763], Best Fitness = 0.06144063626932522, Evaluations = 480
Generation 60: Best Solution = [0.77603865 0.61285763], Best Fitness = 0.06144063626932522, Evaluations = 488
Generation 61: Best Solution = [0.78523218 0.6231992 ], Best Fitness = 0.05049393166039259, Evaluations = 496
Generation 62: Best Solution = [0.78523218 0.6231992 ], Best Fitness = 0.05049393166039259, Evaluations = 504
Generation 63: Best Solution = [0.78523218 0.6231992 ], Best Fitness = 0.05049393166039259, Evaluations = 512
Generation 64: Best Solution = [0.79363879 0.62875938], Best Fitness = 0.042706643558656276, Evaluations = 520
Generation 65: Best Solution = [0.79363879 0.62875938], Best Fitness = 0.042706643558656276, Evaluations = 528
Generation 66: Best Solution = [0.79755228 0.63500353], Best Fitness = 0.04110304298147342, Evaluations = 536
Generation 67: Best Solution = [0.81053862 0.65435918], Best Fitness = 0.036578741953724465, Evaluations = 544
Generation 68: Best Solution = [0.81053862 0.65435918], Best Fitness = 0.036578741953724465, Evaluations = 552
Generation 69: Best Solution = [0.81053862 0.65435918], Best Fitness = 0.036578741953724465, Evaluations = 560
Generation 70: Best Solution = [0.81053862 0.65435918], Best Fitness = 0.036578741953724465, Evaluations = 568
