Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [-0.24156364 -0.40014759], Best Fitness = 0.21847108412819227, Evaluations = 128
Generation 1: Best Solution = [-0.24156364 -0.40014759], Best Fitness = 0.21847108412819227, Evaluations = 256
Generation 2: Best Solution = [-0.24156364 -0.40014759], Best Fitness = 0.21847108412819227, Evaluations = 384
Generation 3: Best Solution = [-0.24156364 -0.40014759], Best Fitness = 0.21847108412819227, Evaluations = 512
Generation 4: Best Solution = [-0.24156364 -0.40014759], Best Fitness = 0.21847108412819227, Evaluations = 640
Generation 5: Best Solution = [0.31348022 0.04877968], Best Fitness = 0.10064930381183625, Evaluations = 768
Generation 6: Best Solution = [0.05690625 0.11192902], Best Fitness = 0.015766426625403975, Evaluations = 896
Generation 7: Best Solution = [0.05690625 0.11192902], Best Fitness = 0.015766426625403975, Evaluations = 1024
Generation 8: Best Solution = [0.03126315 0.01426326], Best Fitness = 0.0011808249223814714, Evaluations = 1152
Generation 9: Best Solution = [-0.01790506 -0.0139238 ], Best Fitness = 0.0005144633117710859, Evaluations = 1280
Generation 10: Best Solution = [-0.01790506 -0.0139238 ], Best Fitness = 0.0005144633117710859, Evaluations = 1408
Generation 11: Best Solution = [-0.01790506 -0.0139238 ], Best Fitness = 0.0005144633117710859, Evaluations = 1536
Generation 12: Best Solution = [-0.01790506 -0.0139238 ], Best Fitness = 0.0005144633117710859, Evaluations = 1664
Generation 13: Best Solution = [0.00719055 0.01827283], Best Fitness = 0.0003856002346471306, Evaluations = 1792
Generation 14: Best Solution = [0.00719055 0.01827283], Best Fitness = 0.0003856002346471306, Evaluations = 1920
Generation 15: Best Solution = [0.00914251 0.01548609], Best Fitness = 0.00032340446747899655, Evaluations = 2048
