Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [0.17551033 0.37039196], Best Fitness = 0.1679940819820433, Evaluations = 128
Generation 1: Best Solution = [-0.01920784 -0.19986702], Best Fitness = 0.04031576858210879, Evaluations = 256
Generation 2: Best Solution = [-0.01920784 -0.19986702], Best Fitness = 0.04031576858210879, Evaluations = 384
Generation 3: Best Solution = [-0.01920784 -0.19986702], Best Fitness = 0.04031576858210879, Evaluations = 512
Generation 4: Best Solution = [-0.01920784 -0.19986702], Best Fitness = 0.04031576858210879, Evaluations = 640
Generation 5: Best Solution = [0.15560436 0.05385301], Best Fitness = 0.027112864521299906, Evaluations = 768
Generation 6: Best Solution = [ 0.04748964 -0.03764106], Best Fitness = 0.0036721151839823815, Evaluations = 896
Generation 7: Best Solution = [ 0.04748964 -0.03764106], Best Fitness = 0.0036721151839823815, Evaluations = 1024
Generation 8: Best Solution = [-0.01658637  0.04251283], Best Fitness = 0.002082448336144315, Evaluations = 1152
Generation 9: Best Solution = [-0.02794008  0.02513696], Best Fitness = 0.0014125150028149742, Evaluations = 1280
Generation 10: Best Solution = [-0.02794008  0.02513696], Best Fitness = 0.0014125150028149742, Evaluations = 1408
Generation 11: Best Solution = [-0.02794008  0.02513696], Best Fitness = 0.0014125150028149742, Evaluations = 1536
Generation 12: Best Solution = [-0.00960022  0.01129792], Best Fitness = 0.00021980715442740595, Evaluations = 1664
Generation 13: Best Solution = [-0.00960022  0.01129792], Best Fitness = 0.00021980715442740595, Evaluations = 1792
Generation 14: Best Solution = [-0.00960022  0.01129792], Best Fitness = 0.00021980715442740595, Evaluations = 1920
Generation 15: Best Solution = [-0.00960022  0.01129792], Best Fitness = 0.00021980715442740595, Evaluations = 2048
