Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [-0.41785176  0.47088489], Best Fitness = 0.39633266994505434, Evaluations = 16
Generation 1: Best Solution = [-0.41785176  0.47088489], Best Fitness = 0.39633266994505434, Evaluations = 32
Generation 2: Best Solution = [-0.41785176  0.47088489], Best Fitness = 0.39633266994505434, Evaluations = 48
Generation 3: Best Solution = [-0.41785176  0.47088489], Best Fitness = 0.39633266994505434, Evaluations = 64
Generation 4: Best Solution = [-0.41785176  0.47088489], Best Fitness = 0.39633266994505434, Evaluations = 80
Generation 5: Best Solution = [ 0.19966247 -0.45104145], Best Fitness = 0.24330349669568221, Evaluations = 96
Generation 6: Best Solution = [ 0.19966247 -0.45104145], Best Fitness = 0.24330349669568221, Evaluations = 112
Generation 7: Best Solution = [ 0.19966247 -0.45104145], Best Fitness = 0.24330349669568221, Evaluations = 128
Generation 8: Best Solution = [ 0.19966247 -0.45104145], Best Fitness = 0.20383585604914561, Evaluations = 144
Generation 9: Best Solution = [-0.18660847 -0.22718419], Best Fitness = 0.08643537980679196, Evaluations = 160
Generation 10: Best Solution = [-0.18660847 -0.22718419], Best Fitness = 0.08643537980679196, Evaluations = 176
Generation 11: Best Solution = [-0.04118779  0.26233377], Best Fitness = 0.07051544187807558, Evaluations = 192
Generation 12: Best Solution = [-0.01993645 -0.09360117], Best Fitness = 0.0091586404714714, Evaluations = 208
Generation 13: Best Solution = [-0.04889798 -0.01741642], Best Fitness = 0.002694343716995996, Evaluations = 224
Generation 14: Best Solution = [0.01775847 0.03576181], Best Fitness = 0.001594270532199625, Evaluations = 240
Generation 15: Best Solution = [0.01775847 0.03576181], Best Fitness = 0.001594270532199625, Evaluations = 256
Generation 16: Best Solution = [0.01775847 0.03576181], Best Fitness = 0.001594270532199625, Evaluations = 272
Generation 17: Best Solution = [ 0.00587288 -0.0048877 ], Best Fitness = 5.838038934014739e-05, Evaluations = 288
Generation 18: Best Solution = [ 0.00587288 -0.0048877 ], Best Fitness = 5.838038934014739e-05, Evaluations = 304
Generation 19: Best Solution = [ 0.00587288 -0.0048877 ], Best Fitness = 5.838038934014739e-05, Evaluations = 320
Generation 20: Best Solution = [ 0.00587288 -0.0048877 ], Best Fitness = 5.838038934014739e-05, Evaluations = 336
Generation 21: Best Solution = [-0.0037276  -0.00157602], Best Fitness = 1.6378794049501798e-05, Evaluations = 352
Generation 22: Best Solution = [-0.0037276  -0.00157602], Best Fitness = 1.6378794049501798e-05, Evaluations = 368
Generation 23: Best Solution = [-0.0037276  -0.00157602], Best Fitness = 2.502778241819908e-06, Evaluations = 384
Generation 24: Best Solution = [-0.0037276  -0.00157602], Best Fitness = 2.502778241819908e-06, Evaluations = 400
Generation 25: Best Solution = [-0.0037276  -0.00157602], Best Fitness = 2.502778241819908e-06, Evaluations = 416
Generation 26: Best Solution = [-0.0037276  -0.00157602], Best Fitness = 2.502778241819908e-06, Evaluations = 432
Generation 27: Best Solution = [-0.0003432   0.00150712], Best Fitness = 2.3891884896079206e-06, Evaluations = 448
Generation 28: Best Solution = [-0.0003432   0.00150712], Best Fitness = 2.3891884896079206e-06, Evaluations = 464
Generation 29: Best Solution = [-0.0003432   0.00150712], Best Fitness = 2.5989100889274905e-07, Evaluations = 480
Generation 30: Best Solution = [-0.0003432   0.00150712], Best Fitness = 2.5989100889274905e-07, Evaluations = 496
Generation 31: Best Solution = [-0.0003432   0.00150712], Best Fitness = 2.5989100889274905e-07, Evaluations = 512
Generation 32: Best Solution = [-0.0003432   0.00150712], Best Fitness = 2.5989100889274905e-07, Evaluations = 528
Generation 33: Best Solution = [-0.0003432   0.00150712], Best Fitness = 2.5989100889274905e-07, Evaluations = 544
Generation 34: Best Solution = [-0.0003432   0.00150712], Best Fitness = 2.5989100889274905e-07, Evaluations = 560
Generation 35: Best Solution = [0.00013766 0.00044708], Best Fitness = 2.1882757300980352e-07, Evaluations = 576
Generation 36: Best Solution = [0.00013766 0.00044708], Best Fitness = 2.1882757300980352e-07, Evaluations = 592
Generation 37: Best Solution = [0.00013766 0.00044708], Best Fitness = 2.1882757300980352e-07, Evaluations = 608
Generation 38: Best Solution = [-2.64062648e-04 -2.87290247e-05], Best Fitness = 7.055443873215529e-08, Evaluations = 624
Generation 39: Best Solution = [0.00013766 0.00012599], Best Fitness = 3.482249055076208e-08, Evaluations = 640
Generation 40: Best Solution = [0.00013766 0.00012599], Best Fitness = 3.482249055076208e-08, Evaluations = 656
Generation 41: Best Solution = [-6.30732221e-05 -2.87290247e-05], Best Fitness = 4.80358819994817e-09, Evaluations = 672
Generation 42: Best Solution = [ 2.65314167e-05 -3.86493275e-05], Best Fitness = 2.197686589972696e-09, Evaluations = 688
Generation 43: Best Solution = [ 2.65314167e-05 -3.86493275e-05], Best Fitness = 2.197686589972696e-09, Evaluations = 704
Generation 44: Best Solution = [ 2.65314167e-05 -3.86493275e-05], Best Fitness = 7.469741510973455e-10, Evaluations = 720
Generation 45: Best Solution = [ 2.65314167e-05 -3.86493275e-05], Best Fitness = 7.469741510973455e-10, Evaluations = 736
Generation 46: Best Solution = [ 2.65314167e-05 -3.86493275e-05], Best Fitness = 7.469741510973455e-10, Evaluations = 752
Generation 47: Best Solution = [-2.02979348e-05  7.57280901e-07], Best Fitness = 4.1257963223593345e-10, Evaluations = 768
