Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [ 0.54849962 -1.86880395], Best Fitness = 3.7932800437135783, Evaluations = 8
Generation 1: Best Solution = [ 0.54849962 -1.86880395], Best Fitness = 3.7932800437135783, Evaluations = 16
Generation 2: Best Solution = [ 0.54849962 -1.86880395], Best Fitness = 3.7932800437135783, Evaluations = 24
Generation 3: Best Solution = [ 0.54849962 -1.43117169], Best Fitness = 2.349104236615215, Evaluations = 32
Generation 4: Best Solution = [-0.37290543 -1.43117169], Best Fitness = 2.187310860464311, Evaluations = 40
Generation 5: Best Solution = [-1.06641681  0.63844889], Best Fitness = 1.5448618049129612, Evaluations = 48
Generation 6: Best Solution = [-0.40547268  0.24242468], Best Fitness = 0.2231778197631175, Evaluations = 56
Generation 7: Best Solution = [-0.40547268  0.24242468], Best Fitness = 0.2231778197631175, Evaluations = 64
Generation 8: Best Solution = [-0.40547268  0.24242468], Best Fitness = 0.2231778197631175, Evaluations = 72
Generation 9: Best Solution = [-0.40547268  0.24242468], Best Fitness = 0.2231778197631175, Evaluations = 80
Generation 10: Best Solution = [ 0.12828475 -0.33836216], Best Fitness = 0.13094593055292977, Evaluations = 88
Generation 11: Best Solution = [ 0.12828475 -0.33836216], Best Fitness = 0.13094593055292977, Evaluations = 96
Generation 12: Best Solution = [-0.04701663 -0.15670774], Best Fitness = 0.026767881095388316, Evaluations = 104
Generation 13: Best Solution = [-0.04701663 -0.15670774], Best Fitness = 0.026767881095388316, Evaluations = 112
Generation 14: Best Solution = [-0.04701663 -0.15670774], Best Fitness = 0.026767881095388316, Evaluations = 120
Generation 15: Best Solution = [-0.04701663 -0.15670774], Best Fitness = 0.026767881095388316, Evaluations = 128
Generation 16: Best Solution = [-0.04701663 -0.15670774], Best Fitness = 0.026767881095388316, Evaluations = 136
Generation 17: Best Solution = [-0.04701663 -0.15670774], Best Fitness = 0.01283936970620834, Evaluations = 144
Generation 18: Best Solution = [-0.04701663 -0.15670774], Best Fitness = 0.00814484479357254, Evaluations = 152
Generation 19: Best Solution = [-0.04701663 -0.15670774], Best Fitness = 0.00814484479357254, Evaluations = 160
Generation 20: Best Solution = [-0.01653779 -0.05310892], Best Fitness = 0.003094056423366998, Evaluations = 168
Generation 21: Best Solution = [-0.01653779 -0.05310892], Best Fitness = 0.003094056423366998, Evaluations = 176
Generation 22: Best Solution = [ 0.01790365 -0.04114375], Best Fitness = 0.0020133484699513897, Evaluations = 184
Generation 23: Best Solution = [ 0.01790365 -0.04114375], Best Fitness = 0.0020133484699513897, Evaluations = 192
Generation 24: Best Solution = [ 0.01790365 -0.04114375], Best Fitness = 0.0020133484699513897, Evaluations = 200
Generation 25: Best Solution = [ 0.01790365 -0.04114375], Best Fitness = 0.0020133484699513897, Evaluations = 208
Generation 26: Best Solution = [ 0.01790365 -0.04114375], Best Fitness = 0.0020133484699513897, Evaluations = 216
Generation 27: Best Solution = [ 0.01790365 -0.04114375], Best Fitness = 0.0013890044044741106, Evaluations = 224
Generation 28: Best Solution = [0.00632031 0.00113496], Best Fitness = 4.123446702035349e-05, Evaluations = 232
Generation 29: Best Solution = [0.00632031 0.00113496], Best Fitness = 4.123446702035349e-05, Evaluations = 240
Generation 30: Best Solution = [0.00632031 0.00113496], Best Fitness = 4.123446702035349e-05, Evaluations = 248
Generation 31: Best Solution = [0.00632031 0.00113496], Best Fitness = 4.123446702035349e-05, Evaluations = 256
Generation 32: Best Solution = [0.00632031 0.00113496], Best Fitness = 4.123446702035349e-05, Evaluations = 264
Generation 33: Best Solution = [0.00632031 0.00113496], Best Fitness = 1.4708405348388672e-06, Evaluations = 272
Generation 34: Best Solution = [0.00632031 0.00113496], Best Fitness = 1.353111591988279e-06, Evaluations = 280
Generation 35: Best Solution = [0.00632031 0.00113496], Best Fitness = 1.353111591988279e-06, Evaluations = 288
Generation 36: Best Solution = [0.00632031 0.00113496], Best Fitness = 1.353111591988279e-06, Evaluations = 296
Generation 37: Best Solution = [0.00632031 0.00113496], Best Fitness = 1.0207803697351717e-07, Evaluations = 304
Generation 38: Best Solution = [0.00632031 0.00113496], Best Fitness = 1.0207803697351717e-07, Evaluations = 312
Generation 39: Best Solution = [0.00632031 0.00113496], Best Fitness = 1.0207803697351717e-07, Evaluations = 320
Generation 40: Best Solution = [0.00632031 0.00113496], Best Fitness = 1.0207803697351717e-07, Evaluations = 328
Generation 41: Best Solution = [0.00632031 0.00113496], Best Fitness = 1.0207803697351717e-07, Evaluations = 336
Generation 42: Best Solution = [0.00632031 0.00113496], Best Fitness = 1.0207803697351717e-07, Evaluations = 344
Generation 43: Best Solution = [0.00632031 0.00113496], Best Fitness = 1.0207803697351717e-07, Evaluations = 352
Generation 44: Best Solution = [0.00632031 0.00113496], Best Fitness = 1.0207803697351717e-07, Evaluations = 360
Generation 45: Best Solution = [0.00632031 0.00113496], Best Fitness = 4.765666124279819e-08, Evaluations = 368
Generation 46: Best Solution = [0.00632031 0.00113496], Best Fitness = 4.765666124279819e-08, Evaluations = 376
