Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [-1.5460073  -2.56094456], Best Fitness = 9.227926138878924, Evaluations = 128
Generation 1: Best Solution = [-1.5460073  -2.56094456], Best Fitness = 9.227926138878924, Evaluations = 256
Generation 2: Best Solution = [0.71503327 0.71634573], Best Fitness = 4.5781719681183155, Evaluations = 384
Generation 3: Best Solution = [0.71503327 0.71634573], Best Fitness = 4.5781719681183155, Evaluations = 512
Generation 4: Best Solution = [0.71503327 0.71634573], Best Fitness = 4.5781719681183155, Evaluations = 640
Generation 5: Best Solution = [0.71503327 0.71634573], Best Fitness = 4.5781719681183155, Evaluations = 768
Generation 6: Best Solution = [0.71503327 0.71634573], Best Fitness = 4.5781719681183155, Evaluations = 896
Generation 7: Best Solution = [0.04162231 1.12586914], Best Fitness = 3.360065614707438, Evaluations = 1024
Generation 8: Best Solution = [0.04162231 1.12586914], Best Fitness = 3.360065614707438, Evaluations = 1152
Generation 9: Best Solution = [-0.07827339  0.77109899], Best Fitness = 3.1345923067389383, Evaluations = 1280
Generation 10: Best Solution = [-0.07827339  0.77109899], Best Fitness = 3.1345923067389383, Evaluations = 1408
Generation 11: Best Solution = [ 0.1881789  -0.09438843], Best Fitness = 1.4755601485753123, Evaluations = 1536
Generation 12: Best Solution = [-0.09656113  0.07551307], Best Fitness = 0.70937947360401, Evaluations = 1664
Generation 13: Best Solution = [-0.09656113  0.07551307], Best Fitness = 0.70937947360401, Evaluations = 1792
Generation 14: Best Solution = [-0.09656113  0.07551307], Best Fitness = 0.70937947360401, Evaluations = 1920
Generation 15: Best Solution = [-0.05664106 -0.02735124], Best Fitness = 0.28029460812899076, Evaluations = 2048
