Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 64
Max Evaluations: 2000

Generation 0: Best Solution = [ 0.31234607 -0.28634035], Best Fitness = 3.1437725151768956, Evaluations = 64
Generation 1: Best Solution = [ 0.31234607 -0.28634035], Best Fitness = 3.1437725151768956, Evaluations = 128
Generation 2: Best Solution = [ 0.31234607 -0.28634035], Best Fitness = 3.1437725151768956, Evaluations = 192
Generation 3: Best Solution = [ 0.31234607 -0.28634035], Best Fitness = 3.1437725151768956, Evaluations = 256
Generation 4: Best Solution = [ 0.31234607 -0.28634035], Best Fitness = 3.1437725151768956, Evaluations = 320
Generation 5: Best Solution = [ 0.31234607 -0.28634035], Best Fitness = 3.1437725151768956, Evaluations = 384
Generation 6: Best Solution = [ 0.31234607 -0.28634035], Best Fitness = 3.1437725151768956, Evaluations = 448
Generation 7: Best Solution = [0.31234607 0.27833865], Best Fitness = 3.11108459589163, Evaluations = 512
Generation 8: Best Solution = [0.31234607 0.27833865], Best Fitness = 3.11108459589163, Evaluations = 576
Generation 9: Best Solution = [-0.89830243  0.12425045], Best Fitness = 2.994644013731453, Evaluations = 640
Generation 10: Best Solution = [-0.89830243  0.12425045], Best Fitness = 2.994644013731453, Evaluations = 704
Generation 11: Best Solution = [-0.89830243  0.12425045], Best Fitness = 2.994644013731453, Evaluations = 768
Generation 12: Best Solution = [-0.89830243  0.12425045], Best Fitness = 2.994644013731453, Evaluations = 832
Generation 13: Best Solution = [-0.89830243  0.12425045], Best Fitness = 2.994644013731453, Evaluations = 896
Generation 14: Best Solution = [0.14449635 0.1001815 ], Best Fitness = 1.171657467950347, Evaluations = 960
Generation 15: Best Solution = [0.14449635 0.1001815 ], Best Fitness = 1.171657467950347, Evaluations = 1024
Generation 16: Best Solution = [-0.07891335  0.13002023], Best Fitness = 0.9580028071476083, Evaluations = 1088
Generation 17: Best Solution = [ 0.14449635 -0.03434503], Best Fitness = 0.9170943183887243, Evaluations = 1152
Generation 18: Best Solution = [0.02729034 0.05186092], Best Fitness = 0.2550002421486153, Evaluations = 1216
Generation 19: Best Solution = [-0.02071659 -0.02274901], Best Fitness = 0.11207760064890637, Evaluations = 1280
Generation 20: Best Solution = [-0.02071659 -0.02274901], Best Fitness = 0.11207760064890637, Evaluations = 1344
Generation 21: Best Solution = [-0.00097708  0.00158586], Best Fitness = 0.005360899201772629, Evaluations = 1408
Generation 22: Best Solution = [-0.00097708  0.00158586], Best Fitness = 0.005360899201772629, Evaluations = 1472
Generation 23: Best Solution = [-0.00097708  0.00158586], Best Fitness = 0.005360899201772629, Evaluations = 1536
Generation 24: Best Solution = [-0.00097708  0.00158586], Best Fitness = 0.005360899201772629, Evaluations = 1600
Generation 25: Best Solution = [-0.00097708  0.00158586], Best Fitness = 0.005360899201772629, Evaluations = 1664
Generation 26: Best Solution = [-0.00097708  0.00158586], Best Fitness = 0.005360899201772629, Evaluations = 1728
Generation 27: Best Solution = [-0.00097708  0.00158586], Best Fitness = 0.005360899201772629, Evaluations = 1792
Generation 28: Best Solution = [-0.00097708  0.00158586], Best Fitness = 0.005360899201772629, Evaluations = 1856
Generation 29: Best Solution = [-0.00097708  0.00158586], Best Fitness = 0.005360899201772629, Evaluations = 1920
Generation 30: Best Solution = [ 0.00016306 -0.00061895], Best Fitness = 0.0018212932688723704, Evaluations = 1984
Generation 31: Best Solution = [ 0.00016306 -0.00061895], Best Fitness = 0.0018212932688723704, Evaluations = 2048
