Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [3.66815088 9.9600139 ], Best Fitness = 16.991196542389602, Evaluations = 8
Generation 1: Best Solution = [3.66815088 9.9600139 ], Best Fitness = 16.991196542389602, Evaluations = 16
Generation 2: Best Solution = [3.66815088 9.9600139 ], Best Fitness = 16.991196542389602, Evaluations = 24
Generation 3: Best Solution = [0.93736456 9.9600139 ], Best Fitness = 15.283123051885813, Evaluations = 32
Generation 4: Best Solution = [ 6.06034754 -1.68757951], Best Fitness = 13.188073251808039, Evaluations = 40
Generation 5: Best Solution = [5.65151275 0.79493839], Best Fitness = 12.935307911515885, Evaluations = 48
Generation 6: Best Solution = [-1.84846108 -1.68757951], Best Fitness = 7.576451230471319, Evaluations = 56
Generation 7: Best Solution = [-1.84846108 -1.68757951], Best Fitness = 7.576451230471319, Evaluations = 64
Generation 8: Best Solution = [-1.77364608  0.01413446], Best Fitness = 5.383452097432436, Evaluations = 72
Generation 9: Best Solution = [-1.77364608  0.01413446], Best Fitness = 5.383452097432436, Evaluations = 80
Generation 10: Best Solution = [-1.77364608  0.01413446], Best Fitness = 5.383452097432436, Evaluations = 88
Generation 11: Best Solution = [-1.21880482  0.8479743 ], Best Fitness = 5.035019156156871, Evaluations = 96
Generation 12: Best Solution = [-1.21880482  0.8479743 ], Best Fitness = 5.035019156156871, Evaluations = 104
Generation 13: Best Solution = [-0.54500703  0.01413446], Best Fitness = 3.184315333498365, Evaluations = 112
Generation 14: Best Solution = [-0.54500703  0.01413446], Best Fitness = 3.184315333498365, Evaluations = 120
Generation 15: Best Solution = [-0.54500703  0.01413446], Best Fitness = 3.184315333498365, Evaluations = 128
Generation 16: Best Solution = [-0.54500703  0.01413446], Best Fitness = 3.184315333498365, Evaluations = 136
Generation 17: Best Solution = [ 0.86830865 -0.08392547], Best Fitness = 2.8787835088993714, Evaluations = 144
Generation 18: Best Solution = [0.30410943 0.01413446], Best Fitness = 2.1683170069001076, Evaluations = 152
Generation 19: Best Solution = [-0.2429941 -0.0146537], Best Fitness = 1.713270333740852, Evaluations = 160
Generation 20: Best Solution = [-0.2429941   0.01266488], Best Fitness = 1.7120643270112237, Evaluations = 168
Generation 21: Best Solution = [-0.19387457  0.00179583], Best Fitness = 1.2997740775687103, Evaluations = 176
Generation 22: Best Solution = [-0.17093126 -0.07037503], Best Fitness = 1.2401930828557508, Evaluations = 184
Generation 23: Best Solution = [-0.17154688  0.00179583], Best Fitness = 1.1089077607656503, Evaluations = 192
Generation 24: Best Solution = [-0.17154688  0.00179583], Best Fitness = 1.1089077607656503, Evaluations = 200
Generation 25: Best Solution = [-0.13819675 -0.0146537 ], Best Fitness = 0.8348830969025411, Evaluations = 208
Generation 26: Best Solution = [-0.10890881 -0.01835588], Best Fitness = 0.6074089423828792, Evaluations = 216
Generation 27: Best Solution = [-0.07644202 -0.01835588], Best Fitness = 0.3791529629715815, Evaluations = 224
Generation 28: Best Solution = [-0.0520537   0.00076806], Best Fitness = 0.21782247422323708, Evaluations = 232
Generation 29: Best Solution = [-0.0520537   0.00076806], Best Fitness = 0.21782247422323708, Evaluations = 240
Generation 30: Best Solution = [-0.0520537   0.00076806], Best Fitness = 0.21782247422323708, Evaluations = 248
Generation 31: Best Solution = [-0.0520537   0.00076806], Best Fitness = 0.21782247422323708, Evaluations = 256
Generation 32: Best Solution = [-0.04449716 -0.01812321], Best Fitness = 0.19631988767304565, Evaluations = 264
Generation 33: Best Solution = [-0.04449716 -0.01812321], Best Fitness = 0.19631988767304565, Evaluations = 272
Generation 34: Best Solution = [-0.0363569   0.00076806], Best Fitness = 0.13768747815721172, Evaluations = 280
Generation 35: Best Solution = [-0.02859244 -0.00327548], Best Fitness = 0.10330684788648314, Evaluations = 288
Generation 36: Best Solution = [-0.02859244 -0.00327548], Best Fitness = 0.10330684788648314, Evaluations = 296
Generation 37: Best Solution = [-0.02584418 -0.00585784], Best Fitness = 0.09354784362035717, Evaluations = 304
Generation 38: Best Solution = [-0.01765936 -0.00327548], Best Fitness = 0.059367685459218666, Evaluations = 312
Generation 39: Best Solution = [-0.01026234 -0.00327548], Best Fitness = 0.033556235490099784, Evaluations = 320
Generation 40: Best Solution = [-0.01026234 -0.00327548], Best Fitness = 0.033556235490099784, Evaluations = 328
Generation 41: Best Solution = [-0.00162393  0.00189328], Best Fitness = 0.007220693890524377, Evaluations = 336
Generation 42: Best Solution = [-0.00162393  0.00189328], Best Fitness = 0.0046862043715845125, Evaluations = 344
