Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [  3.51039757 -11.96034529], Best Fitness = 18.301267366821218, Evaluations = 8
Generation 1: Best Solution = [  3.51039757 -11.96034529], Best Fitness = 18.301267366821218, Evaluations = 16
Generation 2: Best Solution = [  3.51039757 -11.96034529], Best Fitness = 18.301267366821218, Evaluations = 24
Generation 3: Best Solution = [3.51039757 3.16570735], Best Fitness = 11.68707883100812, Evaluations = 32
Generation 4: Best Solution = [3.51039757 3.16570735], Best Fitness = 11.68707883100812, Evaluations = 40
Generation 5: Best Solution = [3.51039757 3.16570735], Best Fitness = 11.68707883100812, Evaluations = 48
Generation 6: Best Solution = [3.51039757 3.16570735], Best Fitness = 11.68707883100812, Evaluations = 56
Generation 7: Best Solution = [3.51039757 3.16570735], Best Fitness = 11.68707883100812, Evaluations = 64
Generation 8: Best Solution = [0.96098953 2.41879799], Best Fitness = 7.827082412193317, Evaluations = 72
Generation 9: Best Solution = [0.96098953 2.41879799], Best Fitness = 7.827082412193317, Evaluations = 80
Generation 10: Best Solution = [0.96098953 2.41879799], Best Fitness = 7.827082412193317, Evaluations = 88
Generation 11: Best Solution = [0.96098953 2.41879799], Best Fitness = 7.827082412193317, Evaluations = 96
Generation 12: Best Solution = [1.77450244 1.1135763 ], Best Fitness = 6.270951759893691, Evaluations = 104
Generation 13: Best Solution = [-0.59183495  1.1135763 ], Best Fitness = 5.025400414349708, Evaluations = 112
Generation 14: Best Solution = [0.92858972 0.18239379], Best Fitness = 3.2953681368036176, Evaluations = 120
Generation 15: Best Solution = [0.92858972 0.18239379], Best Fitness = 1.307336236453843, Evaluations = 128
Generation 16: Best Solution = [0.92858972 0.18239379], Best Fitness = 1.307336236453843, Evaluations = 136
Generation 17: Best Solution = [0.92858972 0.18239379], Best Fitness = 1.307336236453843, Evaluations = 144
Generation 18: Best Solution = [0.92858972 0.18239379], Best Fitness = 1.307336236453843, Evaluations = 152
Generation 19: Best Solution = [0.92858972 0.18239379], Best Fitness = 1.307336236453843, Evaluations = 160
Generation 20: Best Solution = [0.12975448 0.13155014], Best Fitness = 1.2572088081377655, Evaluations = 168
Generation 21: Best Solution = [0.01149447 0.04935145], Best Fitness = 0.21032175647149076, Evaluations = 176
Generation 22: Best Solution = [0.01149447 0.04935145], Best Fitness = 0.21032175647149076, Evaluations = 184
Generation 23: Best Solution = [0.01149447 0.04935145], Best Fitness = 0.21032175647149076, Evaluations = 192
Generation 24: Best Solution = [0.01149447 0.04935145], Best Fitness = 0.21032175647149076, Evaluations = 200
Generation 25: Best Solution = [0.01149447 0.04935145], Best Fitness = 0.21032175647149076, Evaluations = 208
Generation 26: Best Solution = [ 0.02598224 -0.01526234], Best Fitness = 0.10925569897343168, Evaluations = 216
Generation 27: Best Solution = [ 0.02598224 -0.01526234], Best Fitness = 0.10925569897343168, Evaluations = 224
Generation 28: Best Solution = [ 0.02598224 -0.01526234], Best Fitness = 0.10925569897343168, Evaluations = 232
Generation 29: Best Solution = [-0.00480533 -0.02255952], Best Fitness = 0.07934627766682611, Evaluations = 240
