Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [1.12326612 2.37050856], Best Fitness = 7.902981072224895, Evaluations = 8
Generation 1: Best Solution = [1.12326612 2.37050856], Best Fitness = 7.902981072224895, Evaluations = 16
Generation 2: Best Solution = [1.12326612 2.37050856], Best Fitness = 7.902981072224895, Evaluations = 24
Generation 3: Best Solution = [1.12326612 2.37050856], Best Fitness = 7.902981072224895, Evaluations = 32
Generation 4: Best Solution = [1.12326612 2.37050856], Best Fitness = 7.902981072224895, Evaluations = 40
Generation 5: Best Solution = [1.12326612 2.37050856], Best Fitness = 7.902981072224895, Evaluations = 48
Generation 6: Best Solution = [1.12326612 2.37050856], Best Fitness = 7.902981072224895, Evaluations = 56
Generation 7: Best Solution = [1.12326612 2.37050856], Best Fitness = 7.902981072224895, Evaluations = 64
Generation 8: Best Solution = [1.12326612 2.37050856], Best Fitness = 7.902981072224895, Evaluations = 72
Generation 9: Best Solution = [1.12326612 2.37050856], Best Fitness = 7.902981072224895, Evaluations = 80
Generation 10: Best Solution = [1.12326612 2.37050856], Best Fitness = 7.902981072224895, Evaluations = 88
Generation 11: Best Solution = [ 0.85140618 -0.77647167], Best Fitness = 4.263152377393631, Evaluations = 96
Generation 12: Best Solution = [-0.92491902 -0.98313973], Best Fitness = 3.627282997652465, Evaluations = 104
Generation 13: Best Solution = [-0.92491902 -0.98313973], Best Fitness = 3.627282997652465, Evaluations = 112
Generation 14: Best Solution = [-0.92491902 -0.98313973], Best Fitness = 3.627282997652465, Evaluations = 120
Generation 15: Best Solution = [ 0.94982841 -0.18434377], Best Fitness = 3.3103006010813734, Evaluations = 128
Generation 16: Best Solution = [ 0.94982841 -0.18434377], Best Fitness = 3.3103006010813734, Evaluations = 136
Generation 17: Best Solution = [ 0.94982841 -0.18434377], Best Fitness = 3.3103006010813734, Evaluations = 144
Generation 18: Best Solution = [0.28009575 0.02899137], Best Fitness = 2.0106351765425896, Evaluations = 152
Generation 19: Best Solution = [0.28009575 0.02899137], Best Fitness = 2.0106351765425896, Evaluations = 160
Generation 20: Best Solution = [0.28009575 0.02899137], Best Fitness = 2.0106351765425896, Evaluations = 168
Generation 21: Best Solution = [0.28009575 0.02899137], Best Fitness = 2.0106351765425896, Evaluations = 176
Generation 22: Best Solution = [0.28009575 0.02899137], Best Fitness = 2.0106351765425896, Evaluations = 184
Generation 23: Best Solution = [-0.20070404  0.08275664], Best Fitness = 1.525631809528154, Evaluations = 192
Generation 24: Best Solution = [-0.20070404  0.08275664], Best Fitness = 1.525631809528154, Evaluations = 200
Generation 25: Best Solution = [0.13715093 0.02899137], Best Fitness = 0.8465279377550883, Evaluations = 208
Generation 26: Best Solution = [0.13715093 0.02899137], Best Fitness = 0.8465279377550883, Evaluations = 216
Generation 27: Best Solution = [-0.03111029  0.07431407], Best Fitness = 0.3926564243480901, Evaluations = 224
Generation 28: Best Solution = [-0.02510885  0.04786348], Best Fitness = 0.22906637073895242, Evaluations = 232
Generation 29: Best Solution = [-0.02510885  0.04786348], Best Fitness = 0.22906637073895242, Evaluations = 240
Generation 30: Best Solution = [-0.03890957  0.02899137], Best Fitness = 0.1989529153992362, Evaluations = 248
Generation 31: Best Solution = [-0.01758035  0.0326856 ], Best Fitness = 0.14129429522331138, Evaluations = 256
Generation 32: Best Solution = [-0.0351297   0.00287948], Best Fitness = 0.1324420747128312, Evaluations = 264
Generation 33: Best Solution = [-0.01493444  0.01852282], Best Fitness = 0.08231656325283199, Evaluations = 272
Generation 34: Best Solution = [-0.01493444  0.01852282], Best Fitness = 0.08231656325283199, Evaluations = 280
Generation 35: Best Solution = [-0.00344368  0.01805736], Best Fitness = 0.06096843072976599, Evaluations = 288
Generation 36: Best Solution = [-0.0049397   0.00808485], Best Fitness = 0.02918664657322312, Evaluations = 296
Generation 37: Best Solution = [-0.00344368  0.00076241], Best Fitness = 0.01030726782066127, Evaluations = 304
Generation 38: Best Solution = [-0.00344368  0.00076241], Best Fitness = 0.01030726782066127, Evaluations = 312
Generation 39: Best Solution = [-7.52540111e-05 -1.88757046e-03], Best Fitness = 0.005438119652936724, Evaluations = 320
Generation 40: Best Solution = [-7.52540111e-05 -1.88757046e-03], Best Fitness = 0.005438119652936724, Evaluations = 328
Generation 41: Best Solution = [-7.52540111e-05 -1.88757046e-03], Best Fitness = 0.005438119652936724, Evaluations = 336
Generation 42: Best Solution = [-0.0010048   0.00112434], Best Fitness = 0.00432552652058904, Evaluations = 344
Generation 43: Best Solution = [-7.52540111e-05 -7.18664058e-04], Best Fitness = 0.002057706431657369, Evaluations = 352
Generation 44: Best Solution = [-7.52540111e-05 -7.18664058e-04], Best Fitness = 0.002057706431657369, Evaluations = 360
Generation 45: Best Solution = [-7.52540111e-05 -7.18664058e-04], Best Fitness = 0.002057706431657369, Evaluations = 368
Generation 46: Best Solution = [-7.52540111e-05 -7.18664058e-04], Best Fitness = 0.002057706431657369, Evaluations = 376
Generation 47: Best Solution = [-7.52540111e-05 -7.18664058e-04], Best Fitness = 0.002057706431657369, Evaluations = 384
Generation 48: Best Solution = [-7.52540111e-05 -7.18664058e-04], Best Fitness = 0.002057706431657369, Evaluations = 392
Generation 49: Best Solution = [-7.52540111e-05 -7.18664058e-04], Best Fitness = 0.002057706431657369, Evaluations = 400
Generation 50: Best Solution = [ 0.0001852  -0.00024583], Best Fitness = 0.0008730783107719908, Evaluations = 408
Generation 51: Best Solution = [1.85202321e-04 9.41590005e-06], Best Fitness = 0.0005254235467764268, Evaluations = 416
Generation 52: Best Solution = [1.85202321e-04 9.41590005e-06], Best Fitness = 0.0005254235467764268, Evaluations = 424
Generation 53: Best Solution = [-1.33233956e-04  9.73555979e-05], Best Fitness = 0.00046745325700614515, Evaluations = 432
Generation 54: Best Solution = [-1.33233956e-04  9.73555979e-05], Best Fitness = 0.00046745325700614515, Evaluations = 440
Generation 55: Best Solution = [-1.33233956e-04  9.73555979e-05], Best Fitness = 0.00046745325700614515, Evaluations = 448
