Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [-28.30823906 -46.89229544], Best Fitness = 1.5798557465177054, Evaluations = 128
Generation 1: Best Solution = [-28.30823906 -46.89229544], Best Fitness = 1.5798557465177054, Evaluations = 256
Generation 2: Best Solution = [-43.55822377 -35.15942938], Best Fitness = 0.9052851436805383, Evaluations = 384
Generation 3: Best Solution = [-43.55822377 -35.15942938], Best Fitness = 0.9052851436805383, Evaluations = 512
Generation 4: Best Solution = [-43.55822377 -35.15942938], Best Fitness = 0.9052851436805383, Evaluations = 640
Generation 5: Best Solution = [ 11.55897124 -17.16487324], Best Fitness = 0.6213887900414077, Evaluations = 768
Generation 6: Best Solution = [ 11.55897124 -17.16487324], Best Fitness = 0.6213887900414077, Evaluations = 896
Generation 7: Best Solution = [ 2.81101164 13.11668211], Best Fitness = 0.10973777354410907, Evaluations = 1024
Generation 8: Best Solution = [ 2.81101164 13.11668211], Best Fitness = 0.10973777354410907, Evaluations = 1152
Generation 9: Best Solution = [ 2.81101164 13.11668211], Best Fitness = 0.10973777354410907, Evaluations = 1280
Generation 10: Best Solution = [ 2.81101164 13.11668211], Best Fitness = 0.10973777354410907, Evaluations = 1408
Generation 11: Best Solution = [ 2.81101164 13.11668211], Best Fitness = 0.10973777354410907, Evaluations = 1536
Generation 12: Best Solution = [ 2.81101164 13.11668211], Best Fitness = 0.07726061610071644, Evaluations = 1664
Generation 13: Best Solution = [ 2.81101164 13.11668211], Best Fitness = 0.07726061610071644, Evaluations = 1792
Generation 14: Best Solution = [ 2.81101164 13.11668211], Best Fitness = 0.07726061610071644, Evaluations = 1920
Generation 15: Best Solution = [ 2.81101164 13.11668211], Best Fitness = 0.07726061610071644, Evaluations = 2048
