Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [ 5.71922729 -5.2430484 ], Best Fitness = 1.7284871585509154, Evaluations = 128
Generation 1: Best Solution = [ 5.71922729 -5.2430484 ], Best Fitness = 1.7284871585509154, Evaluations = 256
Generation 2: Best Solution = [  0.87541351 -33.15349417], Best Fitness = 1.350967600485999, Evaluations = 384
Generation 3: Best Solution = [ 5.30512639 37.56910243], Best Fitness = 1.2829541580944288, Evaluations = 512
Generation 4: Best Solution = [ 18.2002105  -27.14150536], Best Fitness = 0.5167282709983527, Evaluations = 640
Generation 5: Best Solution = [2.89742746 3.66870217], Best Fitness = 0.17692391627133475, Evaluations = 768
Generation 6: Best Solution = [2.89742746 3.66870217], Best Fitness = 0.17692391627133475, Evaluations = 896
Generation 7: Best Solution = [2.89742746 3.66870217], Best Fitness = 0.17692391627133475, Evaluations = 1024
Generation 8: Best Solution = [2.89742746 3.66870217], Best Fitness = 0.17692391627133475, Evaluations = 1152
Generation 9: Best Solution = [2.89742746 3.66870217], Best Fitness = 0.17692391627133475, Evaluations = 1280
Generation 10: Best Solution = [2.89742746 3.66870217], Best Fitness = 0.17692391627133475, Evaluations = 1408
Generation 11: Best Solution = [2.89742746 3.66870217], Best Fitness = 0.17692391627133475, Evaluations = 1536
Generation 12: Best Solution = [2.89742746 3.66870217], Best Fitness = 0.17692391627133475, Evaluations = 1664
Generation 13: Best Solution = [2.89742746 3.66870217], Best Fitness = 0.17692391627133475, Evaluations = 1792
Generation 14: Best Solution = [15.77478741 13.59756161], Best Fitness = 0.12865019111008114, Evaluations = 1920
Generation 15: Best Solution = [15.77478741 13.59756161], Best Fitness = 0.12865019111008114, Evaluations = 2048
