Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [-189.08277403   26.7369538 ], Best Fitness = 9.28562321923512, Evaluations = 16
Generation 1: Best Solution = [-189.08277403   26.7369538 ], Best Fitness = 9.28562321923512, Evaluations = 32
Generation 2: Best Solution = [-108.92124496  -62.83018191], Best Fitness = 5.413985981756186, Evaluations = 48
Generation 3: Best Solution = [-108.92124496  -62.83018191], Best Fitness = 5.413985981756186, Evaluations = 64
Generation 4: Best Solution = [-3.17226448  6.19622914], Best Fitness = 0.6872843736525275, Evaluations = 80
Generation 5: Best Solution = [-3.17226448  6.19622914], Best Fitness = 0.6872843736525275, Evaluations = 96
Generation 6: Best Solution = [-3.17226448  6.19622914], Best Fitness = 0.6872843736525275, Evaluations = 112
Generation 7: Best Solution = [-3.17226448  6.19622914], Best Fitness = 0.6872843736525275, Evaluations = 128
Generation 8: Best Solution = [-3.17226448  6.19622914], Best Fitness = 0.6872843736525275, Evaluations = 144
Generation 9: Best Solution = [-3.17226448  6.19622914], Best Fitness = 0.6872843736525275, Evaluations = 160
Generation 10: Best Solution = [6.1016358  9.84413912], Best Fitness = 0.2673033022429443, Evaluations = 176
Generation 11: Best Solution = [6.1016358  9.84413912], Best Fitness = 0.2673033022429443, Evaluations = 192
Generation 12: Best Solution = [6.1016358  9.84413912], Best Fitness = 0.2673033022429443, Evaluations = 208
Generation 13: Best Solution = [6.1016358  9.84413912], Best Fitness = 0.2673033022429443, Evaluations = 224
Generation 14: Best Solution = [-6.52311855 17.39560143], Best Fitness = 0.1490528609260341, Evaluations = 240
Generation 15: Best Solution = [-6.52311855 17.39560143], Best Fitness = 0.1490528609260341, Evaluations = 256
Generation 16: Best Solution = [0.09969235 8.81042558], Best Fitness = 0.025785213307994548, Evaluations = 272
Generation 17: Best Solution = [0.09969235 8.81042558], Best Fitness = 0.025785213307994548, Evaluations = 288
