Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 64
Max Evaluations: 2000

Generation 0: Best Solution = [107.22502934 -55.34853664], Best Fitness = 4.518974903131554, Evaluations = 64
Generation 1: Best Solution = [-83.69516177 -15.77845491], Best Fitness = 2.8823711000665373, Evaluations = 128
Generation 2: Best Solution = [55.22599698 33.78254075], Best Fitness = 1.9691607169935268, Evaluations = 192
Generation 3: Best Solution = [-20.50874997 -15.77845491], Best Fitness = 1.1815859639148898, Evaluations = 256
Generation 4: Best Solution = [-20.50874997 -15.77845491], Best Fitness = 1.1815859639148898, Evaluations = 320
Generation 5: Best Solution = [-20.50874997 -15.77845491], Best Fitness = 1.1815859639148898, Evaluations = 384
Generation 6: Best Solution = [22.73935348  5.5148748 ], Best Fitness = 0.6046301407638783, Evaluations = 448
Generation 7: Best Solution = [6.48405302 9.71450236], Best Fitness = 0.21769861945259783, Evaluations = 512
Generation 8: Best Solution = [6.48405302 9.71450236], Best Fitness = 0.21769861945259783, Evaluations = 576
Generation 9: Best Solution = [6.48405302 9.71450236], Best Fitness = 0.21769861945259783, Evaluations = 640
Generation 10: Best Solution = [6.48405302 9.71450236], Best Fitness = 0.21769861945259783, Evaluations = 704
Generation 11: Best Solution = [6.48405302 9.71450236], Best Fitness = 0.21769861945259783, Evaluations = 768
Generation 12: Best Solution = [6.48405302 9.71450236], Best Fitness = 0.21769861945259783, Evaluations = 832
Generation 13: Best Solution = [6.48405302 9.71450236], Best Fitness = 0.21769861945259783, Evaluations = 896
Generation 14: Best Solution = [6.48405302 9.71450236], Best Fitness = 0.21769861945259783, Evaluations = 960
Generation 15: Best Solution = [6.48405302 9.71450236], Best Fitness = 0.21769861945259783, Evaluations = 1024
Generation 16: Best Solution = [6.48405302 9.71450236], Best Fitness = 0.21769861945259783, Evaluations = 1088
Generation 17: Best Solution = [15.73147047  4.34812583], Best Fitness = 0.06911588960173398, Evaluations = 1152
Generation 18: Best Solution = [15.73147047  4.34812583], Best Fitness = 0.06911588960173398, Evaluations = 1216
Generation 19: Best Solution = [15.73147047  4.34812583], Best Fitness = 0.06911588960173398, Evaluations = 1280
Generation 20: Best Solution = [15.73147047  4.34812583], Best Fitness = 0.06911588960173398, Evaluations = 1344
Generation 21: Best Solution = [15.73147047  4.34812583], Best Fitness = 0.06911588960173398, Evaluations = 1408
Generation 22: Best Solution = [15.73147047  4.34812583], Best Fitness = 0.06911588960173398, Evaluations = 1472
Generation 23: Best Solution = [15.73147047  4.34812583], Best Fitness = 0.06911588960173398, Evaluations = 1536
Generation 24: Best Solution = [15.73147047  4.34812583], Best Fitness = 0.06911588960173398, Evaluations = 1600
Generation 25: Best Solution = [15.73147047  4.34812583], Best Fitness = 0.06911588960173398, Evaluations = 1664
Generation 26: Best Solution = [-2.9534824   4.37792219], Best Fitness = 0.025649121408640174, Evaluations = 1728
Generation 27: Best Solution = [-2.9534824   4.37792219], Best Fitness = 0.025649121408640174, Evaluations = 1792
Generation 28: Best Solution = [-6.29630306 -0.15193576], Best Fitness = 0.015767739564083394, Evaluations = 1856
Generation 29: Best Solution = [3.06896069 4.34812583], Best Fitness = 0.011955692612414248, Evaluations = 1920
Generation 30: Best Solution = [3.06896069 4.34812583], Best Fitness = 0.011955692612414248, Evaluations = 1984
Generation 31: Best Solution = [3.06896069 4.34812583], Best Fitness = 0.011955692612414248, Evaluations = 2048
