Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 64
Max Evaluations: 2000

Generation 0: Best Solution = [95.90467308 15.62322917], Best Fitness = 3.3648931075852735, Evaluations = 64
Generation 1: Best Solution = [-3.15203536 81.57149097], Best Fitness = 3.091614429873642, Evaluations = 128
Generation 2: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 192
Generation 3: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 256
Generation 4: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 320
Generation 5: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 384
Generation 6: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 448
Generation 7: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 512
Generation 8: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 576
Generation 9: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 640
Generation 10: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 704
Generation 11: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 768
Generation 12: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 832
Generation 13: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 896
Generation 14: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 960
Generation 15: Best Solution = [-3.15203536 81.57149097], Best Fitness = 0.1286866722065434, Evaluations = 1024
Generation 16: Best Solution = [ 3.22705635 -4.1674498 ], Best Fitness = 0.029432157930130654, Evaluations = 1088
Generation 17: Best Solution = [ 3.22705635 -4.1674498 ], Best Fitness = 0.029432157930130654, Evaluations = 1152
Generation 18: Best Solution = [ 3.22705635 -4.1674498 ], Best Fitness = 0.029432157930130654, Evaluations = 1216
Generation 19: Best Solution = [ 3.22705635 -4.1674498 ], Best Fitness = 0.029432157930130654, Evaluations = 1280
Generation 20: Best Solution = [ 3.22705635 -4.1674498 ], Best Fitness = 0.029432157930130654, Evaluations = 1344
Generation 21: Best Solution = [ 3.22705635 -4.1674498 ], Best Fitness = 0.029432157930130654, Evaluations = 1408
Generation 22: Best Solution = [ 3.22705635 -4.1674498 ], Best Fitness = 0.029432157930130654, Evaluations = 1472
Generation 23: Best Solution = [-3.0490425   4.57513748], Best Fitness = 0.016187774327527382, Evaluations = 1536
Generation 24: Best Solution = [-3.0490425   4.57513748], Best Fitness = 0.016187774327527382, Evaluations = 1600
Generation 25: Best Solution = [-3.0490425   4.57513748], Best Fitness = 0.016187774327527382, Evaluations = 1664
Generation 26: Best Solution = [-3.0490425   4.57513748], Best Fitness = 0.016187774327527382, Evaluations = 1728
Generation 27: Best Solution = [-3.0490425   4.57513748], Best Fitness = 0.016187774327527382, Evaluations = 1792
Generation 28: Best Solution = [-3.0490425   4.57513748], Best Fitness = 0.016187774327527382, Evaluations = 1856
Generation 29: Best Solution = [-3.0490425   4.57513748], Best Fitness = 0.016187774327527382, Evaluations = 1920
Generation 30: Best Solution = [-3.0490425   4.57513748], Best Fitness = 0.016187774327527382, Evaluations = 1984
Generation 31: Best Solution = [-3.0490425   4.57513748], Best Fitness = 0.016187774327527382, Evaluations = 2048
