Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 64
Max Evaluations: 2000

Generation 0: Best Solution = [ 97.91337731 -42.91791229], Best Fitness = 4.274176431360727, Evaluations = 64
Generation 1: Best Solution = [ 97.91337731 -42.91791229], Best Fitness = 4.274176431360727, Evaluations = 128
Generation 2: Best Solution = [10.13372503 26.07896101], Best Fitness = 1.8921582714717768, Evaluations = 192
Generation 3: Best Solution = [  7.705793   -50.93044235], Best Fitness = 1.6802722629541211, Evaluations = 256
Generation 4: Best Solution = [-26.78990798 -35.04269194], Best Fitness = 1.5673420695688423, Evaluations = 320
Generation 5: Best Solution = [62.71168087 26.71759003], Best Fitness = 1.169760229804944, Evaluations = 384
Generation 6: Best Solution = [  3.7162188  -12.51103557], Best Fitness = 0.3396065795438241, Evaluations = 448
Generation 7: Best Solution = [  3.7162188  -12.51103557], Best Fitness = 0.3396065795438241, Evaluations = 512
Generation 8: Best Solution = [  3.7162188  -12.51103557], Best Fitness = 0.3396065795438241, Evaluations = 576
Generation 9: Best Solution = [  3.7162188  -12.51103557], Best Fitness = 0.3396065795438241, Evaluations = 640
Generation 10: Best Solution = [  3.7162188  -12.51103557], Best Fitness = 0.3396065795438241, Evaluations = 704
Generation 11: Best Solution = [-9.90379766  5.05811578], Best Fitness = 0.22613138479521244, Evaluations = 768
Generation 12: Best Solution = [-9.90379766  5.05811578], Best Fitness = 0.22613138479521244, Evaluations = 832
Generation 13: Best Solution = [ 6.77908708 -8.50208308], Best Fitness = 0.1821921290694637, Evaluations = 896
Generation 14: Best Solution = [ 6.77908708 -8.50208308], Best Fitness = 0.1821921290694637, Evaluations = 960
Generation 15: Best Solution = [ 6.77908708 -8.50208308], Best Fitness = 0.1821921290694637, Evaluations = 1024
Generation 16: Best Solution = [12.88187353  0.29592091], Best Fitness = 0.1116029904470105, Evaluations = 1088
Generation 17: Best Solution = [12.88187353  0.29592091], Best Fitness = 0.06740614181463511, Evaluations = 1152
Generation 18: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1216
Generation 19: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1280
Generation 20: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1344
Generation 21: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1408
Generation 22: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1472
Generation 23: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1536
Generation 24: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1600
Generation 25: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1664
Generation 26: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1728
Generation 27: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1792
Generation 28: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1856
Generation 29: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1920
Generation 30: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 1984
Generation 31: Best Solution = [-6.48931199  8.7431438 ], Best Fitness = 0.05578082293883446, Evaluations = 2048
