Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 64
Max Evaluations: 2000

Generation 0: Best Solution = [ -2.25091875 -58.50458981], Best Fitness = 1.3138106310438271, Evaluations = 64
Generation 1: Best Solution = [ -2.25091875 -58.50458981], Best Fitness = 1.3138106310438271, Evaluations = 128
Generation 2: Best Solution = [-19.24882487  45.99713601], Best Fitness = 1.2110187599000872, Evaluations = 192
Generation 3: Best Solution = [19.19290607 35.98113531], Best Fitness = 0.5189366341131046, Evaluations = 256
Generation 4: Best Solution = [19.19290607 35.98113531], Best Fitness = 0.5189366341131046, Evaluations = 320
Generation 5: Best Solution = [19.19290607 35.98113531], Best Fitness = 0.5189366341131046, Evaluations = 384
Generation 6: Best Solution = [19.19290607 35.98113531], Best Fitness = 0.5189366341131046, Evaluations = 448
Generation 7: Best Solution = [-18.60499847  -0.04598204], Best Fitness = 0.11680526149392911, Evaluations = 512
Generation 8: Best Solution = [-18.60499847  -0.04598204], Best Fitness = 0.11680526149392911, Evaluations = 576
Generation 9: Best Solution = [-12.74410868   9.15266037], Best Fitness = 0.09477540578676968, Evaluations = 640
Generation 10: Best Solution = [-12.74410868   9.15266037], Best Fitness = 0.09477540578676968, Evaluations = 704
Generation 11: Best Solution = [-12.74410868   9.15266037], Best Fitness = 0.09477540578676968, Evaluations = 768
Generation 12: Best Solution = [-12.74410868   9.15266037], Best Fitness = 0.09477540578676968, Evaluations = 832
Generation 13: Best Solution = [-12.74410868   9.15266037], Best Fitness = 0.09477540578676968, Evaluations = 896
Generation 14: Best Solution = [-12.74410868   9.15266037], Best Fitness = 0.09477540578676968, Evaluations = 960
Generation 15: Best Solution = [-12.74410868   9.15266037], Best Fitness = 0.09477540578676968, Evaluations = 1024
Generation 16: Best Solution = [-12.74410868   9.15266037], Best Fitness = 0.09477540578676968, Evaluations = 1088
Generation 17: Best Solution = [-12.74410868   9.15266037], Best Fitness = 0.09477540578676968, Evaluations = 1152
Generation 18: Best Solution = [15.75867429 -4.52820756], Best Fitness = 0.07031282985783882, Evaluations = 1216
Generation 19: Best Solution = [-0.13828945  8.56455864], Best Fitness = 0.05332709550337167, Evaluations = 1280
Generation 20: Best Solution = [-0.13828945  8.56455864], Best Fitness = 0.05332709550337167, Evaluations = 1344
Generation 21: Best Solution = [-0.13828945  8.56455864], Best Fitness = 0.05332709550337167, Evaluations = 1408
Generation 22: Best Solution = [-0.13828945  8.56455864], Best Fitness = 0.05332709550337167, Evaluations = 1472
Generation 23: Best Solution = [-0.13828945  8.56455864], Best Fitness = 0.05332709550337167, Evaluations = 1536
Generation 24: Best Solution = [-0.13828945  8.56455864], Best Fitness = 0.05332709550337167, Evaluations = 1600
Generation 25: Best Solution = [-3.1135742   4.35774267], Best Fitness = 0.009374515564515296, Evaluations = 1664
Generation 26: Best Solution = [-3.1135742   4.35774267], Best Fitness = 0.009374515564515296, Evaluations = 1728
Generation 27: Best Solution = [-3.1135742   4.35774267], Best Fitness = 0.009374515564515296, Evaluations = 1792
Generation 28: Best Solution = [-3.1135742   4.35774267], Best Fitness = 0.009374515564515296, Evaluations = 1856
Generation 29: Best Solution = [-3.1135742   4.35774267], Best Fitness = 0.009374515564515296, Evaluations = 1920
Generation 30: Best Solution = [-3.1135742   4.35774267], Best Fitness = 0.009374515564515296, Evaluations = 1984
Generation 31: Best Solution = [-3.1135742   4.35774267], Best Fitness = 0.009374515564515296, Evaluations = 2048
