Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [3.1709584 1.0303161], Best Fitness = 16.53271666853049, Evaluations = 16
Generation 1: Best Solution = [3.1709584 1.0303161], Best Fitness = 16.53271666853049, Evaluations = 32
Generation 2: Best Solution = [ 1.90292953 -2.92645965], Best Fitness = 15.036994667432781, Evaluations = 48
Generation 3: Best Solution = [ 1.90292953 -2.92645965], Best Fitness = 14.422300481786477, Evaluations = 64
Generation 4: Best Solution = [0.12416997 2.16811427], Best Fitness = 12.687264830037439, Evaluations = 80
Generation 5: Best Solution = [ 1.9850829  -2.06892351], Best Fitness = 9.188027981640031, Evaluations = 96
Generation 6: Best Solution = [ 1.9850829  -2.06892351], Best Fitness = 9.188027981640031, Evaluations = 112
Generation 7: Best Solution = [ 1.9850829  -2.06892351], Best Fitness = 9.188027981640031, Evaluations = 128
Generation 8: Best Solution = [ 1.9850829  -2.06892351], Best Fitness = 8.48159313082888, Evaluations = 144
Generation 9: Best Solution = [-0.99200643 -2.06892351], Best Fitness = 6.20026923720282, Evaluations = 160
Generation 10: Best Solution = [1.97010276 0.03035203], Best Fitness = 4.239441966732409, Evaluations = 176
Generation 11: Best Solution = [1.97010276 0.03035203], Best Fitness = 4.239441966732409, Evaluations = 192
Generation 12: Best Solution = [1.97010276 0.03035203], Best Fitness = 4.239441966732409, Evaluations = 208
Generation 13: Best Solution = [1.97010276 0.03035203], Best Fitness = 4.239441966732409, Evaluations = 224
Generation 14: Best Solution = [1.00260263 0.06544812], Best Fitness = 1.8445049256166612, Evaluations = 240
Generation 15: Best Solution = [1.00260263 0.06544812], Best Fitness = 1.8445049256166612, Evaluations = 256
Generation 16: Best Solution = [1.00260263 0.06544812], Best Fitness = 1.8445049256166612, Evaluations = 272
Generation 17: Best Solution = [1.00260263 0.06544812], Best Fitness = 1.8445049256166612, Evaluations = 288
Generation 18: Best Solution = [1.00260263 0.06544812], Best Fitness = 1.8445049256166612, Evaluations = 304
Generation 19: Best Solution = [1.00260263 0.06544812], Best Fitness = 1.8445049256166612, Evaluations = 320
Generation 20: Best Solution = [0.96109308 0.05052672], Best Fitness = 1.7232835626637808, Evaluations = 336
Generation 21: Best Solution = [0.96109308 0.05052672], Best Fitness = 1.7232835626637808, Evaluations = 352
Generation 22: Best Solution = [ 0.06487061 -0.02155668], Best Fitness = 0.9154869766406115, Evaluations = 368
Generation 23: Best Solution = [ 0.06487061 -0.02155668], Best Fitness = 0.9154869766406115, Evaluations = 384
Generation 24: Best Solution = [ 0.06487061 -0.02155668], Best Fitness = 0.9154869766406115, Evaluations = 400
Generation 25: Best Solution = [ 0.06487061 -0.02155668], Best Fitness = 0.9154869766406115, Evaluations = 416
Generation 26: Best Solution = [ 0.06487061 -0.02155668], Best Fitness = 0.9154869766406115, Evaluations = 432
Generation 27: Best Solution = [ 0.06487061 -0.02155668], Best Fitness = 0.9154869766406115, Evaluations = 448
Generation 28: Best Solution = [-0.00393491  0.04260418], Best Fitness = 0.3610418942860001, Evaluations = 464
Generation 29: Best Solution = [-0.00393491  0.04260418], Best Fitness = 0.3610418942860001, Evaluations = 480
Generation 30: Best Solution = [-0.00393491  0.04260418], Best Fitness = 0.3610418942860001, Evaluations = 496
Generation 31: Best Solution = [-0.00393491  0.04260418], Best Fitness = 0.3610418942860001, Evaluations = 512
Generation 32: Best Solution = [-0.00393491  0.04260418], Best Fitness = 0.06989211144129825, Evaluations = 528
Generation 33: Best Solution = [-0.00393491  0.04260418], Best Fitness = 0.06989211144129825, Evaluations = 544
Generation 34: Best Solution = [-0.00393491  0.04260418], Best Fitness = 0.06989211144129825, Evaluations = 560
Generation 35: Best Solution = [-0.00393491  0.04260418], Best Fitness = 0.06989211144129825, Evaluations = 576
Generation 36: Best Solution = [-0.00393491  0.04260418], Best Fitness = 0.06989211144129825, Evaluations = 592
Generation 37: Best Solution = [-0.00393491  0.04260418], Best Fitness = 0.06989211144129825, Evaluations = 608
Generation 38: Best Solution = [-0.00393491  0.04260418], Best Fitness = 0.06989211144129825, Evaluations = 624
Generation 39: Best Solution = [-0.00984774  0.00115254], Best Fitness = 0.01949709207451278, Evaluations = 640
Generation 40: Best Solution = [-0.00984774  0.00115254], Best Fitness = 0.01949709207451278, Evaluations = 656
Generation 41: Best Solution = [-0.00984774  0.00115254], Best Fitness = 0.01949709207451278, Evaluations = 672
Generation 42: Best Solution = [-0.00393491  0.00521053], Best Fitness = 0.008457452143368016, Evaluations = 688
Generation 43: Best Solution = [-0.00393491  0.00521053], Best Fitness = 0.0036856285475508344, Evaluations = 704
Generation 44: Best Solution = [-0.00393491  0.00521053], Best Fitness = 0.0036856285475508344, Evaluations = 720
Generation 45: Best Solution = [-0.00393491  0.00521053], Best Fitness = 0.0036856285475508344, Evaluations = 736
Generation 46: Best Solution = [-0.00035199  0.00045588], Best Fitness = 6.58104816722016e-05, Evaluations = 752
Generation 47: Best Solution = [-0.00035199  0.00045588], Best Fitness = 6.58104816722016e-05, Evaluations = 768
Generation 48: Best Solution = [-0.00035199  0.00045588], Best Fitness = 6.58104816722016e-05, Evaluations = 784
Generation 49: Best Solution = [-0.00035199  0.00045588], Best Fitness = 6.58104816722016e-05, Evaluations = 800
Generation 50: Best Solution = [-0.00035199  0.00045588], Best Fitness = 6.58104816722016e-05, Evaluations = 816
Generation 51: Best Solution = [-0.00035199  0.00045588], Best Fitness = 6.58104816722016e-05, Evaluations = 832
Generation 52: Best Solution = [-0.00035199  0.00045588], Best Fitness = 6.58104816722016e-05, Evaluations = 848
Generation 53: Best Solution = [-0.00035199  0.00045588], Best Fitness = 6.58104816722016e-05, Evaluations = 864
Generation 54: Best Solution = [-0.00035199  0.00045588], Best Fitness = 6.58104816722016e-05, Evaluations = 880
Generation 55: Best Solution = [-0.00035199  0.00045588], Best Fitness = 6.58104816722016e-05, Evaluations = 896
Generation 56: Best Solution = [-0.00035199  0.00045588], Best Fitness = 6.58104816722016e-05, Evaluations = 912
Generation 57: Best Solution = [-0.00027544  0.00035668], Best Fitness = 4.029036460195812e-05, Evaluations = 928
Generation 58: Best Solution = [-3.54411164e-05  1.03939650e-04], Best Fitness = 2.3925139913671956e-06, Evaluations = 944
Generation 59: Best Solution = [-3.54411164e-05  1.03939650e-04], Best Fitness = 2.3925139913671956e-06, Evaluations = 960
Generation 60: Best Solution = [-3.54411164e-05  1.03939650e-04], Best Fitness = 2.3925139913671956e-06, Evaluations = 976
Generation 61: Best Solution = [-3.54411164e-05  1.03939650e-04], Best Fitness = 2.3925139913671956e-06, Evaluations = 992
Generation 62: Best Solution = [-1.89580089e-05 -5.55922758e-05], Best Fitness = 6.844342905765188e-07, Evaluations = 1008
Generation 63: Best Solution = [2.21393825e-05 2.21630696e-05], Best Fitness = 1.9469285206241693e-07, Evaluations = 1024
Generation 64: Best Solution = [2.21393825e-05 2.21630696e-05], Best Fitness = 1.9469285206241693e-07, Evaluations = 1040
Generation 65: Best Solution = [2.21393825e-05 2.21630696e-05], Best Fitness = 1.9469285206241693e-07, Evaluations = 1056
Generation 66: Best Solution = [5.84483939e-06 7.76475772e-06], Best Fitness = 1.873885224767946e-08, Evaluations = 1072
Generation 67: Best Solution = [5.84483939e-06 7.76475772e-06], Best Fitness = 1.873885224767946e-08, Evaluations = 1088
Generation 68: Best Solution = [5.84483939e-06 7.76475772e-06], Best Fitness = 1.873885224767946e-08, Evaluations = 1104
Generation 69: Best Solution = [5.84483939e-06 7.76475772e-06], Best Fitness = 1.873885224767946e-08, Evaluations = 1120
Generation 70: Best Solution = [5.84483939e-06 7.76475772e-06], Best Fitness = 1.873885224767946e-08, Evaluations = 1136
Generation 71: Best Solution = [5.84483939e-06 7.76475772e-06], Best Fitness = 1.873885224767946e-08, Evaluations = 1152
Generation 72: Best Solution = [5.86786507e-06 5.34480528e-06], Best Fitness = 1.2498460932874877e-08, Evaluations = 1168
Generation 73: Best Solution = [ 5.54341620e-06 -2.33176742e-06], Best Fitness = 7.175167127115856e-09, Evaluations = 1184
Generation 74: Best Solution = [ 5.54341620e-06 -2.33176742e-06], Best Fitness = 7.175167127115856e-09, Evaluations = 1200
Generation 75: Best Solution = [ 5.54341620e-06 -2.33176742e-06], Best Fitness = 7.175167127115856e-09, Evaluations = 1216
Generation 76: Best Solution = [ 5.54341620e-06 -2.33176742e-06], Best Fitness = 7.175167127115856e-09, Evaluations = 1232
Generation 77: Best Solution = [-4.00037193e-06 -1.33340490e-06], Best Fitness = 3.52759954580506e-09, Evaluations = 1248
Generation 78: Best Solution = [-1.85333122e-06 -4.67747686e-07], Best Fitness = 7.248530664583086e-10, Evaluations = 1264
Generation 79: Best Solution = [-1.85333122e-06 -4.67747686e-07], Best Fitness = 7.248530664583086e-10, Evaluations = 1280
Generation 80: Best Solution = [-1.85333122e-06 -4.67747686e-07], Best Fitness = 7.248530664583086e-10, Evaluations = 1296
Generation 81: Best Solution = [1.02195868e-06 5.30655599e-07], Best Fitness = 2.630677897741407e-10, Evaluations = 1312
Generation 82: Best Solution = [-8.13430806e-07 -1.96317268e-07], Best Fitness = 1.3891465755477839e-10, Evaluations = 1328
Generation 83: Best Solution = [-8.13430806e-07 -1.96317268e-07], Best Fitness = 1.3891465755477839e-10, Evaluations = 1344
Generation 84: Best Solution = [ 2.23406469e-07 -1.62333076e-07], Best Fitness = 1.5127454844332533e-11, Evaluations = 1360
Generation 85: Best Solution = [-7.10309185e-08 -1.96317268e-07], Best Fitness = 8.64730509420042e-12, Evaluations = 1376
Generation 86: Best Solution = [-7.10309185e-08 -1.96317268e-07], Best Fitness = 8.64730509420042e-12, Evaluations = 1392
Generation 87: Best Solution = [-7.10309185e-08 -1.96317268e-07], Best Fitness = 8.64730509420042e-12, Evaluations = 1408
Generation 88: Best Solution = [-7.10309185e-08 -1.96317268e-07], Best Fitness = 8.64730509420042e-12, Evaluations = 1424
Generation 89: Best Solution = [-7.10309185e-08  1.01371721e-07], Best Fitness = 3.0411229090532288e-12, Evaluations = 1440
Generation 90: Best Solution = [-7.10309185e-08  1.01371721e-07], Best Fitness = 3.0411229090532288e-12, Evaluations = 1456
Generation 91: Best Solution = [ 6.12456185e-08 -4.21874820e-08], Best Fitness = 1.0977885267493548e-12, Evaluations = 1472
Generation 92: Best Solution = [ 6.12456185e-08 -4.21874820e-08], Best Fitness = 1.0977885267493548e-12, Evaluations = 1488
Generation 93: Best Solution = [ 6.12456185e-08 -4.21874820e-08], Best Fitness = 1.0977885267493548e-12, Evaluations = 1504
Generation 94: Best Solution = [ 6.12456185e-08 -4.21874820e-08], Best Fitness = 1.0977885267493548e-12, Evaluations = 1520
Generation 95: Best Solution = [-7.10309185e-08  1.64425457e-08], Best Fitness = 1.0551559626037488e-12, Evaluations = 1536
Generation 96: Best Solution = [3.24111810e-08 3.28475463e-08], Best Fitness = 4.263256414560601e-13, Evaluations = 1552
Generation 97: Best Solution = [ 3.59080788e-08 -1.14022035e-08], Best Fitness = 2.8066438062523957e-13, Evaluations = 1568
Generation 98: Best Solution = [ 3.59080788e-08 -1.14022035e-08], Best Fitness = 2.8066438062523957e-13, Evaluations = 1584
Generation 99: Best Solution = [-4.15000178e-09 -7.03791485e-09], Best Fitness = 1.4210854715202004e-14, Evaluations = 1600
Generation 100: Best Solution = [-4.15000178e-09 -7.03791485e-09], Best Fitness = 1.4210854715202004e-14, Evaluations = 1616
Generation 101: Best Solution = [-2.92740976e-09  1.68001992e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 1632
Generation 102: Best Solution = [-2.92740976e-09  1.68001992e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 1648
Generation 103: Best Solution = [-2.92740976e-09  1.68001992e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 1664
Generation 104: Best Solution = [-2.92740976e-09  1.68001992e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 1680
Generation 105: Best Solution = [-2.92740976e-09  1.68001992e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 1696
Generation 106: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1712
Generation 107: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1728
Generation 108: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1744
Generation 109: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1760
Generation 110: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1776
Generation 111: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1792
Generation 112: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1808
Generation 113: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1824
Generation 114: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1840
Generation 115: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1856
Generation 116: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1872
Generation 117: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1888
Generation 118: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1904
Generation 119: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1920
Generation 120: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1936
Generation 121: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1952
Generation 122: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1968
Generation 123: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 1984
Generation 124: Best Solution = [ 5.39730713e-10 -1.41168863e-09], Best Fitness = 0.0, Evaluations = 2000
