Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [-0.97045211  3.1717392 ], Best Fitness = 16.452060076114314, Evaluations = 16
Generation 1: Best Solution = [ 1.19053151 -1.9475942 ], Best Fitness = 12.097544773921195, Evaluations = 32
Generation 2: Best Solution = [ 1.19053151 -1.9475942 ], Best Fitness = 12.097544773921195, Evaluations = 48
Generation 3: Best Solution = [-0.02706999  2.00038837], Best Fitness = 4.146613665136915, Evaluations = 64
Generation 4: Best Solution = [-1.04083612 -0.08254181], Best Fitness = 2.732506565991688, Evaluations = 80
Generation 5: Best Solution = [-1.04083612 -0.08254181], Best Fitness = 2.732506565991688, Evaluations = 96
Generation 6: Best Solution = [-1.04083612 -0.08254181], Best Fitness = 2.732506565991688, Evaluations = 112
Generation 7: Best Solution = [-1.04083612 -0.08254181], Best Fitness = 2.732506565991688, Evaluations = 128
Generation 8: Best Solution = [-1.04083612 -0.08254181], Best Fitness = 2.732506565991688, Evaluations = 144
Generation 9: Best Solution = [1.06459023 0.03158302], Best Fitness = 2.142859598836907, Evaluations = 160
Generation 10: Best Solution = [1.06459023 0.03158302], Best Fitness = 2.142859598836907, Evaluations = 176
Generation 11: Best Solution = [1.06459023 0.03158302], Best Fitness = 2.142859598836907, Evaluations = 192
Generation 12: Best Solution = [1.06459023 0.03158302], Best Fitness = 2.142859598836907, Evaluations = 208
Generation 13: Best Solution = [1.06459023 0.03158302], Best Fitness = 2.142859598836907, Evaluations = 224
Generation 14: Best Solution = [1.06459023 0.03158302], Best Fitness = 2.142859598836907, Evaluations = 240
Generation 15: Best Solution = [-0.02975679  0.92932034], Best Fitness = 2.0087916649308966, Evaluations = 256
Generation 16: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 272
Generation 17: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 288
Generation 18: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 304
Generation 19: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 320
Generation 20: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 336
Generation 21: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 352
Generation 22: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 368
Generation 23: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 384
Generation 24: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 400
Generation 25: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 416
Generation 26: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 432
Generation 27: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 448
Generation 28: Best Solution = [0.01328776 0.03158302], Best Fitness = 0.2322570347885673, Evaluations = 464
Generation 29: Best Solution = [-0.00502135  0.01980182], Best Fitness = 0.08269397230185405, Evaluations = 480
Generation 30: Best Solution = [-0.00502135  0.01980182], Best Fitness = 0.08269397230185405, Evaluations = 496
Generation 31: Best Solution = [-0.00502135  0.01980182], Best Fitness = 0.08269397230185405, Evaluations = 512
Generation 32: Best Solution = [-0.00502135  0.01980182], Best Fitness = 0.08269397230185405, Evaluations = 528
Generation 33: Best Solution = [-0.00502135  0.01980182], Best Fitness = 0.08269397230185405, Evaluations = 544
Generation 34: Best Solution = [ 0.002826 -0.008745], Best Fitness = 0.016752601564419933, Evaluations = 560
Generation 35: Best Solution = [ 0.002826 -0.008745], Best Fitness = 0.016752601564419933, Evaluations = 576
Generation 36: Best Solution = [-0.00137798 -0.00516883], Best Fitness = 0.005676643650417645, Evaluations = 592
Generation 37: Best Solution = [-0.00137798 -0.00516883], Best Fitness = 0.005676643650417645, Evaluations = 608
Generation 38: Best Solution = [-0.00137798 -0.00516883], Best Fitness = 0.005676643650417645, Evaluations = 624
Generation 39: Best Solution = [-0.00137798 -0.00516883], Best Fitness = 0.005676643650417645, Evaluations = 640
Generation 40: Best Solution = [-0.00137798 -0.00516883], Best Fitness = 0.005676643650417645, Evaluations = 656
Generation 41: Best Solution = [-0.00137798 -0.00516883], Best Fitness = 0.005676643650417645, Evaluations = 672
Generation 42: Best Solution = [0.002826  0.0002202], Best Fitness = 0.0015939896310399604, Evaluations = 688
Generation 43: Best Solution = [0.002826  0.0002202], Best Fitness = 0.0015939896310399604, Evaluations = 704
Generation 44: Best Solution = [0.002826  0.0002202], Best Fitness = 0.0015939896310399604, Evaluations = 720
Generation 45: Best Solution = [-0.00043832  0.0002202 ], Best Fitness = 4.7735043125385346e-05, Evaluations = 736
Generation 46: Best Solution = [-1.32214345e-04 -2.82501274e-05], Best Fitness = 3.6263497733557415e-06, Evaluations = 752
Generation 47: Best Solution = [-1.32214345e-04 -2.82501274e-05], Best Fitness = 3.6263497733557415e-06, Evaluations = 768
Generation 48: Best Solution = [-1.32214345e-04 -2.82501274e-05], Best Fitness = 3.6263497733557415e-06, Evaluations = 784
Generation 49: Best Solution = [-1.32214345e-04 -2.82501274e-05], Best Fitness = 3.6263497733557415e-06, Evaluations = 800
Generation 50: Best Solution = [-1.32214345e-04 -2.82501274e-05], Best Fitness = 3.6263497733557415e-06, Evaluations = 816
Generation 51: Best Solution = [-1.32214345e-04 -2.82501274e-05], Best Fitness = 3.6263497733557415e-06, Evaluations = 832
Generation 52: Best Solution = [-1.32214345e-04 -2.82501274e-05], Best Fitness = 3.6263497733557415e-06, Evaluations = 848
Generation 53: Best Solution = [4.17252696e-05 1.73793071e-05], Best Fitness = 4.053226625444495e-07, Evaluations = 864
Generation 54: Best Solution = [4.17252696e-05 1.73793071e-05], Best Fitness = 4.053226625444495e-07, Evaluations = 880
Generation 55: Best Solution = [4.17252696e-05 1.73793071e-05], Best Fitness = 4.053226625444495e-07, Evaluations = 896
Generation 56: Best Solution = [4.17252696e-05 1.73793071e-05], Best Fitness = 4.053226625444495e-07, Evaluations = 912
Generation 57: Best Solution = [4.17252696e-05 1.73793071e-05], Best Fitness = 4.053226625444495e-07, Evaluations = 928
Generation 58: Best Solution = [4.17252696e-05 1.73793071e-05], Best Fitness = 4.053226625444495e-07, Evaluations = 944
Generation 59: Best Solution = [4.17252696e-05 1.73793071e-05], Best Fitness = 4.053226625444495e-07, Evaluations = 960
Generation 60: Best Solution = [-2.05067231e-05  2.35591051e-05], Best Fitness = 1.9354281732830714e-07, Evaluations = 976
Generation 61: Best Solution = [-2.05067231e-05  2.35591051e-05], Best Fitness = 1.9354281732830714e-07, Evaluations = 992
Generation 62: Best Solution = [-2.05067231e-05  2.35591051e-05], Best Fitness = 1.9354281732830714e-07, Evaluations = 1008
Generation 63: Best Solution = [-2.68687659e-06  1.65491229e-05], Best Fitness = 5.5766580686622547e-08, Evaluations = 1024
Generation 64: Best Solution = [-2.68687659e-06  1.65491229e-05], Best Fitness = 5.5766580686622547e-08, Evaluations = 1040
Generation 65: Best Solution = [-2.68687659e-06 -1.39345247e-06], Best Fitness = 1.8174688420913299e-09, Evaluations = 1056
