Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [-2.94145201 -0.93177114], Best Fitness = 11.094283311500462, Evaluations = 32
Generation 1: Best Solution = [-2.94145201 -0.93177114], Best Fitness = 11.094283311500462, Evaluations = 64
Generation 2: Best Solution = [-2.94145201 -0.93177114], Best Fitness = 11.094283311500462, Evaluations = 96
Generation 3: Best Solution = [0.76290103 1.01453217], Best Fitness = 10.843242139569488, Evaluations = 128
Generation 4: Best Solution = [0.76290103 1.01453217], Best Fitness = 10.843242139569488, Evaluations = 160
Generation 5: Best Solution = [-0.96915826 -0.95769382], Best Fitness = 2.3948398605239944, Evaluations = 192
Generation 6: Best Solution = [-0.96915826 -0.95769382], Best Fitness = 2.3948398605239944, Evaluations = 224
Generation 7: Best Solution = [-0.96915826 -0.95769382], Best Fitness = 2.3948398605239944, Evaluations = 256
Generation 8: Best Solution = [-0.96915826 -0.95769382], Best Fitness = 2.3948398605239944, Evaluations = 288
Generation 9: Best Solution = [-0.96915826 -0.95769382], Best Fitness = 2.3948398605239944, Evaluations = 320
Generation 10: Best Solution = [-0.96915826 -0.95769382], Best Fitness = 2.3948398605239944, Evaluations = 352
Generation 11: Best Solution = [-0.96915826 -0.95769382], Best Fitness = 2.3948398605239944, Evaluations = 384
Generation 12: Best Solution = [-0.96915826 -0.95769382], Best Fitness = 2.3948398605239944, Evaluations = 416
Generation 13: Best Solution = [-0.03029465  1.01278061], Best Fitness = 1.2394812352527111, Evaluations = 448
Generation 14: Best Solution = [-0.03029465  1.01278061], Best Fitness = 1.2394812352527111, Evaluations = 480
Generation 15: Best Solution = [-0.03029465  1.01278061], Best Fitness = 1.2394812352527111, Evaluations = 512
Generation 16: Best Solution = [0.97433752 0.00350372], Best Fitness = 1.0814826477483521, Evaluations = 544
Generation 17: Best Solution = [0.97433752 0.00350372], Best Fitness = 1.0814826477483521, Evaluations = 576
