Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [-2.11813077  5.08172531], Best Fitness = 34.23050161365883, Evaluations = 8
Generation 1: Best Solution = [ 2.52717048 -1.87605515], Best Fitness = 32.643014055326, Evaluations = 16
Generation 2: Best Solution = [-2.11813077 -0.76198847], Best Fitness = 16.94497937710251, Evaluations = 24
Generation 3: Best Solution = [2.92637779 2.06820231], Best Fitness = 14.796330328344473, Evaluations = 32
Generation 4: Best Solution = [1.21508259 0.11606266], Best Fitness = 11.85673980657742, Evaluations = 40
Generation 5: Best Solution = [ 0.21611495 -1.1064837 ], Best Fitness = 11.31392937023643, Evaluations = 48
Generation 6: Best Solution = [-0.85655318 -1.17157806], Best Fitness = 11.169977012851932, Evaluations = 56
Generation 7: Best Solution = [-0.90752548 -2.1032159 ], Best Fitness = 8.918409049179498, Evaluations = 64
Generation 8: Best Solution = [-0.90752548 -2.1032159 ], Best Fitness = 8.918409049179498, Evaluations = 72
Generation 9: Best Solution = [-0.90752548 -2.1032159 ], Best Fitness = 8.918409049179498, Evaluations = 80
Generation 10: Best Solution = [1.09921926 0.87458327], Best Fitness = 6.80174369905207, Evaluations = 88
Generation 11: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7261020104519815, Evaluations = 96
Generation 12: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7261020104519815, Evaluations = 104
Generation 13: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7261020104519815, Evaluations = 112
Generation 14: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7261020104519815, Evaluations = 120
Generation 15: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7261020104519815, Evaluations = 128
Generation 16: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7261020104519815, Evaluations = 136
Generation 17: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7261020104519815, Evaluations = 144
Generation 18: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7186460292218193, Evaluations = 152
Generation 19: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7186460292218193, Evaluations = 160
Generation 20: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7186460292218193, Evaluations = 168
Generation 21: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7186460292218193, Evaluations = 176
Generation 22: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7186460292218193, Evaluations = 184
Generation 23: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7186460292218193, Evaluations = 192
Generation 24: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7186460292218193, Evaluations = 200
Generation 25: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7186460292218193, Evaluations = 208
Generation 26: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7186460292218193, Evaluations = 216
Generation 27: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7186460292218193, Evaluations = 224
Generation 28: Best Solution = [ 1.06353866 -0.06427593], Best Fitness = 2.7186460292218193, Evaluations = 232
Generation 29: Best Solution = [0.02700918 1.03572758], Best Fitness = 1.4680193986877796, Evaluations = 240
Generation 30: Best Solution = [0.02700918 1.03572758], Best Fitness = 1.4680193986877796, Evaluations = 248
Generation 31: Best Solution = [0.02700918 1.03572758], Best Fitness = 1.4680193986877796, Evaluations = 256
Generation 32: Best Solution = [0.02700918 1.03572758], Best Fitness = 1.3577685563018704, Evaluations = 264
Generation 33: Best Solution = [ 0.02655113 -1.02765663], Best Fitness = 1.346218293720085, Evaluations = 272
Generation 34: Best Solution = [ 0.02655113 -1.02765663], Best Fitness = 1.346218293720085, Evaluations = 280
Generation 35: Best Solution = [-0.03265483 -0.97700201], Best Fitness = 1.269569184931676, Evaluations = 288
Generation 36: Best Solution = [-0.01027271 -0.99404933], Best Fitness = 1.0160518022360279, Evaluations = 296
Generation 37: Best Solution = [-0.01027271 -0.99404933], Best Fitness = 1.0160518022360279, Evaluations = 304
Generation 38: Best Solution = [-0.01027271 -0.99404933], Best Fitness = 1.0160518022360279, Evaluations = 312
Generation 39: Best Solution = [-0.01027271 -0.99404933], Best Fitness = 1.0160518022360279, Evaluations = 320
Generation 40: Best Solution = [-0.01027271 -0.99404933], Best Fitness = 1.0160518022360279, Evaluations = 328
Generation 41: Best Solution = [-0.01027271 -0.99404933], Best Fitness = 1.0160518022360279, Evaluations = 336
Generation 42: Best Solution = [-5.56306637e-04 -9.89109052e-01], Best Fitness = 1.001802196870706, Evaluations = 344
Generation 43: Best Solution = [ 0.00413094 -0.99404933], Best Fitness = 0.9985083113182505, Evaluations = 352
Generation 44: Best Solution = [ 0.00413094 -0.99404933], Best Fitness = 0.9985083113182505, Evaluations = 360
Generation 45: Best Solution = [ 0.00413094 -0.99404933], Best Fitness = 0.9985083113182505, Evaluations = 368
Generation 46: Best Solution = [ 0.00413094 -0.99404933], Best Fitness = 0.9985083113182505, Evaluations = 376
Generation 47: Best Solution = [ 0.0016797  -0.99440793], Best Fitness = 0.9955789302268307, Evaluations = 384
Generation 48: Best Solution = [ 0.0016797  -0.99440793], Best Fitness = 0.9954059229444816, Evaluations = 392
Generation 49: Best Solution = [ 0.0016797  -0.99440793], Best Fitness = 0.9954059229444816, Evaluations = 400
Generation 50: Best Solution = [ 0.0016797  -0.99440793], Best Fitness = 0.9954059229444816, Evaluations = 408
Generation 51: Best Solution = [ 0.0016797  -0.99440793], Best Fitness = 0.9954059229444816, Evaluations = 416
Generation 52: Best Solution = [ 0.0016797  -0.99440793], Best Fitness = 0.9953917111969766, Evaluations = 424
Generation 53: Best Solution = [ 0.0010049 -0.9954762], Best Fitness = 0.9952125157224359, Evaluations = 432
Generation 54: Best Solution = [ 0.0010049 -0.9954762], Best Fitness = 0.9952125157224359, Evaluations = 440
Generation 55: Best Solution = [ 0.0010049 -0.9954762], Best Fitness = 0.9952125157224359, Evaluations = 448
Generation 56: Best Solution = [-3.19763937e-04 -9.94777030e-01], Best Fitness = 0.9949858823681126, Evaluations = 456
Generation 57: Best Solution = [-2.37348065e-04 -9.94914699e-01], Best Fitness = 0.9949706161477394, Evaluations = 464
Generation 58: Best Solution = [-2.37348065e-04 -9.94914699e-01], Best Fitness = 0.9949706161477394, Evaluations = 472
Generation 59: Best Solution = [-2.37348065e-04 -9.94914699e-01], Best Fitness = 0.9949706161477394, Evaluations = 480
Generation 60: Best Solution = [-2.37348065e-04 -9.94914699e-01], Best Fitness = 0.9949706161477394, Evaluations = 488
Generation 61: Best Solution = [ 4.29067547e-05 -9.95145325e-01], Best Fitness = 0.9949663333232053, Evaluations = 496
Generation 62: Best Solution = [ 4.29067547e-05 -9.95145325e-01], Best Fitness = 0.994962651395479, Evaluations = 504
Generation 63: Best Solution = [ 4.29067547e-05 -9.95145325e-01], Best Fitness = 0.9949626184171052, Evaluations = 512
Generation 64: Best Solution = [ 4.29067547e-05 -9.95145325e-01], Best Fitness = 0.9949626184171052, Evaluations = 520
Generation 65: Best Solution = [-1.43560916e-05 -9.94924489e-01], Best Fitness = 0.9949593292168721, Evaluations = 528
Generation 66: Best Solution = [-1.43560916e-05 -9.94924489e-01], Best Fitness = 0.9949593292168721, Evaluations = 536
Generation 67: Best Solution = [-1.43560916e-05 -9.94924489e-01], Best Fitness = 0.9949593292168721, Evaluations = 544
Generation 68: Best Solution = [-1.43560916e-05 -9.94924489e-01], Best Fitness = 0.9949593292168721, Evaluations = 552
Generation 69: Best Solution = [ 1.09705296e-05 -9.94927479e-01], Best Fitness = 0.9949592734793065, Evaluations = 560
Generation 70: Best Solution = [ 8.71479097e-07 -9.94933728e-01], Best Fitness = 0.9949591802872817, Evaluations = 568
Generation 71: Best Solution = [ 8.71479097e-07 -9.94933728e-01], Best Fitness = 0.9949591802872817, Evaluations = 576
Generation 72: Best Solution = [ 7.30180870e-07 -9.94938548e-01], Best Fitness = 0.9949591372307935, Evaluations = 584
Generation 73: Best Solution = [ 6.94130201e-07 -9.94942116e-01], Best Fitness = 0.9949591113187104, Evaluations = 592
Generation 74: Best Solution = [ 6.94130201e-07 -9.94942116e-01], Best Fitness = 0.9949591113187104, Evaluations = 600
Generation 75: Best Solution = [ 1.58905688e-06 -9.94949355e-01], Best Fitness = 0.9949590746823276, Evaluations = 608
Generation 76: Best Solution = [-4.22930705e-07 -9.94956986e-01], Best Fitness = 0.9949590576697247, Evaluations = 616
Generation 77: Best Solution = [-4.22930705e-07 -9.94956986e-01], Best Fitness = 0.9949590576697247, Evaluations = 624
Generation 78: Best Solution = [-4.22930705e-07 -9.94956986e-01], Best Fitness = 0.9949590576697247, Evaluations = 632
Generation 79: Best Solution = [-4.22930705e-07 -9.94956986e-01], Best Fitness = 0.9949590576697247, Evaluations = 640
Generation 80: Best Solution = [ 9.49935929e-07 -9.94959658e-01], Best Fitness = 0.9949590574786669, Evaluations = 648
Generation 81: Best Solution = [-3.45764503e-07 -9.94958089e-01], Best Fitness = 0.9949590571767999, Evaluations = 656
Generation 82: Best Solution = [-3.45764503e-07 -9.94958089e-01], Best Fitness = 0.9949590571767999, Evaluations = 664
