Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [1.3704296  2.12807813], Best Fitness = 6.387259481152387, Evaluations = 128
Generation 1: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 256
Generation 2: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 384
Generation 3: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 512
Generation 4: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 640
Generation 5: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 768
Generation 6: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 896
Generation 7: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 1024
Generation 8: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 1152
Generation 9: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 1280
Generation 10: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 1408
Generation 11: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 1536
Generation 12: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 1664
Generation 13: Best Solution = [0.82186285 0.70662914], Best Fitness = 0.1288934246156621, Evaluations = 1792
Generation 14: Best Solution = [0.72658904 0.53982824], Best Fitness = 0.08890647771735052, Evaluations = 1920
Generation 15: Best Solution = [0.72658904 0.53982824], Best Fitness = 0.08890647771735052, Evaluations = 2048
