Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [ 0.0411736  -0.01144626], Best Fitness = 0.9366180291650352, Evaluations = 128
Generation 1: Best Solution = [ 0.0411736  -0.01144626], Best Fitness = 0.9366180291650352, Evaluations = 256
Generation 2: Best Solution = [ 0.0411736  -0.01144626], Best Fitness = 0.9366180291650352, Evaluations = 384
Generation 3: Best Solution = [ 0.0411736  -0.01144626], Best Fitness = 0.9366180291650352, Evaluations = 512
Generation 4: Best Solution = [ 0.0411736  -0.01144626], Best Fitness = 0.9366180291650352, Evaluations = 640
Generation 5: Best Solution = [ 0.0411736  -0.01144626], Best Fitness = 0.9366180291650352, Evaluations = 768
Generation 6: Best Solution = [ 0.0411736  -0.01144626], Best Fitness = 0.9366180291650352, Evaluations = 896
Generation 7: Best Solution = [ 0.0411736  -0.01144626], Best Fitness = 0.9366180291650352, Evaluations = 1024
Generation 8: Best Solution = [1.92354502 3.68622875], Best Fitness = 0.8719703380875117, Evaluations = 1152
Generation 9: Best Solution = [1.92354502 3.68622875], Best Fitness = 0.8719703380875117, Evaluations = 1280
Generation 10: Best Solution = [1.92354502 3.68622875], Best Fitness = 0.8719703380875117, Evaluations = 1408
Generation 11: Best Solution = [0.21311125 0.00464956], Best Fitness = 0.7853875038254459, Evaluations = 1536
Generation 12: Best Solution = [1.2942494  1.63608369], Best Fitness = 0.23866573004560632, Evaluations = 1664
Generation 13: Best Solution = [1.2942494  1.63608369], Best Fitness = 0.23866573004560632, Evaluations = 1792
Generation 14: Best Solution = [1.2942494  1.63608369], Best Fitness = 0.23866573004560632, Evaluations = 1920
Generation 15: Best Solution = [1.2942494  1.63608369], Best Fitness = 0.23866573004560632, Evaluations = 2048
