Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [0.85346751 0.4214817 ], Best Fitness = 9.441772838336316, Evaluations = 128
Generation 1: Best Solution = [0.85346751 0.4214817 ], Best Fitness = 9.441772838336316, Evaluations = 256
Generation 2: Best Solution = [0.85346751 0.4214817 ], Best Fitness = 9.441772838336316, Evaluations = 384
Generation 3: Best Solution = [0.52997948 0.35931816], Best Fitness = 0.8362012485654776, Evaluations = 512
Generation 4: Best Solution = [0.52997948 0.35931816], Best Fitness = 0.8362012485654776, Evaluations = 640
Generation 5: Best Solution = [0.52997948 0.35931816], Best Fitness = 0.8362012485654776, Evaluations = 768
Generation 6: Best Solution = [1.56180112 2.39328443], Best Fitness = 0.5266533120369876, Evaluations = 896
Generation 7: Best Solution = [0.73695771 0.49215025], Best Fitness = 0.32884685634757016, Evaluations = 1024
Generation 8: Best Solution = [0.73695771 0.49215025], Best Fitness = 0.32884685634757016, Evaluations = 1152
Generation 9: Best Solution = [0.73695771 0.49215025], Best Fitness = 0.32884685634757016, Evaluations = 1280
Generation 10: Best Solution = [0.73695771 0.49215025], Best Fitness = 0.32884685634757016, Evaluations = 1408
Generation 11: Best Solution = [1.1049536 1.2652106], Best Fitness = 0.2071592248287969, Evaluations = 1536
Generation 12: Best Solution = [1.1049536 1.2652106], Best Fitness = 0.2071592248287969, Evaluations = 1664
Generation 13: Best Solution = [1.1049536 1.2652106], Best Fitness = 0.2071592248287969, Evaluations = 1792
Generation 14: Best Solution = [1.1049536 1.2652106], Best Fitness = 0.2071592248287969, Evaluations = 1920
Generation 15: Best Solution = [1.1049536 1.2652106], Best Fitness = 0.2071592248287969, Evaluations = 2048
