Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [-0.97023102 -1.58950427], Best Fitness = 644.4032477710449, Evaluations = 8
Generation 1: Best Solution = [-1.09295127 -0.00377745], Best Fitness = 147.9775134758103, Evaluations = 16
Generation 2: Best Solution = [-1.09295127 -0.00377745], Best Fitness = 147.9775134758103, Evaluations = 24
Generation 3: Best Solution = [-1.09295127 -0.00377745], Best Fitness = 147.9775134758103, Evaluations = 32
Generation 4: Best Solution = [-1.09295127 -0.00377745], Best Fitness = 147.9775134758103, Evaluations = 40
Generation 5: Best Solution = [-1.09295127 -0.00377745], Best Fitness = 147.9775134758103, Evaluations = 48
Generation 6: Best Solution = [-0.74661024 -0.3672784 ], Best Fitness = 88.55862732456873, Evaluations = 56
Generation 7: Best Solution = [-1.78724492  2.5958318 ], Best Fitness = 43.57850021324308, Evaluations = 64
Generation 8: Best Solution = [-1.78724492  2.5958318 ], Best Fitness = 43.57850021324308, Evaluations = 72
Generation 9: Best Solution = [-0.10444991  0.23827308], Best Fitness = 6.38921666276887, Evaluations = 80
Generation 10: Best Solution = [-0.10444991  0.23827308], Best Fitness = 6.38921666276887, Evaluations = 88
Generation 11: Best Solution = [-0.26442361  0.00803172], Best Fitness = 1.9817810664759756, Evaluations = 96
Generation 12: Best Solution = [-0.26442361  0.00803172], Best Fitness = 1.9817810664759756, Evaluations = 104
Generation 13: Best Solution = [-0.26442361  0.00803172], Best Fitness = 1.9817810664759756, Evaluations = 112
Generation 14: Best Solution = [-0.26442361  0.00803172], Best Fitness = 1.9817810664759756, Evaluations = 120
Generation 15: Best Solution = [0.3877656  0.19855778], Best Fitness = 0.6071127562994265, Evaluations = 128
Generation 16: Best Solution = [0.3877656  0.19855778], Best Fitness = 0.6071127562994265, Evaluations = 136
Generation 17: Best Solution = [0.3877656  0.19855778], Best Fitness = 0.6071127562994265, Evaluations = 144
Generation 18: Best Solution = [0.3877656  0.19855778], Best Fitness = 0.6071127562994265, Evaluations = 152
Generation 19: Best Solution = [0.3877656  0.19855778], Best Fitness = 0.6071127562994265, Evaluations = 160
Generation 20: Best Solution = [0.76591093 0.62524233], Best Fitness = 0.20396950330853164, Evaluations = 168
Generation 21: Best Solution = [0.76591093 0.62524233], Best Fitness = 0.20396950330853164, Evaluations = 176
Generation 22: Best Solution = [0.76591093 0.62524233], Best Fitness = 0.20396950330853164, Evaluations = 184
