Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [-0.40024572 -0.37742324], Best Fitness = 0.302644933965337, Evaluations = 128
Generation 1: Best Solution = [0.08840889 0.17817412], Best Fitness = 0.039562149828941365, Evaluations = 256
Generation 2: Best Solution = [0.08840889 0.17817412], Best Fitness = 0.039562149828941365, Evaluations = 384
Generation 3: Best Solution = [0.08840889 0.17817412], Best Fitness = 0.039562149828941365, Evaluations = 512
Generation 4: Best Solution = [0.08840889 0.17817412], Best Fitness = 0.039562149828941365, Evaluations = 640
Generation 5: Best Solution = [0.08840889 0.17817412], Best Fitness = 0.039562149828941365, Evaluations = 768
Generation 6: Best Solution = [ 0.1475037  -0.00847826], Best Fitness = 0.02182922240289069, Evaluations = 896
Generation 7: Best Solution = [ 0.01245274 -0.07825502], Best Fitness = 0.006278918794724452, Evaluations = 1024
Generation 8: Best Solution = [-0.01208048 -0.07553753], Best Fitness = 0.005851856234786713, Evaluations = 1152
Generation 9: Best Solution = [-0.01208048 -0.07553753], Best Fitness = 0.005851856234786713, Evaluations = 1280
Generation 10: Best Solution = [ 0.05679619 -0.00479488], Best Fitness = 0.003248798159265744, Evaluations = 1408
Generation 11: Best Solution = [ 0.04126516 -0.00479488], Best Fitness = 0.0017258046696258884, Evaluations = 1536
Generation 12: Best Solution = [ 0.04126516 -0.00479488], Best Fitness = 0.0017258046696258884, Evaluations = 1664
Generation 13: Best Solution = [ 0.04126516 -0.00479488], Best Fitness = 0.0017258046696258884, Evaluations = 1792
Generation 14: Best Solution = [-0.00953234 -0.00784996], Best Fitness = 0.00015248739788785648, Evaluations = 1920
Generation 15: Best Solution = [-0.00953234 -0.00784996], Best Fitness = 0.00015248739788785648, Evaluations = 2048
