Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [-1.61350634  0.22815534], Best Fitness = 2.6554575629218293, Evaluations = 16
Generation 1: Best Solution = [-1.61350634  0.22815534], Best Fitness = 2.6554575629218293, Evaluations = 32
Generation 2: Best Solution = [-0.92946129 -0.53615089], Best Fitness = 1.1513560623466532, Evaluations = 48
Generation 3: Best Solution = [-0.92946129 -0.53615089], Best Fitness = 1.1513560623466532, Evaluations = 64
Generation 4: Best Solution = [-0.02706999  0.05287449], Best Fitness = 0.0035284959182468475, Evaluations = 80
Generation 5: Best Solution = [ 0.05206729 -0.02196335], Best Fitness = 0.003193391738235427, Evaluations = 96
Generation 6: Best Solution = [ 0.05206729 -0.02196335], Best Fitness = 0.003193391738235427, Evaluations = 112
Generation 7: Best Solution = [ 0.05206729 -0.02196335], Best Fitness = 0.003193391738235427, Evaluations = 128
Generation 8: Best Solution = [ 0.05206729 -0.02196335], Best Fitness = 0.003193391738235427, Evaluations = 144
Generation 9: Best Solution = [ 0.05206729 -0.02196335], Best Fitness = 0.003193391738235427, Evaluations = 160
Generation 10: Best Solution = [ 0.05206729 -0.02196335], Best Fitness = 0.003193391738235427, Evaluations = 176
Generation 11: Best Solution = [0.00353872 0.05287449], Best Fitness = 0.002808234066323936, Evaluations = 192
Generation 12: Best Solution = [0.00353872 0.05287449], Best Fitness = 0.002808234066323936, Evaluations = 208
Generation 13: Best Solution = [0.00353872 0.05287449], Best Fitness = 0.002808234066323936, Evaluations = 224
Generation 14: Best Solution = [0.00353872 0.05287449], Best Fitness = 0.00021133040401844757, Evaluations = 240
Generation 15: Best Solution = [0.00353872 0.05287449], Best Fitness = 5.15563208730862e-05, Evaluations = 256
Generation 16: Best Solution = [0.00353872 0.05287449], Best Fitness = 5.15563208730862e-05, Evaluations = 272
Generation 17: Best Solution = [0.00353872 0.05287449], Best Fitness = 5.15563208730862e-05, Evaluations = 288
Generation 18: Best Solution = [0.00353872 0.05287449], Best Fitness = 5.15563208730862e-05, Evaluations = 304
Generation 19: Best Solution = [0.00353872 0.05287449], Best Fitness = 5.15563208730862e-05, Evaluations = 320
Generation 20: Best Solution = [0.00353872 0.05287449], Best Fitness = 5.15563208730862e-05, Evaluations = 336
Generation 21: Best Solution = [-0.00043462 -0.00513005], Best Fitness = 2.6506299259304667e-05, Evaluations = 352
Generation 22: Best Solution = [-0.00043462 -0.00513005], Best Fitness = 2.6506299259304667e-05, Evaluations = 368
Generation 23: Best Solution = [-0.00043462 -0.00513005], Best Fitness = 2.6506299259304667e-05, Evaluations = 384
