Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [ 0.42994064 -1.689731  ], Best Fitness = 3.040039816719329, Evaluations = 8
Generation 1: Best Solution = [ 0.30868905 -0.45731107], Best Fitness = 0.3044223398906839, Evaluations = 16
Generation 2: Best Solution = [ 0.30868905 -0.45731107], Best Fitness = 0.3044223398906839, Evaluations = 24
Generation 3: Best Solution = [ 0.30868905 -0.45731107], Best Fitness = 0.3044223398906839, Evaluations = 32
Generation 4: Best Solution = [ 0.30868905 -0.45731107], Best Fitness = 0.3044223398906839, Evaluations = 40
Generation 5: Best Solution = [ 0.00252621 -0.22800637], Best Fitness = 0.051993285172477824, Evaluations = 48
Generation 6: Best Solution = [ 0.00252621 -0.22800637], Best Fitness = 0.051993285172477824, Evaluations = 56
Generation 7: Best Solution = [ 0.00252621 -0.22800637], Best Fitness = 0.051993285172477824, Evaluations = 64
Generation 8: Best Solution = [ 0.00252621 -0.22800637], Best Fitness = 0.051993285172477824, Evaluations = 72
Generation 9: Best Solution = [ 0.00252621 -0.22800637], Best Fitness = 0.051993285172477824, Evaluations = 80
Generation 10: Best Solution = [ 0.00252621 -0.22800637], Best Fitness = 0.051993285172477824, Evaluations = 88
Generation 11: Best Solution = [ 0.00252621 -0.22800637], Best Fitness = 0.051993285172477824, Evaluations = 96
Generation 12: Best Solution = [-0.15335264 -0.08722849], Best Fitness = 0.031125840093841263, Evaluations = 104
Generation 13: Best Solution = [0.00252621 0.05784727], Best Fitness = 0.0033526884447058285, Evaluations = 112
Generation 14: Best Solution = [0.00252621 0.05784727], Best Fitness = 0.0033526884447058285, Evaluations = 120
Generation 15: Best Solution = [0.00252621 0.05784727], Best Fitness = 0.0033526884447058285, Evaluations = 128
Generation 16: Best Solution = [0.05203136 0.02515101], Best Fitness = 0.0033398362234493563, Evaluations = 136
Generation 17: Best Solution = [0.05203136 0.02515101], Best Fitness = 0.0033398362234493563, Evaluations = 144
Generation 18: Best Solution = [0.05203136 0.02515101], Best Fitness = 0.0033398362234493563, Evaluations = 152
