Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [0.99439849 1.51536523], Best Fitness = 3.2851601373703185, Evaluations = 8
Generation 1: Best Solution = [0.99439849 1.51536523], Best Fitness = 3.2851601373703185, Evaluations = 16
Generation 2: Best Solution = [-1.39289246 -0.80035931], Best Fitness = 2.5807244262255473, Evaluations = 24
Generation 3: Best Solution = [-1.39289246 -0.80035931], Best Fitness = 1.0928448326347258, Evaluations = 32
Generation 4: Best Solution = [-1.39289246 -0.80035931], Best Fitness = 1.0928448326347258, Evaluations = 40
Generation 5: Best Solution = [-0.43799963  0.07734709], Best Fitness = 0.19782624918922007, Evaluations = 48
Generation 6: Best Solution = [-0.43799963  0.07734709], Best Fitness = 0.19782624918922007, Evaluations = 56
Generation 7: Best Solution = [-0.43799963  0.07734709], Best Fitness = 0.19782624918922007, Evaluations = 64
Generation 8: Best Solution = [-0.00782633  0.07734709], Best Fitness = 0.006043823313475317, Evaluations = 72
Generation 9: Best Solution = [-0.00782633  0.07734709], Best Fitness = 0.006043823313475317, Evaluations = 80
Generation 10: Best Solution = [-0.00782633  0.07734709], Best Fitness = 0.006043823313475317, Evaluations = 88
Generation 11: Best Solution = [-0.00782633  0.07734709], Best Fitness = 0.006043823313475317, Evaluations = 96
Generation 12: Best Solution = [-0.00782633  0.07734709], Best Fitness = 0.006043823313475317, Evaluations = 104
Generation 13: Best Solution = [-0.00782633  0.07734709], Best Fitness = 0.006043823313475317, Evaluations = 112
Generation 14: Best Solution = [-0.00406491 -0.02025457], Best Fitness = 0.00042677089321853986, Evaluations = 120
Generation 15: Best Solution = [-0.00406491 -0.02025457], Best Fitness = 0.00042677089321853986, Evaluations = 128
Generation 16: Best Solution = [-0.00406491 -0.02025457], Best Fitness = 0.00042677089321853986, Evaluations = 136
Generation 17: Best Solution = [-0.00406491 -0.02025457], Best Fitness = 0.00042677089321853986, Evaluations = 144
Generation 18: Best Solution = [-0.00406491 -0.02025457], Best Fitness = 0.00042677089321853986, Evaluations = 152
Generation 19: Best Solution = [0.00928936 0.00346273], Best Fitness = 9.828274609768828e-05, Evaluations = 160
Generation 20: Best Solution = [0.00928936 0.00346273], Best Fitness = 9.828274609768828e-05, Evaluations = 168
Generation 21: Best Solution = [0.00928936 0.00346273], Best Fitness = 9.341378598805674e-05, Evaluations = 176
Generation 22: Best Solution = [0.00928936 0.00346273], Best Fitness = 2.617007225723202e-05, Evaluations = 184
Generation 23: Best Solution = [-0.0011333   0.00269705], Best Fitness = 8.55844568847754e-06, Evaluations = 192
Generation 24: Best Solution = [-0.0011333   0.00269705], Best Fitness = 8.55844568847754e-06, Evaluations = 200
