Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [1.12326612 2.37050856], Best Fitness = 7.902981072224895, Evaluations = 128
Generation 1: Best Solution = [-0.12293018 -0.5812889 ], Best Fitness = 3.4052107802995946, Evaluations = 256
Generation 2: Best Solution = [-0.12293018 -0.5812889 ], Best Fitness = 3.4052107802995946, Evaluations = 384
Generation 3: Best Solution = [-0.12293018 -0.5812889 ], Best Fitness = 3.4052107802995946, Evaluations = 512
Generation 4: Best Solution = [-0.12293018 -0.5812889 ], Best Fitness = 3.4052107802995946, Evaluations = 640
Generation 5: Best Solution = [0.99149532 0.13997081], Best Fitness = 3.092950182872713, Evaluations = 768
Generation 6: Best Solution = [0.99149532 0.13997081], Best Fitness = 3.092950182872713, Evaluations = 896
Generation 7: Best Solution = [0.99149532 0.13997081], Best Fitness = 3.092950182872713, Evaluations = 1024
Generation 8: Best Solution = [ 0.12868753 -0.19303417], Best Fitness = 1.6810628777956294, Evaluations = 1152
Generation 9: Best Solution = [-0.04588624  0.13997081], Best Fitness = 0.9091834778310894, Evaluations = 1280
Generation 10: Best Solution = [-0.11254857 -0.05843658], Best Fitness = 0.7416511866184767, Evaluations = 1408
Generation 11: Best Solution = [-0.11254857 -0.05843658], Best Fitness = 0.7416511866184767, Evaluations = 1536
Generation 12: Best Solution = [-0.04336398  0.04980828], Best Fitness = 0.2996272216352662, Evaluations = 1664
Generation 13: Best Solution = [-0.04336398  0.04980828], Best Fitness = 0.2996272216352662, Evaluations = 1792
Generation 14: Best Solution = [-0.04336398  0.04980828], Best Fitness = 0.2996272216352662, Evaluations = 1920
Generation 15: Best Solution = [-0.03000824 -0.05722526], Best Fitness = 0.2906937986340812, Evaluations = 2048
