Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [-5.03633632  1.1350623 ], Best Fitness = 10.816255913458953, Evaluations = 32
Generation 1: Best Solution = [ 4.1220117  -0.06091273], Best Fitness = 9.274408882735063, Evaluations = 64
Generation 2: Best Solution = [ 4.1220117  -0.06091273], Best Fitness = 9.274408882735063, Evaluations = 96
Generation 3: Best Solution = [1.37725655 1.46019417], Best Fitness = 7.230506481501083, Evaluations = 128
Generation 4: Best Solution = [1.37725655 1.46019417], Best Fitness = 7.230506481501083, Evaluations = 160
Generation 5: Best Solution = [-0.23791518 -1.32873021], Best Fitness = 5.374780775174198, Evaluations = 192
Generation 6: Best Solution = [-0.23791518 -1.32873021], Best Fitness = 5.374780775174198, Evaluations = 224
Generation 7: Best Solution = [ 0.38429283 -0.68952192], Best Fitness = 4.259116057918128, Evaluations = 256
Generation 8: Best Solution = [ 0.38429283 -0.68952192], Best Fitness = 4.259116057918128, Evaluations = 288
Generation 9: Best Solution = [ 0.38429283 -0.68952192], Best Fitness = 4.259116057918128, Evaluations = 320
Generation 10: Best Solution = [-0.31412939 -0.94539649], Best Fitness = 4.030258451606262, Evaluations = 352
Generation 11: Best Solution = [-0.31412939 -0.94539649], Best Fitness = 4.030258451606262, Evaluations = 384
Generation 12: Best Solution = [0.19908057 0.14933749], Best Fitness = 1.8371890157934136, Evaluations = 416
Generation 13: Best Solution = [0.19908057 0.14933749], Best Fitness = 1.8371890157934136, Evaluations = 448
Generation 14: Best Solution = [0.19908057 0.14933749], Best Fitness = 1.8371890157934136, Evaluations = 480
Generation 15: Best Solution = [0.19908057 0.14933749], Best Fitness = 1.8371890157934136, Evaluations = 512
Generation 16: Best Solution = [0.19908057 0.14933749], Best Fitness = 1.8371890157934136, Evaluations = 544
Generation 17: Best Solution = [-0.01073537  0.0567287 ], Best Fitness = 0.24972830632281928, Evaluations = 576
Generation 18: Best Solution = [-0.01073537  0.0567287 ], Best Fitness = 0.24972830632281928, Evaluations = 608
Generation 19: Best Solution = [-0.01073537  0.0567287 ], Best Fitness = 0.24972830632281928, Evaluations = 640
Generation 20: Best Solution = [-0.01073537  0.0567287 ], Best Fitness = 0.24972830632281928, Evaluations = 672
Generation 21: Best Solution = [-0.01073537  0.0567287 ], Best Fitness = 0.24972830632281928, Evaluations = 704
Generation 22: Best Solution = [-0.01073537  0.0567287 ], Best Fitness = 0.24972830632281928, Evaluations = 736
Generation 23: Best Solution = [-0.01073537  0.0567287 ], Best Fitness = 0.24972830632281928, Evaluations = 768
Generation 24: Best Solution = [-0.00473908  0.02648864], Best Fitness = 0.09528038505639858, Evaluations = 800
Generation 25: Best Solution = [-0.00473908  0.02648864], Best Fitness = 0.09528038505639858, Evaluations = 832
Generation 26: Best Solution = [0.01148731 0.01267778], Best Fitness = 0.05616740091247907, Evaluations = 864
Generation 27: Best Solution = [0.01148731 0.01267778], Best Fitness = 0.05616740091247907, Evaluations = 896
Generation 28: Best Solution = [ 0.00478742 -0.00404545], Best Fitness = 0.018773786695270633, Evaluations = 928
Generation 29: Best Solution = [ 0.00478742 -0.00404545], Best Fitness = 0.018773786695270633, Evaluations = 960
Generation 30: Best Solution = [ 0.00478742 -0.00404545], Best Fitness = 0.018773786695270633, Evaluations = 992
Generation 31: Best Solution = [ 0.00478742 -0.00404545], Best Fitness = 0.018773786695270633, Evaluations = 1024
Generation 32: Best Solution = [-0.00321299 -0.00067161], Best Fitness = 0.00957098726528871, Evaluations = 1056
Generation 33: Best Solution = [-0.00321299 -0.00067161], Best Fitness = 0.00957098726528871, Evaluations = 1088
Generation 34: Best Solution = [-0.00321299 -0.00067161], Best Fitness = 0.00957098726528871, Evaluations = 1120
Generation 35: Best Solution = [0.00271793 0.00102884], Best Fitness = 0.00844467965780682, Evaluations = 1152
Generation 36: Best Solution = [-0.00038562  0.00028602], Best Fitness = 0.001364115402428201, Evaluations = 1184
Generation 37: Best Solution = [-0.00038562  0.00028602], Best Fitness = 0.001364115402428201, Evaluations = 1216
Generation 38: Best Solution = [-0.00038562  0.00028602], Best Fitness = 0.001364115402428201, Evaluations = 1248
Generation 39: Best Solution = [-0.00038562  0.00028602], Best Fitness = 0.001364115402428201, Evaluations = 1280
Generation 40: Best Solution = [-0.00038562  0.00028602], Best Fitness = 0.001364115402428201, Evaluations = 1312
Generation 41: Best Solution = [-0.0003552   0.00026424], Best Fitness = 0.0012573895482224096, Evaluations = 1344
