Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [-4.51436824  8.10371068], Best Fitness = 16.42748170671497, Evaluations = 8
Generation 1: Best Solution = [0.60824333 5.68150166], Best Fitness = 13.253733660803652, Evaluations = 16
Generation 2: Best Solution = [0.60824333 5.68150166], Best Fitness = 13.253733660803652, Evaluations = 24
Generation 3: Best Solution = [0.60824333 5.68150166], Best Fitness = 13.253733660803652, Evaluations = 32
Generation 4: Best Solution = [0.60824333 5.68150166], Best Fitness = 13.253733660803652, Evaluations = 40
Generation 5: Best Solution = [-0.12294676 -3.57021749], Best Fitness = 9.740386991257035, Evaluations = 48
Generation 6: Best Solution = [-0.12294676 -3.57021749], Best Fitness = 9.740386991257035, Evaluations = 56
Generation 7: Best Solution = [-0.12294676 -3.57021749], Best Fitness = 5.205676080943032, Evaluations = 64
Generation 8: Best Solution = [-0.12294676 -3.57021749], Best Fitness = 5.205676080943032, Evaluations = 72
Generation 9: Best Solution = [-0.12294676 -3.57021749], Best Fitness = 5.205676080943032, Evaluations = 80
Generation 10: Best Solution = [-0.12294676 -3.57021749], Best Fitness = 5.205676080943032, Evaluations = 88
Generation 11: Best Solution = [-0.12294676 -3.57021749], Best Fitness = 5.205676080943032, Evaluations = 96
Generation 12: Best Solution = [-0.80379904  0.15912574], Best Fitness = 3.360073282592982, Evaluations = 104
Generation 13: Best Solution = [-0.80379904  0.15912574], Best Fitness = 3.360073282592982, Evaluations = 112
Generation 14: Best Solution = [-0.80379904  0.15912574], Best Fitness = 3.360073282592982, Evaluations = 120
Generation 15: Best Solution = [-0.80379904  0.15912574], Best Fitness = 3.360073282592982, Evaluations = 128
Generation 16: Best Solution = [-0.80379904  0.15912574], Best Fitness = 3.360073282592982, Evaluations = 136
Generation 17: Best Solution = [ 0.16664527 -0.17961264], Best Fitness = 1.8089144453699686, Evaluations = 144
Generation 18: Best Solution = [ 0.03972595 -0.04457496], Best Fitness = 0.2616042484780974, Evaluations = 152
Generation 19: Best Solution = [ 0.03972595 -0.04457496], Best Fitness = 0.2616042484780974, Evaluations = 160
Generation 20: Best Solution = [ 0.03972595 -0.04457496], Best Fitness = 0.20251192621395164, Evaluations = 168
Generation 21: Best Solution = [ 0.03972595 -0.04457496], Best Fitness = 0.20251192621395164, Evaluations = 176
Generation 22: Best Solution = [ 0.03972595 -0.04457496], Best Fitness = 0.20251192621395164, Evaluations = 184
Generation 23: Best Solution = [ 0.03972595 -0.04457496], Best Fitness = 0.20251192621395164, Evaluations = 192
Generation 24: Best Solution = [-0.02072535 -0.00848272], Best Fitness = 0.07664440394092198, Evaluations = 200
Generation 25: Best Solution = [-0.02072535 -0.00848272], Best Fitness = 0.046888181547622754, Evaluations = 208
Generation 26: Best Solution = [-0.02072535 -0.00848272], Best Fitness = 0.046888181547622754, Evaluations = 216
Generation 27: Best Solution = [-0.02072535 -0.00848272], Best Fitness = 0.046888181547622754, Evaluations = 224
Generation 28: Best Solution = [-0.00841694 -0.00843568], Best Fitness = 0.03748310204763117, Evaluations = 232
Generation 29: Best Solution = [0.0001653  0.00444925], Best Fitness = 0.013120846894200344, Evaluations = 240
Generation 30: Best Solution = [0.0001653  0.00444925], Best Fitness = 0.013120846894200344, Evaluations = 248
Generation 31: Best Solution = [0.0001653  0.00444925], Best Fitness = 0.013120846894200344, Evaluations = 256
Generation 32: Best Solution = [-0.0036311   0.00022222], Best Fitness = 0.0106418799352892, Evaluations = 264
Generation 33: Best Solution = [0.00127083 0.00056188], Best Fitness = 0.003981525915275785, Evaluations = 272
Generation 34: Best Solution = [0.00127083 0.00056188], Best Fitness = 0.003981525915275785, Evaluations = 280
Generation 35: Best Solution = [0.00061965 0.00022222], Best Fitness = 0.0018734570876408618, Evaluations = 288
Generation 36: Best Solution = [0.00061965 0.00022222], Best Fitness = 0.0018734570876408618, Evaluations = 296
Generation 37: Best Solution = [0.00061965 0.00022222], Best Fitness = 0.0018734570876408618, Evaluations = 304
Generation 38: Best Solution = [0.00061965 0.00022222], Best Fitness = 0.0018734570876408618, Evaluations = 312
Generation 39: Best Solution = [0.00061965 0.00022222], Best Fitness = 0.0012521373770835176, Evaluations = 320
Generation 40: Best Solution = [0.00018893 0.00018246], Best Fitness = 0.0007447239819140528, Evaluations = 328
Generation 41: Best Solution = [2.89042985e-05 1.05684392e-04], Best Fitness = 0.00031021834706779217, Evaluations = 336
Generation 42: Best Solution = [2.89042985e-05 1.05684392e-04], Best Fitness = 0.00031021834706779217, Evaluations = 344
Generation 43: Best Solution = [-8.13242016e-05  2.07077120e-05], Best Fitness = 0.0002375469202573477, Evaluations = 352
Generation 44: Best Solution = [-8.13242016e-05  2.07077120e-05], Best Fitness = 0.0002375469202573477, Evaluations = 360
Generation 45: Best Solution = [-8.13242016e-05  2.07077120e-05], Best Fitness = 0.0002375469202573477, Evaluations = 368
Generation 46: Best Solution = [-8.13242016e-05  2.07077120e-05], Best Fitness = 0.0002375469202573477, Evaluations = 376
Generation 47: Best Solution = [-8.13242016e-05  2.07077120e-05], Best Fitness = 0.0002375469202573477, Evaluations = 384
Generation 48: Best Solution = [3.30214608e-05 2.07077120e-05], Best Fitness = 0.00011028477266750158, Evaluations = 392
Generation 49: Best Solution = [3.30214608e-05 2.07077120e-05], Best Fitness = 0.00011028477266750158, Evaluations = 400
Generation 50: Best Solution = [1.18552662e-05 1.63353343e-05], Best Fitness = 5.709958502508883e-05, Evaluations = 408
Generation 51: Best Solution = [1.18552662e-05 1.63353343e-05], Best Fitness = 5.709958502508883e-05, Evaluations = 416
Generation 52: Best Solution = [ 1.18552662e-05 -4.11798142e-06], Best Fitness = 3.550124841256164e-05, Evaluations = 424
Generation 53: Best Solution = [ 1.18552662e-05 -4.11798142e-06], Best Fitness = 3.550124841256164e-05, Evaluations = 432
Generation 54: Best Solution = [ 1.18552662e-05 -4.11798142e-06], Best Fitness = 2.996468418858811e-05, Evaluations = 440
Generation 55: Best Solution = [ 6.78754642e-06 -7.72669430e-06], Best Fitness = 2.9092002340025402e-05, Evaluations = 448
Generation 56: Best Solution = [-6.76208698e-06 -7.57679284e-06], Best Fitness = 2.872675853327067e-05, Evaluations = 456
Generation 57: Best Solution = [ 5.13056768e-06 -5.96137873e-06], Best Fitness = 2.2247682605058827e-05, Evaluations = 464
Generation 58: Best Solution = [ 5.13056768e-06 -5.96137873e-06], Best Fitness = 1.539704879549575e-05, Evaluations = 472
