Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [12.54923549 -3.68470503], Best Fitness = 19.063633734100954, Evaluations = 8
Generation 1: Best Solution = [12.54923549 -3.68470503], Best Fitness = 19.063633734100954, Evaluations = 16
Generation 2: Best Solution = [12.54923549 -3.68470503], Best Fitness = 19.063633734100954, Evaluations = 24
Generation 3: Best Solution = [-4.35195774 -3.36822013], Best Fitness = 13.005331610076265, Evaluations = 32
Generation 4: Best Solution = [-4.35195774 -3.36822013], Best Fitness = 13.005331610076265, Evaluations = 40
Generation 5: Best Solution = [ 1.31179809 -4.76332   ], Best Fitness = 11.910933175377174, Evaluations = 48
Generation 6: Best Solution = [ 0.38372983 -4.40254973], Best Fitness = 11.555099375122168, Evaluations = 56
Generation 7: Best Solution = [0.38372983 2.84462206], Best Fitness = 8.479410047229331, Evaluations = 64
Generation 8: Best Solution = [ 1.97456377 -1.00092062], Best Fitness = 5.393362148929572, Evaluations = 72
Generation 9: Best Solution = [0.34447835 0.05140716], Best Fitness = 2.464881633418536, Evaluations = 80
Generation 10: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 1.8503009821450864, Evaluations = 88
Generation 11: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 1.8503009821450864, Evaluations = 96
Generation 12: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 1.8503009821450864, Evaluations = 104
Generation 13: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 1.8503009821450864, Evaluations = 112
Generation 14: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 1.8503009821450864, Evaluations = 120
Generation 15: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 1.8503009821450864, Evaluations = 128
Generation 16: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 1.8503009821450864, Evaluations = 136
Generation 17: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 1.8503009821450864, Evaluations = 144
Generation 18: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 1.8503009821450864, Evaluations = 152
Generation 19: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 0.7438847171696072, Evaluations = 160
Generation 20: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 0.43795685076046853, Evaluations = 168
Generation 21: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 0.43795685076046853, Evaluations = 176
Generation 22: Best Solution = [ 0.22078002 -0.12235899], Best Fitness = 0.43795685076046853, Evaluations = 184
Generation 23: Best Solution = [-0.05464396 -0.018573  ], Best Fitness = 0.24971718674259025, Evaluations = 192
Generation 24: Best Solution = [-0.05464396 -0.018573  ], Best Fitness = 0.18617071801112006, Evaluations = 200
Generation 25: Best Solution = [-0.05464396 -0.018573  ], Best Fitness = 0.18617071801112006, Evaluations = 208
Generation 26: Best Solution = [-0.03295515 -0.02306443], Best Fitness = 0.15638599091439476, Evaluations = 216
Generation 27: Best Solution = [-0.03295515 -0.02306443], Best Fitness = 0.15638599091439476, Evaluations = 224
