Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [-67.32528254 -45.27775822], Best Fitness = 2.8249320317865223, Evaluations = 128
Generation 1: Best Solution = [-17.25433551  54.32450852], Best Fitness = 1.830670842678408, Evaluations = 256
Generation 2: Best Solution = [ 9.78710053 12.16936541], Best Fitness = 0.4228617606077275, Evaluations = 384
Generation 3: Best Solution = [ 9.78710053 12.16936541], Best Fitness = 0.4228617606077275, Evaluations = 512
Generation 4: Best Solution = [ 9.78710053 12.16936541], Best Fitness = 0.4228617606077275, Evaluations = 640
Generation 5: Best Solution = [ -9.06605385 -13.88233712], Best Fitness = 0.20323463782944884, Evaluations = 768
Generation 6: Best Solution = [ -9.06605385 -13.88233712], Best Fitness = 0.20323463782944884, Evaluations = 896
Generation 7: Best Solution = [ 0.19084237 18.2302499 ], Best Fitness = 0.15244906528308844, Evaluations = 1024
Generation 8: Best Solution = [ 0.19084237 18.2302499 ], Best Fitness = 0.15244906528308844, Evaluations = 1152
Generation 9: Best Solution = [ 0.19084237 18.2302499 ], Best Fitness = 0.15244906528308844, Evaluations = 1280
Generation 10: Best Solution = [ 0.19084237 18.2302499 ], Best Fitness = 0.15244906528308844, Evaluations = 1408
Generation 11: Best Solution = [ 0.19084237 18.2302499 ], Best Fitness = 0.15244906528308844, Evaluations = 1536
Generation 12: Best Solution = [12.3194037  -8.42860144], Best Fitness = 0.1362687139073646, Evaluations = 1664
Generation 13: Best Solution = [12.3194037  -8.42860144], Best Fitness = 0.08825603775977786, Evaluations = 1792
Generation 14: Best Solution = [12.3194037  -8.42860144], Best Fitness = 0.08825603775977786, Evaluations = 1920
Generation 15: Best Solution = [12.3194037  -8.42860144], Best Fitness = 0.08825603775977786, Evaluations = 2048
