Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [ -2.25091875 -58.50458981], Best Fitness = 1.3138106310438271, Evaluations = 128
Generation 1: Best Solution = [ -2.25091875 -23.42191693], Best Fitness = 0.7251716233381161, Evaluations = 256
Generation 2: Best Solution = [ -2.25091875 -23.42191693], Best Fitness = 0.7251716233381161, Evaluations = 384
Generation 3: Best Solution = [ -2.25091875 -23.42191693], Best Fitness = 0.7251716233381161, Evaluations = 512
Generation 4: Best Solution = [ -2.25091875 -23.42191693], Best Fitness = 0.7251716233381161, Evaluations = 640
Generation 5: Best Solution = [ -2.25091875 -23.42191693], Best Fitness = 0.7251716233381161, Evaluations = 768
Generation 6: Best Solution = [-3.96036522  3.27109731], Best Fitness = 0.544859702449763, Evaluations = 896
Generation 7: Best Solution = [-3.96036522  3.27109731], Best Fitness = 0.544859702449763, Evaluations = 1024
Generation 8: Best Solution = [-13.06167582   8.88596837], Best Fitness = 0.18256827274975818, Evaluations = 1152
Generation 9: Best Solution = [-13.06167582   8.88596837], Best Fitness = 0.18256827274975818, Evaluations = 1280
Generation 10: Best Solution = [-13.06167582   8.88596837], Best Fitness = 0.18256827274975818, Evaluations = 1408
Generation 11: Best Solution = [-13.06167582   8.88596837], Best Fitness = 0.18256827274975818, Evaluations = 1536
Generation 12: Best Solution = [-6.12453287 -0.04215227], Best Fitness = 0.022375433559032376, Evaluations = 1664
Generation 13: Best Solution = [-6.12453287 -0.04215227], Best Fitness = 0.022375433559032376, Evaluations = 1792
Generation 14: Best Solution = [-6.12453287 -0.04215227], Best Fitness = 0.022375433559032376, Evaluations = 1920
Generation 15: Best Solution = [-6.12453287 -0.04215227], Best Fitness = 0.022375433559032376, Evaluations = 2048
