Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [ 5.71922729 -5.2430484 ], Best Fitness = 1.7284871585509154, Evaluations = 32
Generation 1: Best Solution = [-27.77068217  -5.2430484 ], Best Fitness = 0.46033895613002984, Evaluations = 64
Generation 2: Best Solution = [-27.77068217  -5.2430484 ], Best Fitness = 0.46033895613002984, Evaluations = 96
Generation 3: Best Solution = [-27.77068217  -5.2430484 ], Best Fitness = 0.46033895613002984, Evaluations = 128
Generation 4: Best Solution = [-27.77068217  -5.2430484 ], Best Fitness = 0.46033895613002984, Evaluations = 160
Generation 5: Best Solution = [-27.77068217  -5.2430484 ], Best Fitness = 0.46033895613002984, Evaluations = 192
Generation 6: Best Solution = [-27.77068217  -5.2430484 ], Best Fitness = 0.46033895613002984, Evaluations = 224
Generation 7: Best Solution = [-27.77068217  -5.2430484 ], Best Fitness = 0.46033895613002984, Evaluations = 256
Generation 8: Best Solution = [10.00505549 12.93109632], Best Fitness = 0.26334533401042526, Evaluations = 288
Generation 9: Best Solution = [10.00505549 12.93109632], Best Fitness = 0.26334533401042526, Evaluations = 320
Generation 10: Best Solution = [19.20506295  8.80392479], Best Fitness = 0.17568510012624128, Evaluations = 352
Generation 11: Best Solution = [19.20506295  8.80392479], Best Fitness = 0.17568510012624128, Evaluations = 384
Generation 12: Best Solution = [19.20506295  8.80392479], Best Fitness = 0.17568510012624128, Evaluations = 416
Generation 13: Best Solution = [19.20506295  8.80392479], Best Fitness = 0.17568510012624128, Evaluations = 448
Generation 14: Best Solution = [19.20506295  8.80392479], Best Fitness = 0.17568510012624128, Evaluations = 480
Generation 15: Best Solution = [19.20506295  8.80392479], Best Fitness = 0.17568510012624128, Evaluations = 512
Generation 16: Best Solution = [-12.21401307   0.51706499], Best Fitness = 0.16083751177904204, Evaluations = 544
Generation 17: Best Solution = [-12.21401307   0.51706499], Best Fitness = 0.16083751177904204, Evaluations = 576
Generation 18: Best Solution = [-12.21401307   0.51706499], Best Fitness = 0.16083751177904204, Evaluations = 608
Generation 19: Best Solution = [-12.21401307   0.51706499], Best Fitness = 0.16083751177904204, Evaluations = 640
Generation 20: Best Solution = [-12.21401307   0.51706499], Best Fitness = 0.16083751177904204, Evaluations = 672
Generation 21: Best Solution = [-12.21401307   0.51706499], Best Fitness = 0.16083751177904204, Evaluations = 704
Generation 22: Best Solution = [-12.21401307   0.51706499], Best Fitness = 0.16083751177904204, Evaluations = 736
Generation 23: Best Solution = [ 3.20095771 12.93109632], Best Fitness = 0.08530976784174993, Evaluations = 768
Generation 24: Best Solution = [ 3.20095771 12.93109632], Best Fitness = 0.08530976784174993, Evaluations = 800
