Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [107.22502934 -55.34853664], Best Fitness = 4.518974903131554, Evaluations = 32
Generation 1: Best Solution = [107.22502934 -55.34853664], Best Fitness = 4.518974903131554, Evaluations = 64
Generation 2: Best Solution = [-84.18865313  77.23263888], Best Fitness = 3.974780671876082, Evaluations = 96
Generation 3: Best Solution = [-69.80533708 -15.55516176], Best Fitness = 2.2759219777837285, Evaluations = 128
Generation 4: Best Solution = [47.15605019  7.3664209 ], Best Fitness = 2.0455564358588436, Evaluations = 160
Generation 5: Best Solution = [47.15605019  7.3664209 ], Best Fitness = 2.0455564358588436, Evaluations = 192
Generation 6: Best Solution = [-19.66217996 -43.08518305], Best Fitness = 1.1608276386311442, Evaluations = 224
Generation 7: Best Solution = [11.2889383   0.69259212], Best Fitness = 0.7767962586344705, Evaluations = 256
Generation 8: Best Solution = [-16.49626996  30.73450231], Best Fitness = 0.6225757861418104, Evaluations = 288
Generation 9: Best Solution = [ 25.2494808  -17.61764481], Best Fitness = 0.24965995427336518, Evaluations = 320
Generation 10: Best Solution = [ 25.2494808  -17.61764481], Best Fitness = 0.24965995427336518, Evaluations = 352
Generation 11: Best Solution = [ 25.2494808  -17.61764481], Best Fitness = 0.24965995427336518, Evaluations = 384
Generation 12: Best Solution = [ 25.2494808  -17.61764481], Best Fitness = 0.24965995427336518, Evaluations = 416
Generation 13: Best Solution = [ 25.2494808  -17.61764481], Best Fitness = 0.24965995427336518, Evaluations = 448
Generation 14: Best Solution = [ 25.2494808  -17.61764481], Best Fitness = 0.24965995427336518, Evaluations = 480
Generation 15: Best Solution = [ 25.2494808  -17.61764481], Best Fitness = 0.24965995427336518, Evaluations = 512
Generation 16: Best Solution = [ 25.2494808  -17.61764481], Best Fitness = 0.24965995427336518, Evaluations = 544
Generation 17: Best Solution = [-3.60864323 -4.77037324], Best Fitness = 0.13987859789497592, Evaluations = 576
Generation 18: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 608
Generation 19: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 640
Generation 20: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 672
Generation 21: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 704
Generation 22: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 736
Generation 23: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 768
Generation 24: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 800
Generation 25: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 832
Generation 26: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 864
Generation 27: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 896
Generation 28: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 928
Generation 29: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 960
Generation 30: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 992
Generation 31: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 1024
Generation 32: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 1056
Generation 33: Best Solution = [ 0.01341021 -8.91179444], Best Fitness = 0.020114332013169478, Evaluations = 1088
