Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [-92.2180722   20.78361138], Best Fitness = 2.9990829533937404, Evaluations = 32
Generation 1: Best Solution = [-3.17226448 16.482598  ], Best Fitness = 1.682775614457504, Evaluations = 64
Generation 2: Best Solution = [-3.17226448 16.482598  ], Best Fitness = 1.682775614457504, Evaluations = 96
Generation 3: Best Solution = [25.21832057 26.7369538 ], Best Fitness = 0.3429468288237767, Evaluations = 128
Generation 4: Best Solution = [25.21832057 26.7369538 ], Best Fitness = 0.3429468288237767, Evaluations = 160
Generation 5: Best Solution = [25.21832057 26.7369538 ], Best Fitness = 0.3429468288237767, Evaluations = 192
Generation 6: Best Solution = [25.21832057 26.7369538 ], Best Fitness = 0.3429468288237767, Evaluations = 224
Generation 7: Best Solution = [25.21832057 26.7369538 ], Best Fitness = 0.3429468288237767, Evaluations = 256
Generation 8: Best Solution = [25.21832057 26.7369538 ], Best Fitness = 0.3429468288237767, Evaluations = 288
Generation 9: Best Solution = [25.21832057 26.7369538 ], Best Fitness = 0.3429468288237767, Evaluations = 320
Generation 10: Best Solution = [25.21832057 26.7369538 ], Best Fitness = 0.3429468288237767, Evaluations = 352
Generation 11: Best Solution = [9.32460783 3.48355163], Best Fitness = 0.2500645250433746, Evaluations = 384
Generation 12: Best Solution = [9.32460783 3.48355163], Best Fitness = 0.2500645250433746, Evaluations = 416
Generation 13: Best Solution = [ 8.87075432 13.09983437], Best Fitness = 0.22326629063150205, Evaluations = 448
Generation 14: Best Solution = [ 8.87075432 13.09983437], Best Fitness = 0.22326629063150205, Evaluations = 480
Generation 15: Best Solution = [ 8.87075432 13.09983437], Best Fitness = 0.22326629063150205, Evaluations = 512
Generation 16: Best Solution = [ 8.87075432 13.09983437], Best Fitness = 0.22326629063150205, Evaluations = 544
Generation 17: Best Solution = [ 8.87075432 13.09983437], Best Fitness = 0.22326629063150205, Evaluations = 576
Generation 18: Best Solution = [ 8.87075432 13.09983437], Best Fitness = 0.22326629063150205, Evaluations = 608
Generation 19: Best Solution = [-15.25318861   4.86897945], Best Fitness = 0.2062002733694468, Evaluations = 640
Generation 20: Best Solution = [  9.70562769 -12.6747827 ], Best Fitness = 0.2037730698796677, Evaluations = 672
Generation 21: Best Solution = [12.20186654 -0.43565744], Best Fitness = 0.1469506493342957, Evaluations = 704
Generation 22: Best Solution = [12.20186654 -0.43565744], Best Fitness = 0.1469506493342957, Evaluations = 736
Generation 23: Best Solution = [12.20186654 -0.43565744], Best Fitness = 0.1469506493342957, Evaluations = 768
Generation 24: Best Solution = [12.20186654 -0.43565744], Best Fitness = 0.1469506493342957, Evaluations = 800
Generation 25: Best Solution = [-6.15021141 -9.10508073], Best Fitness = 0.050904636482829835, Evaluations = 832
Generation 26: Best Solution = [-6.15021141 -9.10508073], Best Fitness = 0.050904636482829835, Evaluations = 864
Generation 27: Best Solution = [-6.15021141 -9.10508073], Best Fitness = 0.050904636482829835, Evaluations = 896
Generation 28: Best Solution = [0.05049466 0.41149928], Best Fitness = 0.04329905419668889, Evaluations = 928
Generation 29: Best Solution = [0.05049466 0.41149928], Best Fitness = 0.04329905419668889, Evaluations = 960
Generation 30: Best Solution = [0.05049466 0.41149928], Best Fitness = 0.04329905419668889, Evaluations = 992
Generation 31: Best Solution = [0.05049466 0.41149928], Best Fitness = 0.04329905419668889, Evaluations = 1024
Generation 32: Best Solution = [0.05049466 0.41149928], Best Fitness = 0.04329905419668889, Evaluations = 1056
Generation 33: Best Solution = [0.05049466 0.41149928], Best Fitness = 0.04329905419668889, Evaluations = 1088
Generation 34: Best Solution = [0.05049466 0.41149928], Best Fitness = 0.04329905419668889, Evaluations = 1120
Generation 35: Best Solution = [0.05049466 0.41149928], Best Fitness = 0.04329905419668889, Evaluations = 1152
Generation 36: Best Solution = [0.05049466 0.41149928], Best Fitness = 0.04329905419668889, Evaluations = 1184
Generation 37: Best Solution = [0.05049466 0.41149928], Best Fitness = 0.04329905419668889, Evaluations = 1216
Generation 38: Best Solution = [-6.39842902 -8.87600141], Best Fitness = 0.036587712086115665, Evaluations = 1248
Generation 39: Best Solution = [-6.39842902 -8.87600141], Best Fitness = 0.036587712086115665, Evaluations = 1280
Generation 40: Best Solution = [-6.39842902 -8.87600141], Best Fitness = 0.036587712086115665, Evaluations = 1312
Generation 41: Best Solution = [-6.39842902 -8.87600141], Best Fitness = 0.036587712086115665, Evaluations = 1344
Generation 42: Best Solution = [-6.39842902 -8.87600141], Best Fitness = 0.036587712086115665, Evaluations = 1376
Generation 43: Best Solution = [-6.39842902 -8.87600141], Best Fitness = 0.036587712086115665, Evaluations = 1408
Generation 44: Best Solution = [-6.39842902 -8.87600141], Best Fitness = 0.036587712086115665, Evaluations = 1440
Generation 45: Best Solution = [-6.39842902 -8.87600141], Best Fitness = 0.036587712086115665, Evaluations = 1472
Generation 46: Best Solution = [-6.39842902 -8.87600141], Best Fitness = 0.036587712086115665, Evaluations = 1504
Generation 47: Best Solution = [-6.39842902 -8.87600141], Best Fitness = 0.036587712086115665, Evaluations = 1536
Generation 48: Best Solution = [-6.39842902 -8.87600141], Best Fitness = 0.036587712086115665, Evaluations = 1568
Generation 49: Best Solution = [-6.39842902 -8.87600141], Best Fitness = 0.036587712086115665, Evaluations = 1600
Generation 50: Best Solution = [3.34337777 4.38982903], Best Fitness = 0.028591145091346637, Evaluations = 1632
Generation 51: Best Solution = [0.03142307 9.00192414], Best Fitness = 0.024122195599619367, Evaluations = 1664
Generation 52: Best Solution = [0.03142307 9.00192414], Best Fitness = 0.024122195599619367, Evaluations = 1696
Generation 53: Best Solution = [0.03142307 9.00192414], Best Fitness = 0.024122195599619367, Evaluations = 1728
Generation 54: Best Solution = [0.03142307 9.00192414], Best Fitness = 0.024122195599619367, Evaluations = 1760
Generation 55: Best Solution = [0.03142307 9.00192414], Best Fitness = 0.024122195599619367, Evaluations = 1792
Generation 56: Best Solution = [0.03142307 9.00192414], Best Fitness = 0.024122195599619367, Evaluations = 1824
Generation 57: Best Solution = [0.03142307 9.00192414], Best Fitness = 0.024122195599619367, Evaluations = 1856
Generation 58: Best Solution = [0.05049466 0.1954578 ], Best Fitness = 0.010808362856182363, Evaluations = 1888
Generation 59: Best Solution = [0.05049466 0.1954578 ], Best Fitness = 0.010808362856182363, Evaluations = 1920
Generation 60: Best Solution = [0.05049466 0.1954578 ], Best Fitness = 0.010808362856182363, Evaluations = 1952
Generation 61: Best Solution = [0.05049466 0.1954578 ], Best Fitness = 0.010808362856182363, Evaluations = 1984
Generation 62: Best Solution = [0.05049466 0.1954578 ], Best Fitness = 0.010808362856182363, Evaluations = 2016
