Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 10
Population Size: 32
Max Evaluations: 10000

Generation 0: Best Solution = [-2.83950847  0.84542305  3.07662331 -2.1196806   0.85406602 -0.42554944
  4.67481941 -4.03532481 -1.2739705   3.06003704], Best Fitness = 135.4715866778358, Evaluations = 32
Generation 1: Best Solution = [-0.1196678   2.1888017  -1.25636517  0.08258139 -5.12       -4.11586608
 -0.19849019 -2.45639646  2.36011792 -1.12926107], Best Fitness = 134.3176151533256, Evaluations = 64
Generation 2: Best Solution = [-0.1196678   2.1888017  -1.25636517  0.08258139 -5.12       -4.11586608
 -0.19849019 -2.45639646  2.36011792 -1.12926107], Best Fitness = 125.58856277561968, Evaluations = 96
Generation 3: Best Solution = [-0.1196678   2.1888017  -1.25636517  0.08258139 -5.12       -4.11586608
 -0.19849019 -2.45639646  2.36011792 -1.12926107], Best Fitness = 125.33240209158231, Evaluations = 128
Generation 4: Best Solution = [ 0.49862645  2.08133296  0.03490938 -1.90589913 -0.20762067  1.06081597
  4.0426157  -0.66228983 -0.391857    0.44071094], Best Fitness = 110.50170621743096, Evaluations = 160
Generation 5: Best Solution = [ 0.49862645  2.08133296  0.03490938 -1.90589913 -0.20762067  1.06081597
  4.0426157  -0.66228983 -0.391857    0.44071094], Best Fitness = 110.50170621743096, Evaluations = 192
Generation 6: Best Solution = [-0.88641232  0.20176085  0.46799318 -0.44745273 -2.1285448  -0.486735
  1.17456001 -0.12083267  1.93903115 -0.15439468], Best Fitness = 96.21297448853448, Evaluations = 224
Generation 7: Best Solution = [-0.88641232  0.20176085  0.46799318 -0.44745273 -2.1285448  -0.486735
  1.17456001 -0.12083267  1.93903115 -0.15439468], Best Fitness = 96.21297448853448, Evaluations = 256
Generation 8: Best Solution = [-0.1196678   0.9298548  -1.01410827  0.08258139 -1.97995098 -4.11586608
  1.2796208  -3.72309286 -1.10605721 -1.92537415], Best Fitness = 77.57700242082515, Evaluations = 288
Generation 9: Best Solution = [-0.1196678   0.9298548  -1.01410827  0.08258139 -1.97995098 -4.11586608
  1.2796208  -3.72309286 -1.10605721 -1.92537415], Best Fitness = 77.57700242082515, Evaluations = 320
Generation 10: Best Solution = [-0.1196678   0.9298548  -1.01410827  0.08258139 -1.97995098 -4.11586608
  1.2796208  -3.72309286 -1.10605721 -1.92537415], Best Fitness = 77.57700242082515, Evaluations = 352
Generation 11: Best Solution = [-0.1196678   0.9298548  -1.01410827  0.08258139 -1.97995098 -4.11586608
  1.2796208  -3.72309286 -1.10605721 -1.92537415], Best Fitness = 77.57700242082515, Evaluations = 384
Generation 12: Best Solution = [-0.1196678   0.9298548  -1.01410827  0.08258139 -1.97995098 -4.11586608
  1.2796208  -3.72309286 -1.10605721 -1.92537415], Best Fitness = 77.57700242082515, Evaluations = 416
Generation 13: Best Solution = [-0.1196678   0.9298548  -1.01410827  0.08258139 -1.97995098 -4.11586608
  1.2796208  -3.72309286 -1.10605721 -1.92537415], Best Fitness = 77.57700242082515, Evaluations = 448
Generation 14: Best Solution = [-0.1196678   0.9298548  -1.01410827  0.08258139 -1.97995098 -4.11586608
  1.2796208  -3.72309286 -1.10605721 -1.92537415], Best Fitness = 77.57700242082515, Evaluations = 480
Generation 15: Best Solution = [-0.1196678   0.9298548  -1.01410827  0.08258139 -1.97995098 -4.11586608
